Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.07,10.40,10.06,10.32,63100,10.32
2014-02-21,10.07,10.22,10.00,10.10,66500,10.10
2014-02-20,10.01,10.41,9.56,10.00,48500,10.00
2014-02-19,9.78,10.09,9.69,9.96,72700,9.96
2014-02-18,9.54,9.85,9.30,9.85,127100,9.85
2014-02-14,9.50,9.52,9.37,9.50,15000,9.50
2014-02-13,9.40,9.50,9.11,9.47,20800,9.47
2014-02-12,9.44,9.52,9.30,9.45,22400,9.45
2014-02-11,9.45,9.59,9.40,9.45,25200,9.45
2014-02-10,9.42,9.51,9.10,9.47,40600,9.47
2014-02-07,9.38,9.46,9.03,9.44,51200,9.44
2014-02-06,9.49,9.49,9.09,9.39,107100,9.39
2014-02-05,9.46,9.61,9.21,9.49,128600,9.49
2014-02-04,9.48,9.55,9.22,9.47,230800,9.47
2014-02-03,9.42,9.47,9.16,9.43,129800,9.43
2014-01-31,9.16,9.40,9.04,9.35,139600,9.35
2014-01-30,9.27,9.45,9.09,9.34,182100,9.34
2014-01-29,8.91,9.23,8.84,9.18,318400,9.18
2014-01-28,9.15,9.45,8.96,9.23,504500,9.23
2014-01-27,10.19,10.19,8.70,8.74,441300,8.74
2014-01-24,12.70,12.70,10.08,10.19,861400,10.19
2014-01-23,12.53,12.98,12.47,12.84,116000,12.84
2014-01-22,12.51,12.57,12.48,12.54,22000,12.54
2014-01-21,12.49,12.57,12.45,12.55,192700,12.55
2014-01-17,12.46,12.56,12.45,12.51,134300,12.51
2014-01-16,12.45,12.61,12.40,12.50,156600,12.50
2014-01-15,12.40,12.52,12.40,12.47,337300,12.47
2014-01-14,12.40,12.63,12.26,12.44,345200,12.44
2014-01-13,12.85,12.87,12.40,12.47,287800,12.47
2014-01-10,13.29,13.37,12.71,12.98,87700,12.98
2014-01-09,13.13,13.25,12.83,13.22,70500,13.22
2014-01-08,12.53,13.07,12.35,13.05,124000,13.05
2014-01-07,12.54,12.72,12.27,12.58,78700,12.58
2014-01-06,12.60,12.74,12.37,12.53,90700,12.53
2014-01-03,12.58,12.67,12.38,12.63,103600,12.63
2014-01-02,12.54,12.70,12.38,12.58,99700,12.58
2013-12-31,12.60,12.65,12.44,12.55,38200,12.55
2013-12-30,12.50,12.97,12.43,12.64,90000,12.64
2013-12-27,12.66,12.83,12.38,12.47,105500,12.47
2013-12-26,12.51,12.75,12.49,12.65,86300,12.65
2013-12-24,12.75,13.00,12.35,12.51,53900,12.51
2013-12-23,13.00,13.47,12.61,12.75,71600,12.75
2013-12-20,12.73,13.08,12.10,13.00,1272700,13.00
2013-12-19,12.32,12.86,12.20,12.67,77000,12.67
2013-12-18,12.33,13.18,12.33,12.62,110600,12.62
2013-12-17,12.36,12.47,11.95,12.39,122300,12.39
2013-12-16,12.40,12.49,11.92,12.34,192200,12.34
2013-12-13,12.28,12.63,12.25,12.45,66100,12.45
2013-12-12,12.43,13.49,12.25,12.37,113300,12.37
2013-12-11,12.84,13.00,12.35,12.43,115400,12.43
2013-12-10,13.54,13.58,12.40,12.94,131000,12.94
2013-12-09,13.28,13.62,13.10,13.55,53800,13.55
2013-12-06,12.86,13.80,12.86,13.15,90800,13.15
2013-12-05,12.64,13.00,12.58,12.84,19000,12.84
2013-12-04,12.47,12.86,12.34,12.53,82900,12.53
2013-12-03,12.30,12.99,12.15,12.50,46300,12.50
2013-12-02,12.70,12.82,12.26,12.28,23900,12.28
2013-11-29,12.59,12.99,12.49,12.69,2800,12.69
2013-11-27,12.72,12.89,12.48,12.51,103100,12.51
2013-11-26,12.95,13.00,12.48,12.74,9900,12.74
2013-11-25,12.53,13.09,12.32,13.09,29800,13.09
2013-11-22,12.70,12.85,12.37,12.55,112400,12.55
2013-11-21,12.80,13.15,12.34,12.60,19500,12.60
2013-11-20,13.28,13.28,12.36,12.82,37000,12.82
2013-11-19,12.15,13.37,12.15,13.37,8400,13.37
2013-11-18,12.27,12.50,12.03,12.04,40900,12.04
2013-11-15,12.29,12.38,12.20,12.29,13300,12.29
2013-11-14,12.30,12.31,12.25,12.28,6100,12.28
2013-11-13,12.25,12.53,12.25,12.30,3500,12.30
2013-11-12,12.52,12.52,12.06,12.16,3100,12.16
2013-11-11,12.06,12.54,12.00,12.54,67200,12.54
2013-11-08,12.17,12.26,12.05,12.08,31400,12.08
2013-11-07,12.38,12.51,12.10,12.15,20300,12.15
2013-11-06,12.05,12.55,12.04,12.37,5600,12.37
2013-11-05,12.00,12.51,12.00,12.00,31300,12.00
2013-11-04,12.02,12.21,11.90,12.02,104800,12.02
2013-11-01,12.25,13.38,11.95,12.00,14400,12.00
2013-10-31,12.61,13.00,12.27,12.27,58200,12.27
2013-10-30,13.52,13.85,12.52,12.71,19300,12.71
2013-10-29,13.75,13.75,13.27,13.40,33900,13.40
2013-10-28,14.41,14.44,13.70,13.96,35500,13.96
2013-10-25,14.27,14.80,13.29,14.46,197200,14.46
2013-10-24,14.31,14.31,13.24,14.11,23100,14.11
2013-10-23,13.12,14.05,13.10,13.75,70700,13.75
