Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,1.61,1.61,1.58,1.60,5800,1.60
2014-02-21,1.58,1.60,1.52,1.60,3000,1.60
2014-02-20,1.55,1.55,1.51,1.55,16000,1.55
2014-02-19,1.50,1.59,1.50,1.56,8300,1.56
2014-02-18,1.59,1.60,1.50,1.50,14700,1.50
2014-02-14,1.57,1.64,1.54,1.54,23600,1.54
2014-02-13,1.61,1.62,1.58,1.60,7900,1.60
2014-02-12,1.60,1.61,1.60,1.60,9300,1.60
2014-02-11,1.58,1.62,1.57,1.57,5000,1.57
2014-02-10,1.63,1.63,1.58,1.58,7700,1.58
2014-02-07,1.60,1.64,1.58,1.64,11700,1.64
2014-02-06,1.63,1.63,1.58,1.63,11300,1.63
2014-02-05,1.66,1.66,1.61,1.62,7100,1.62
2014-02-04,1.56,1.65,1.55,1.64,33700,1.64
2014-02-03,1.60,1.60,1.53,1.59,11100,1.59
2014-01-31,1.57,1.60,1.57,1.59,20100,1.59
2014-01-30,1.52,1.60,1.52,1.56,5300,1.56
2014-01-29,1.52,1.55,1.51,1.52,6200,1.52
2014-01-28,1.52,1.53,1.52,1.53,2300,1.53
2014-01-27,1.51,1.55,1.51,1.51,19300,1.51
2014-01-24,1.55,1.57,1.53,1.53,7200,1.53
2014-01-23,1.60,1.60,1.56,1.57,10600,1.57
2014-01-22,1.59,1.60,1.56,1.57,3200,1.57
2014-01-21,1.56,1.57,1.55,1.57,4700,1.57
2014-01-17,1.56,1.57,1.53,1.57,1600,1.57
2014-01-16,1.56,1.58,1.53,1.53,6700,1.53
2014-01-15,1.60,1.62,1.56,1.56,9100,1.56
2014-01-14,1.58,1.63,1.52,1.63,11100,1.63
2014-01-13,1.62,1.62,1.59,1.59,8700,1.59
2014-01-10,1.60,1.65,1.58,1.58,21200,1.58
2014-01-09,1.58,1.60,1.52,1.60,20300,1.60
2014-01-08,1.55,1.58,1.50,1.56,22600,1.56
2014-01-07,1.50,1.52,1.50,1.50,39900,1.50
2014-01-06,1.48,1.49,1.44,1.47,17200,1.47
2014-01-03,1.52,1.55,1.44,1.48,31400,1.48
2014-01-02,1.35,1.50,1.35,1.48,29500,1.48
2013-12-31,1.35,1.42,1.34,1.37,18600,1.37
2013-12-30,1.36,1.43,1.33,1.38,14400,1.38
2013-12-27,1.39,1.46,1.35,1.35,7500,1.35
2013-12-26,1.36,1.45,1.32,1.42,10200,1.42
2013-12-24,1.33,1.35,1.32,1.33,5900,1.33
2013-12-23,1.35,1.44,1.33,1.35,36200,1.35
2013-12-20,1.36,1.46,1.35,1.37,41700,1.37
2013-12-19,1.44,1.44,1.38,1.38,7800,1.38
2013-12-18,1.45,1.47,1.44,1.44,14900,1.44
2013-12-17,1.50,1.56,1.41,1.45,20500,1.45
2013-12-16,1.48,1.59,1.39,1.56,45800,1.56
2013-12-13,1.46,1.49,1.46,1.48,12400,1.48
2013-12-12,1.45,1.51,1.39,1.46,59600,1.46
2013-12-11,1.36,1.45,1.36,1.45,18400,1.45
2013-12-10,1.33,1.43,1.33,1.35,21400,1.35
2013-12-09,1.34,1.36,1.34,1.36,8700,1.36
2013-12-06,1.33,1.35,1.33,1.35,11900,1.35
2013-12-05,1.33,1.37,1.32,1.33,11800,1.33
2013-12-04,1.39,1.40,1.34,1.34,8700,1.34
2013-12-03,1.36,1.45,1.33,1.40,46100,1.40
2013-12-02,1.36,1.36,1.31,1.34,6800,1.34
2013-11-29,1.35,1.37,1.30,1.36,3600,1.36
2013-11-27,1.30,1.35,1.30,1.30,14000,1.30
2013-11-26,1.29,1.31,1.29,1.29,9600,1.29
2013-11-25,1.29,1.31,1.29,1.30,8100,1.30
2013-11-22,1.27,1.32,1.26,1.31,12500,1.31
2013-11-21,1.29,1.32,1.29,1.30,8900,1.30
2013-11-20,1.37,1.37,1.26,1.28,45800,1.28
2013-11-19,1.28,1.38,1.24,1.28,34100,1.28
2013-11-18,1.28,1.30,1.28,1.29,6000,1.29
2013-11-15,1.32,1.45,1.26,1.31,195400,1.31
2013-11-14,1.27,1.32,1.27,1.27,3800,1.27
2013-11-13,1.27,1.27,1.25,1.26,9400,1.26
2013-11-12,1.31,1.31,1.25,1.26,7300,1.26
2013-11-11,1.26,1.30,1.26,1.26,10700,1.26
2013-11-08,1.25,1.25,1.25,1.25,6000,1.25
2013-11-07,1.27,1.28,1.25,1.25,2000,1.25
2013-11-06,1.24,1.28,1.24,1.26,3500,1.26
2013-11-05,1.28,1.30,1.25,1.25,2000,1.25
2013-11-04,1.24,1.30,1.24,1.26,50100,1.26
2013-11-01,1.21,1.25,1.21,1.25,12200,1.25
2013-10-31,1.26,1.26,1.20,1.25,9400,1.25
2013-10-30,1.26,1.27,1.18,1.24,36200,1.24
2013-10-29,1.35,1.35,1.25,1.26,30100,1.26
2013-10-28,1.34,1.34,1.30,1.30,5200,1.30
