Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,19.95,19.95,19.50,19.65,28400,19.65
2014-02-21,19.96,20.00,19.54,19.87,21700,19.87
2014-02-20,19.73,20.00,19.53,19.99,7000,19.99
2014-02-19,20.07,20.09,19.53,19.61,33500,19.61
2014-02-18,20.09,20.09,19.85,20.08,18600,20.08
2014-02-14,20.05,20.05,19.90,19.92,4700,19.92
2014-02-13,19.71,20.03,19.57,20.00,28200,20.00
2014-02-12,19.74,20.10,19.74,19.79,17300,19.79
2014-02-11,19.75,20.07,19.57,19.72,18600,19.72
2014-02-10,20.08,20.09,19.59,19.94,10700,19.94
2014-02-07,19.81,20.06,19.51,19.79,14500,19.79
2014-02-06,19.45,20.04,19.40,19.83,24600,19.83
2014-02-05,19.76,19.85,19.00,19.24,45000,19.24
2014-02-04,20.18,20.18,19.45,19.89,18800,19.89
2014-02-03,19.70,19.76,19.45,19.59,10300,19.59
2014-01-31,19.80,19.91,19.50,19.78,30100,19.78
2014-01-30,19.90,20.20,19.75,20.01,25300,20.01
2014-01-29,19.52,20.25,19.51,19.74,17700,19.74
2014-01-28,19.76,19.76,19.51,19.60,14400,19.60
2014-01-27,20.13,20.17,19.54,19.72,17600,19.72
2014-01-24,19.47,20.20,19.29,20.14,20400,20.14
2014-01-23,20.08,20.25,19.33,19.52,34400,19.52
2014-01-22,20.15,20.15,19.99,20.08,19700,20.08
2014-01-21,20.08,20.15,19.90,20.15,15700,20.15
2014-01-17,20.15,20.15,19.76,20.01,15300,20.01
2014-01-16,20.22,20.22,19.85,20.06,15200,20.06
2014-01-15,20.02,20.25,19.92,20.20,34200,20.20
2014-01-14,20.00,20.10,19.75,20.10,18700,20.10
2014-01-13,20.00,20.01,19.75,20.00,19500,20.00
2014-01-10,20.10,20.10,19.96,20.00,13300,20.00
2014-01-09,19.94,20.09,19.84,20.04,32500,20.04
2014-01-08,19.89,20.00,19.82,19.99,30600,19.99
2014-01-07,19.82,20.02,19.73,19.99,28000,19.99
2014-01-06,19.28,20.10,19.23,19.83,29900,19.83
2014-01-03,19.38,19.75,19.16,19.27,19700,19.27
2014-01-02,19.88,19.88,19.12,19.36,37000,19.36
2013-12-31,19.67,20.10,19.63,19.90,42500,19.90
2013-12-30,19.80,19.80,19.41,19.61,35400,19.61
2013-12-27,19.94,19.94,19.55,19.76,17000,19.76
2013-12-26,19.75,19.99,19.75,19.94,29300,19.94
2013-12-24,20.09,20.09,19.75,19.80,16600,19.80
2013-12-23,20.10,20.10,19.58,20.00,43700,20.00
2013-12-20,19.00,20.20,19.00,20.20,593100,20.20
2013-12-19,19.72,19.79,19.25,19.55,35400,19.55
2013-12-18,19.75,19.80,19.70,19.79,63300,19.79
2013-12-17,19.80,19.82,19.73,19.75,77300,19.75
2013-12-16,19.79,19.84,19.43,19.79,25600,19.79
2013-12-13,19.79,19.82,19.58,19.76,25100,19.76
2013-12-12,19.79,19.84,19.62,19.79,30800,19.79
2013-12-11,19.50,19.85,19.50,19.58,41100,19.58
2013-12-10,19.71,19.71,19.40,19.48,28000,19.48
2013-12-09,19.87,19.90,19.50,19.67,27500,19.67
2013-12-06,19.54,19.90,19.31,19.80,41700,19.80
2013-12-05,19.79,19.89,19.65,19.85,71100,19.38
