Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,13.02,13.29,13.02,13.19,27000,13.19
2014-02-21,13.10,13.16,12.96,13.06,42100,13.06
2014-02-20,13.09,13.10,12.97,13.05,40500,13.05
2014-02-19,13.03,13.10,12.95,12.98,38600,12.98
2014-02-18,13.06,13.10,13.05,13.10,14900,13.10
2014-02-14,13.00,13.05,12.86,13.04,22800,13.04
2014-02-13,12.86,13.00,12.82,12.99,22800,12.99
2014-02-12,12.87,12.93,12.86,12.91,21200,12.91
2014-02-11,12.82,12.91,12.82,12.89,30900,12.89
2014-02-10,12.85,12.87,12.76,12.83,21700,12.83
2014-02-07,12.86,12.98,12.80,12.82,48500,12.82
2014-02-06,12.82,12.88,12.82,12.87,32300,12.87
2014-02-05,12.76,12.85,12.76,12.80,29700,12.80
2014-02-04,12.75,12.85,12.70,12.82,35300,12.82
2014-02-03,12.75,12.85,12.70,12.75,62700,12.75
2014-01-31,12.58,12.68,12.58,12.66,17900,12.66
2014-01-30,12.70,12.70,12.65,12.67,32800,12.67
2014-01-29,12.72,12.72,12.60,12.67,20900,12.67
2014-01-28,12.88,12.88,12.72,12.73,18600,12.73
2014-01-27,12.95,12.95,12.79,12.88,17000,12.88
2014-01-24,12.91,12.95,12.89,12.90,16200,12.90
2014-01-23,12.92,12.94,12.90,12.91,6000,12.91
2014-01-22,12.94,12.94,12.90,12.94,22200,12.94
2014-01-21,12.95,12.95,12.91,12.94,5100,12.94
2014-01-17,12.95,12.95,12.91,12.91,7700,12.91
2014-01-16,12.95,12.95,12.90,12.94,14100,12.94
2014-01-15,12.94,12.95,12.91,12.95,13300,12.95
2014-01-14,12.92,12.94,12.82,12.93,30800,12.93
2014-01-13,12.85,12.94,12.85,12.90,16200,12.90
2014-01-10,12.94,12.94,12.85,12.86,9700,12.86
2014-01-09,12.87,12.95,12.83,12.91,11700,12.91
2014-01-08,12.80,12.87,12.80,12.87,9300,12.87
2014-01-07,12.90,12.90,12.78,12.85,33800,12.85
2014-01-06,12.85,12.91,12.84,12.88,14400,12.88
2014-01-03,12.79,12.85,12.70,12.85,56600,12.85
2014-01-02,12.75,12.85,12.75,12.80,19100,12.80
2013-12-31,12.80,12.80,12.75,12.80,23400,12.80
2013-12-30,12.66,12.80,12.66,12.75,4100,12.75
2013-12-27,12.79,12.80,12.62,12.62,4300,12.62
2013-12-26,12.80,12.80,12.64,12.73,5500,12.73
2013-12-24,12.79,12.80,12.75,12.80,3200,12.80
2013-12-23,12.65,12.92,12.65,12.79,50500,12.79
2013-12-20,12.59,12.65,12.47,12.62,85400,12.62
2013-12-19,12.57,12.58,12.45,12.54,4300,12.54
2013-12-18,12.45,12.60,12.43,12.59,100800,12.59
2013-12-17,12.44,12.60,12.44,12.44,8000,12.44
2013-12-16,12.64,12.68,12.41,12.55,12900,12.55
2013-12-13,12.43,12.64,12.38,12.55,97700,12.55
2013-12-12,12.37,12.48,12.35,12.40,34700,12.40
2013-12-11,12.42,12.44,12.36,12.37,26100,12.37
2013-12-10,12.47,12.48,12.35,12.40,19100,12.40
2013-12-09,12.62,12.62,12.45,12.45,40600,12.45
2013-12-06,12.70,12.74,12.52,12.61,69500,12.61
2013-12-05,12.75,12.75,12.56,12.63,54900,12.63
2013-12-04,12.70,12.75,12.67,12.70,20900,12.70
2013-12-03,12.66,12.75,12.55,12.71,15800,12.71
2013-12-02,12.66,12.75,12.63,12.63,38300,12.63
2013-11-29,12.75,12.75,12.69,12.69,4300,12.69
2013-11-27,12.70,12.73,12.68,12.71,16700,12.71
2013-11-26,12.66,12.75,12.57,12.69,7500,12.69
2013-11-25,12.79,12.80,12.69,12.70,7600,12.70
2013-11-22,12.74,12.80,12.60,12.79,8900,12.79
2013-11-21,12.70,12.80,12.61,12.78,11800,12.78
2013-11-20,12.61,12.80,12.41,12.70,21100,12.70
2013-11-19,12.84,12.91,12.51,12.62,14300,12.56
2013-11-18,12.93,12.93,12.56,12.80,15500,12.74
2013-11-15,12.77,12.83,12.68,12.75,10200,12.69
2013-11-14,12.86,12.93,12.68,12.80,3400,12.74
2013-11-13,12.52,12.90,12.52,12.90,3700,12.84
2013-11-12,12.72,12.90,12.67,12.90,8600,12.84
2013-11-11,12.88,12.88,12.69,12.78,1300,12.72
2013-11-08,12.69,12.90,12.60,12.89,6900,12.83
2013-11-07,12.85,12.89,12.56,12.63,14100,12.57
2013-11-06,12.84,12.90,12.71,12.83,9200,12.77
2013-11-05,12.73,12.89,12.73,12.82,7700,12.76
2013-11-04,12.62,12.90,12.52,12.83,20000,12.77
2013-11-01,12.59,12.76,12.33,12.59,32400,12.53
2013-10-31,12.75,12.92,12.62,12.63,10500,12.57
2013-10-30,12.74,12.92,12.66,12.71,6600,12.65
2013-10-29,12.84,12.89,12.60,12.77,7200,12.71
2013-10-28,12.59,12.82,12.59,12.67,4500,12.61
2013-10-25,12.76,12.86,12.68,12.74,8400,12.68
2013-10-24,12.73,12.82,12.67,12.71,6200,12.65
2013-10-23,12.65,12.78,12.60,12.66,7500,12.60
2013-10-22,12.69,12.73,12.59,12.62,9900,12.56
2013-10-21,12.73,12.84,12.57,12.60,10300,12.54
2013-10-18,12.81,12.81,12.48,12.77,26900,12.71
2013-10-17,12.64,12.79,12.54,12.68,11900,12.62
2013-10-16,12.69,12.73,12.58,12.69,5800,12.63
2013-10-15,12.67,12.92,12.53,12.64,14500,12.58
2013-10-14,12.52,12.79,12.41,12.70,11400,12.64
2013-10-11,12.40,12.72,12.40,12.70,11600,12.64
2013-10-10,12.60,12.65,12.38,12.46,11600,12.40
2013-10-09,12.41,12.62,12.35,12.45,63500,12.39
2013-10-08,12.40,12.45,12.34,12.35,15200,12.29
2013-10-07,12.50,12.63,12.38,12.38,5800,12.32
2013-10-04,12.35,12.75,12.35,12.57,9500,12.51
2013-10-03,12.43,12.91,12.31,12.38,21700,12.32
2013-10-02,12.49,12.71,12.35,12.44,21700,12.38
2013-10-01,12.40,12.66,12.30,12.52,7500,12.46
2013-09-30,12.30,12.40,12.30,12.39,5200,12.33
2013-09-27,12.39,12.62,12.30,12.42,10800,12.36
2013-09-26,12.58,12.80,12.46,12.48,15600,12.42
2013-09-25,12.76,12.87,12.60,12.65,8300,12.59
2013-09-24,12.55,12.94,12.54,12.75,14500,12.69
2013-09-23,12.60,12.81,12.50,12.63,12600,12.57
2013-09-20,12.46,12.75,12.34,12.67,27900,12.61
2013-09-19,12.44,12.62,12.30,12.46,7900,12.40
2013-09-18,12.30,12.69,12.30,12.45,6700,12.39
2013-09-17,12.35,12.44,12.32,12.43,7200,12.37
2013-09-16,12.35,12.40,12.10,12.35,8800,12.29
2013-09-13,12.20,12.38,12.11,12.21,10900,12.15
2013-09-12,12.23,12.27,12.10,12.18,10000,12.12
2013-09-11,12.17,12.35,12.11,12.25,5500,12.19
2013-09-10,12.29,12.39,12.10,12.23,10800,12.17
2013-09-09,12.14,12.24,12.07,12.24,6200,12.18
2013-09-06,12.17,12.17,12.00,12.11,9400,12.05
2013-09-05,11.95,12.09,11.89,12.09,12900,12.03
2013-09-04,12.03,12.12,11.97,11.98,9200,11.92
2013-09-03,12.13,12.22,12.02,12.09,10200,12.03
2013-08-30,12.05,12.13,11.91,12.05,10200,11.99
2013-08-29,11.86,12.16,11.86,12.07,10000,12.01
2013-08-28,11.97,12.00,11.81,11.87,10900,11.81
2013-08-27,12.10,12.10,11.84,11.93,9700,11.87
2013-08-26,12.27,12.28,12.11,12.19,2200,12.13
2013-08-23,12.31,12.31,11.98,12.19,3100,12.13
2013-08-22,11.75,12.34,11.75,12.32,182100,12.26
2013-08-21,12.38,12.39,11.95,12.06,7300,12.00
2013-08-20,12.39,12.47,12.16,12.32,15400,12.26
2013-08-19,12.43,12.59,12.35,12.36,7200,12.30
2013-08-16,12.61,12.92,12.37,12.39,6100,12.33
