Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,38.48,39.75,38.48,39.39,30300,39.39
2014-02-21,38.31,38.60,38.10,38.52,44100,38.52
2014-02-20,38.00,38.36,37.60,38.12,38400,38.12
2014-02-19,38.97,39.39,37.96,37.96,50200,37.96
2014-02-18,39.62,39.62,39.14,39.21,42600,39.21
2014-02-14,39.14,39.65,38.69,39.47,15000,39.47
2014-02-13,38.53,39.30,38.48,39.14,20400,39.14
2014-02-12,38.85,38.97,38.39,38.70,34600,38.70
2014-02-11,38.59,39.20,38.51,38.93,44000,38.93
2014-02-10,38.82,38.82,38.30,38.41,38500,38.41
2014-02-07,39.03,39.19,38.34,38.84,33400,38.84
2014-02-06,38.72,38.95,38.46,38.95,34100,38.95
2014-02-05,39.19,39.45,38.57,38.79,38400,38.79
2014-02-04,39.24,39.70,38.75,39.36,32400,39.36
2014-02-03,40.28,40.52,38.88,39.06,51400,39.06
2014-01-31,40.47,41.13,39.00,40.52,38000,40.52
2014-01-30,41.33,41.78,40.56,41.22,58600,41.22
2014-01-29,41.34,41.50,40.86,40.95,28800,40.95
2014-01-28,41.92,41.92,41.50,41.63,34300,41.63
2014-01-27,42.20,42.30,41.69,41.78,24800,41.78
2014-01-24,42.46,42.81,41.72,41.92,30400,41.92
2014-01-23,42.80,43.01,41.98,42.77,33600,42.77
2014-01-22,43.14,43.28,42.75,43.03,20500,43.03
2014-01-21,42.71,43.24,42.71,43.03,28700,43.03
2014-01-17,42.19,42.71,42.00,42.33,30100,42.33
2014-01-16,42.89,43.04,41.94,42.16,35100,42.16
2014-01-15,42.69,43.04,41.75,42.94,56300,42.94
2014-01-14,42.81,43.09,42.37,42.89,38500,42.89
2014-01-13,43.45,43.50,42.25,42.81,46900,42.81
2014-01-10,44.09,44.45,42.90,43.48,54600,43.48
2014-01-09,43.97,44.10,43.81,43.98,16900,43.98
2014-01-08,44.15,44.39,43.59,43.94,24300,43.94
2014-01-07,44.07,44.32,43.76,44.09,30100,44.09
