Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,16.00,16.14,15.86,15.97,50500,15.97
2014-02-21,16.63,16.65,15.92,15.99,35900,15.99
2014-02-20,16.87,16.99,16.47,16.52,24700,16.52
2014-02-19,17.08,17.17,16.71,16.93,36700,16.93
2014-02-18,16.85,17.33,16.80,17.18,18400,17.18
2014-02-14,16.40,17.04,16.32,16.79,34100,16.79
2014-02-13,16.02,16.31,16.01,16.31,55300,16.31
2014-02-12,16.43,16.46,15.93,16.01,28100,16.01
2014-02-11,16.11,16.48,15.96,16.35,33600,16.35
2014-02-10,15.87,16.18,15.63,16.14,36900,16.14
2014-02-07,15.84,15.86,15.60,15.84,23200,15.84
2014-02-06,15.70,16.05,15.70,15.85,36200,15.85
2014-02-05,15.76,16.10,15.50,15.67,33500,15.67
2014-02-04,15.77,15.96,15.52,15.77,67500,15.77
2014-02-03,16.19,16.22,15.50,15.64,49900,15.64
2014-01-31,16.25,16.52,16.11,16.16,54600,16.16
2014-01-30,16.52,16.78,16.35,16.53,34100,16.53
2014-01-29,16.50,16.72,16.17,16.35,52500,16.35
2014-01-28,16.61,16.67,16.46,16.57,51200,16.57
2014-01-27,17.36,17.36,16.68,16.72,36000,16.72
2014-01-24,17.53,17.75,16.84,17.37,50300,17.37
2014-01-23,17.95,17.96,17.57,17.67,52800,17.67
2014-01-22,17.92,17.95,17.80,17.90,25000,17.90
2014-01-21,18.16,18.18,17.83,17.85,28200,17.85
2014-01-17,18.33,18.39,18.00,18.12,81400,18.12
2014-01-16,18.51,19.02,18.24,18.32,116800,18.32
2014-01-15,18.08,18.67,17.99,18.58,23000,18.58
2014-01-14,17.89,18.23,17.89,18.08,43200,18.08
2014-01-13,17.81,17.93,17.51,17.82,42700,17.82
2014-01-10,17.75,18.06,17.58,17.97,48400,17.97
2014-01-09,17.92,17.92,17.67,17.70,26700,17.70
2014-01-08,17.94,18.04,17.62,17.91,40700,17.91
2014-01-07,18.07,18.19,17.95,18.00,53200,18.00
2014-01-06,18.10,18.18,17.98,18.07,85100,18.07
