Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,26.25,26.30,26.02,26.30,1600,26.30
2014-02-21,26.50,26.50,26.50,26.50,000,26.50
2014-02-20,26.50,26.50,26.50,26.50,000,26.50
2014-02-19,26.50,26.50,26.50,26.50,400,26.50
2014-02-18,26.00,26.00,26.00,26.00,000,26.00
2014-02-14,26.04,26.04,26.00,26.00,2100,26.00
2014-02-13,26.00,26.06,26.00,26.00,2300,26.00
2014-02-12,25.81,26.20,25.81,26.00,2300,26.00
2014-02-11,26.05,26.10,25.85,26.00,4300,26.00
2014-02-10,26.20,26.20,25.75,25.75,500,25.75
2014-02-07,26.00,26.00,25.70,25.70,2200,25.70
2014-02-06,26.20,26.20,26.20,26.20,700,26.20
2014-02-05,25.80,26.00,25.80,26.00,1300,26.00
2014-02-04,26.00,26.00,26.00,26.00,800,26.00
2014-02-03,25.95,25.95,25.95,25.95,000,25.95
2014-01-31,25.60,25.99,25.60,25.95,1500,25.95
2014-01-30,26.00,26.00,25.91,25.91,1700,25.91
2014-01-29,25.85,26.00,25.85,26.00,4300,26.00
2014-01-28,26.00,26.00,26.00,26.00,000,26.00
2014-01-27,25.65,26.00,25.60,26.00,4200,26.00
2014-01-24,25.90,25.91,25.55,25.90,5900,25.90
2014-01-23,25.65,25.90,25.65,25.65,3900,25.65
2014-01-22,25.90,25.90,25.70,25.70,2600,25.70
2014-01-21,25.74,25.74,25.74,25.74,000,25.74
2014-01-17,25.67,25.80,25.67,25.74,11900,25.74
2014-01-16,25.78,25.78,25.75,25.75,5400,25.75
2014-01-15,25.65,25.65,25.45,25.45,10000,25.45
2014-01-14,25.65,25.78,25.61,25.73,6500,25.73
2014-01-13,25.79,25.79,25.65,25.65,1500,25.65
2014-01-10,25.79,25.79,25.77,25.79,1800,25.79
2014-01-09,25.65,25.65,25.65,25.65,000,25.65
2014-01-08,25.65,25.65,25.65,25.65,100,25.65
2014-01-07,25.65,25.80,25.65,25.80,7800,25.80
2014-01-06,25.80,25.80,25.80,25.80,000,25.80
2014-01-03,25.80,25.80,25.80,25.80,200,25.80
2014-01-02,25.60,25.60,25.60,25.60,000,25.60
2013-12-31,25.60,25.60,25.60,25.60,4800,25.60
2013-12-30,25.51,25.60,25.25,25.60,15100,25.60
2013-12-27,25.60,25.60,25.60,25.60,500,25.60
2013-12-26,25.52,25.60,25.52,25.60,2500,25.60
2013-12-24,25.60,25.60,25.60,25.60,900,25.60
2013-12-23,25.90,25.90,25.85,25.85,800,25.85
2013-12-20,25.60,25.60,25.50,25.50,2000,25.50
2013-12-19,25.60,25.85,25.55,25.55,1000,25.55
2013-12-18,25.30,25.65,25.25,25.65,1600,25.65
2013-12-17,25.75,25.97,25.42,25.85,8200,25.85
2013-12-16,25.99,25.99,25.71,25.71,600,25.71
2013-12-13,25.90,25.90,25.90,25.90,000,25.90
2013-12-12,25.90,25.90,25.90,25.90,4100,25.90
2013-12-11,25.71,25.71,25.71,25.71,3700,25.71
2013-12-10,25.71,25.99,25.71,25.99,4100,25.99
2013-12-09,25.80,25.99,25.80,25.99,1100,25.99
2013-12-06,25.80,25.80,25.80,25.80,000,25.80
2013-12-05,25.80,25.80,25.80,25.80,500,25.80
2013-12-04,25.99,25.99,25.99,25.99,500,25.99
2013-12-03,25.75,25.75,25.75,25.75,600,25.75
2013-12-02,25.71,25.71,25.70,25.70,700,25.70
2013-11-29,26.00,26.00,25.76,25.76,900,25.76
2013-11-27,26.00,26.00,26.00,26.00,2800,26.00
2013-11-26,25.75,25.75,25.75,25.75,300,25.75
2013-11-25,25.60,26.00,25.60,26.00,1400,26.00
2013-11-22,25.65,25.65,25.65,25.65,000,25.65
2013-11-21,25.65,25.65,25.65,25.65,000,25.65
2013-11-20,25.65,25.80,25.65,25.65,2600,25.65
2013-11-19,25.57,25.65,25.57,25.65,800,25.65
2013-11-18,25.75,25.75,25.56,25.56,3400,25.56
2013-11-15,25.76,25.76,25.61,25.75,2900,25.75
2013-11-14,25.79,25.79,25.79,25.79,900,25.79
2013-11-13,25.79,25.79,25.79,25.79,400,25.79
2013-11-12,25.53,25.53,25.53,25.53,400,25.53
2013-11-11,25.74,25.74,25.72,25.74,2000,25.74
2013-11-08,25.52,25.55,25.52,25.52,5000,25.52
2013-11-07,25.52,25.56,25.52,25.56,1300,25.56
2013-11-06,25.51,25.65,25.51,25.65,2300,25.65
2013-11-05,25.54,25.69,25.54,25.69,3200,25.69
2013-11-04,25.50,25.50,25.50,25.50,1700,25.50
2013-11-01,25.50,25.50,25.46,25.50,2100,25.50
2013-10-31,25.56,25.56,25.46,25.46,18600,25.46
2013-10-30,25.55,25.55,25.50,25.55,3100,25.55
2013-10-29,25.85,25.85,25.51,25.51,2100,25.51
2013-10-28,25.55,25.57,25.52,25.57,1100,25.57
2013-10-25,25.57,25.57,25.57,25.57,1000,25.57
2013-10-24,25.55,25.55,25.55,25.55,2000,25.55
2013-10-23,25.85,25.85,25.85,25.85,4500,25.85
2013-10-22,25.75,25.75,25.47,25.47,23500,25.47
2013-10-21,25.65,25.65,25.65,25.65,000,25.65
2013-10-18,25.65,25.65,25.65,25.65,000,25.65
2013-10-17,26.00,26.00,25.59,25.65,2700,25.65
2013-10-16,25.58,25.59,25.58,25.59,500,25.59
2013-10-15,25.55,25.55,25.55,25.55,600,25.55
2013-10-14,25.56,25.56,25.56,25.56,300,25.56
2013-10-11,25.50,25.50,25.50,25.50,000,25.50
2013-10-10,25.50,25.50,25.50,25.50,400,25.50
2013-10-09,25.50,25.64,25.50,25.64,1600,25.64
2013-10-08,25.55,26.00,25.55,26.00,1100,26.00
2013-10-07,25.75,25.75,25.75,25.75,400,25.75
2013-10-04,25.75,25.75,25.75,25.75,200,25.75
2013-10-03,25.55,25.55,25.55,25.55,000,25.55
2013-10-02,25.55,25.55,25.55,25.55,500,25.55
2013-10-01,25.51,25.80,25.51,25.80,1400,25.80
2013-09-30,25.51,25.65,25.50,25.65,2800,25.65
2013-09-27,25.75,25.75,25.55,25.55,2100,25.55
2013-09-26,25.51,25.63,25.50,25.50,6000,25.50
2013-09-25,25.55,25.55,25.51,25.51,2600,25.51
2013-09-24,25.50,25.79,25.50,25.53,2200,25.53
2013-09-23,25.52,26.00,25.51,25.55,2700,25.55
2013-09-20,25.56,25.93,25.50,25.55,8900,25.55
2013-09-19,25.51,25.72,25.50,25.72,4700,25.72
2013-09-18,26.00,26.00,25.75,25.75,1600,25.75
2013-09-17,25.50,25.80,25.50,25.60,7400,25.60
2013-09-16,25.80,25.80,25.70,25.70,1600,25.70
2013-09-13,26.00,26.00,25.51,25.71,5100,25.71
2013-09-12,26.00,26.00,26.00,26.00,300,26.00
2013-09-11,26.00,26.00,26.00,26.00,000,26.00
2013-09-10,25.53,26.00,25.53,26.00,3100,26.00
2013-09-09,25.50,26.10,25.50,26.00,3600,26.00
2013-09-06,26.00,26.00,26.00,26.00,000,26.00
2013-09-05,26.00,26.00,25.70,26.00,2100,26.00
2013-09-04,25.50,26.00,25.50,26.00,4500,26.00
2013-09-03,25.80,25.80,25.80,25.80,900,25.80
2013-08-30,25.79,25.80,25.77,25.80,2200,25.80
2013-08-29,25.30,25.40,25.26,25.40,9100,25.40
2013-08-28,25.26,25.28,25.20,25.26,12000,25.26
2013-08-27,25.50,25.50,25.50,25.50,000,25.50
2013-08-26,25.50,25.50,25.50,25.50,200,25.50
2013-08-23,25.50,25.50,25.50,25.50,2100,25.50
2013-08-22,26.00,26.00,26.00,26.00,500,26.00
2013-08-21,25.50,25.50,25.50,25.50,100,25.50
2013-08-20,26.00,26.00,25.50,25.50,4200,25.50
2013-08-19,26.48,26.48,26.48,26.48,000,26.48
2013-08-16,26.48,26.48,26.48,26.48,400,26.48
2013-08-15,25.50,25.50,25.50,25.50,000,25.50
2013-08-14,25.75,25.75,25.50,25.50,1900,25.50
2013-08-13,27.00,27.00,27.00,27.00,000,27.00
2013-08-12,27.00,27.00,27.00,27.00,000,27.00
2013-08-09,27.00,27.00,27.00,27.00,000,27.00
2013-08-08,32.82,32.82,26.20,27.00,500,27.00
2013-08-07,25.55,25.70,25.55,25.65,4800,25.65
2013-08-06,26.00,26.00,26.00,26.00,000,26.00
2013-08-05,25.61,26.25,25.55,26.00,4200,26.00
2013-08-02,25.40,25.50,25.40,25.50,200,25.50
