Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,20.65,21.00,20.65,21.00,700,21.00
2014-02-21,20.25,20.60,20.25,20.59,400,20.59
2014-02-20,20.25,20.25,20.25,20.25,600,20.25
2014-02-19,20.20,20.30,19.95,20.30,1200,20.30
2014-02-18,20.59,20.59,20.03,20.05,4000,20.05
2014-02-14,20.22,20.22,20.22,20.22,000,20.22
2014-02-13,20.23,20.40,20.15,20.22,6000,20.22
2014-02-12,20.19,20.26,20.01,20.12,5400,20.12
2014-02-11,20.08,20.09,20.08,20.09,2500,20.09
2014-02-10,20.07,20.30,19.91,20.00,2900,20.00
2014-02-07,20.35,20.35,20.05,20.05,400,20.05
2014-02-06,20.37,21.00,20.20,20.20,600,20.20
2014-02-05,20.48,20.50,19.95,19.95,4700,19.95
2014-02-04,20.50,20.60,20.50,20.51,2200,20.51
2014-02-03,20.51,21.49,20.51,21.22,1900,21.22
2014-01-31,21.05,21.07,19.88,19.88,2200,19.88
2014-01-30,21.25,21.25,21.25,21.25,700,21.25
2014-01-29,21.65,21.65,21.23,21.23,400,21.23
2014-01-28,21.30,21.30,21.28,21.28,400,21.28
2014-01-27,20.89,21.00,20.89,21.00,300,21.00
2014-01-24,21.78,21.78,21.35,21.35,900,21.35
2014-01-23,21.74,22.03,21.55,22.03,1400,21.91
2014-01-22,21.89,21.98,21.80,21.98,5400,21.86
2014-01-21,21.76,22.03,21.76,22.00,6900,21.88
2014-01-17,22.00,22.05,21.74,21.88,10000,21.76
2014-01-16,21.94,21.94,21.84,21.85,600,21.73
2014-01-15,21.92,21.92,21.71,21.71,1900,21.59
2014-01-14,21.85,22.35,21.85,22.24,8600,22.12
2014-01-13,21.51,21.90,21.51,21.82,11900,21.70
2014-01-10,21.06,21.75,21.06,21.63,1800,21.51
2014-01-09,20.90,20.91,20.90,20.90,900,20.79
2014-01-08,20.10,21.16,20.10,20.64,5500,20.53
2014-01-07,20.78,20.78,20.10,20.10,300,19.99
2014-01-06,19.22,20.50,19.14,19.93,4600,19.82
2014-01-03,19.80,20.00,19.80,20.00,6900,19.89
2014-01-02,19.60,20.00,19.60,19.80,5800,19.69
2013-12-31,20.00,20.00,19.47,19.53,11900,19.42
2013-12-30,19.46,19.80,19.46,19.65,1700,19.54
2013-12-27,19.57,19.57,19.57,19.57,100,19.46
2013-12-26,19.25,19.30,19.25,19.30,400,19.19
2013-12-24,19.60,19.80,19.60,19.80,1200,19.69
2013-12-23,19.02,19.70,18.90,19.40,2200,19.29
2013-12-20,18.90,19.08,18.90,19.08,3100,18.98
2013-12-19,19.10,19.10,18.50,18.81,4200,18.71
2013-12-18,19.50,19.50,19.50,19.50,900,19.39
2013-12-17,19.63,19.63,19.63,19.63,700,19.52
2013-12-16,19.64,19.72,19.64,19.72,1000,19.61
2013-12-13,19.64,19.64,19.64,19.64,300,19.53
2013-12-12,19.51,19.70,19.51,19.60,1100,19.49
2013-12-11,19.52,19.77,19.52,19.65,800,19.54
2013-12-10,19.93,19.93,19.93,19.93,500,19.82
2013-12-09,20.43,20.43,19.69,19.96,4700,19.85
2013-12-06,19.67,19.71,19.67,19.67,800,19.56
2013-12-05,19.65,19.65,19.65,19.65,300,19.54
2013-12-04,19.95,19.95,19.50,19.50,400,19.39
2013-12-03,19.97,20.00,19.81,19.81,2100,19.70
2013-12-02,19.95,19.95,19.95,19.95,100,19.84
2013-11-29,19.13,19.61,19.10,19.61,600,19.50
2013-11-27,19.76,19.80,19.48,19.80,5500,19.69
2013-11-26,19.75,19.75,19.48,19.48,1300,19.37
2013-11-25,19.88,20.00,19.60,19.86,3400,19.75
2013-11-22,19.74,19.88,19.74,19.88,700,19.77
2013-11-21,19.47,19.47,19.47,19.47,000,19.36
2013-11-20,19.38,19.47,19.38,19.47,700,19.36
2013-11-19,19.50,19.50,19.25,19.25,600,19.15
2013-11-18,19.50,19.78,19.10,19.25,5900,19.15
2013-11-15,20.03,20.40,19.53,19.53,2800,19.42
2013-11-14,20.60,20.60,20.07,20.07,600,19.96
2013-11-13,21.00,21.00,20.25,20.73,3500,20.62
2013-11-12,21.17,21.17,20.28,20.95,2900,20.84
2013-11-11,21.04,21.26,20.08,20.95,8600,20.84
2013-11-08,20.97,21.39,20.97,21.39,600,21.27
2013-11-07,21.15,21.45,20.51,20.51,700,20.40
2013-11-06,21.42,21.42,20.36,21.38,3800,21.26
2013-11-05,21.00,21.13,20.69,20.69,1100,20.58
2013-11-04,20.97,20.98,20.75,20.98,2500,20.87
2013-11-01,21.47,21.47,21.00,21.00,500,20.89
2013-10-31,21.16,21.16,20.81,21.00,1900,20.89
2013-10-30,20.88,21.19,20.88,21.11,2500,21.00
2013-10-29,20.99,21.01,20.68,20.68,900,20.57
2013-10-28,20.81,20.96,20.25,20.83,3400,20.72
2013-10-25,21.07,21.50,21.00,21.02,46800,20.91
2013-10-24,21.36,21.36,21.00,21.02,1000,20.91
2013-10-23,20.84,21.49,20.84,21.49,1000,21.37
2013-10-22,21.16,21.78,18.48,20.96,8300,20.85
2013-10-21,21.00,21.98,20.87,21.11,4400,21.00
2013-10-18,20.95,20.99,17.91,20.95,12400,20.84
2013-10-17,20.44,21.96,20.25,21.50,16200,20.25
2013-10-16,20.38,20.76,20.38,20.55,3300,19.36
2013-10-15,19.64,20.46,19.64,20.26,10300,19.08
2013-10-14,18.87,19.80,18.50,19.64,4900,18.50
2013-10-11,18.80,19.01,18.00,18.80,7900,17.71
2013-10-10,18.00,19.37,17.57,18.17,18200,17.11
2013-10-09,17.93,18.15,17.90,17.90,2800,16.86
2013-10-08,17.90,18.15,17.80,17.81,2000,16.78
2013-10-07,17.92,18.00,17.85,17.85,5400,16.81
2013-10-04,17.82,18.10,17.80,17.94,6100,16.90
2013-10-03,18.00,18.15,17.70,17.99,6200,16.95
2013-10-02,18.00,18.00,17.89,17.90,3500,16.86
2013-10-01,18.00,18.00,18.00,18.00,000,16.95
2013-09-30,18.00,18.06,17.90,18.00,4200,16.95
2013-09-27,18.05,18.05,18.00,18.00,800,16.95
2013-09-26,17.94,17.94,17.94,17.94,100,16.90
2013-09-25,17.72,18.09,17.72,17.75,2600,16.72
2013-09-24,17.88,18.01,17.70,17.70,600,16.67
2013-09-23,17.88,17.88,17.88,17.88,000,16.84
2013-09-20,18.36,18.36,17.78,17.88,4300,16.84
2013-09-19,18.10,18.10,17.62,17.66,6300,16.63
2013-09-18,17.98,18.16,17.84,17.85,6100,16.81
2013-09-17,18.00,18.00,17.91,17.91,2900,16.87
2013-09-16,18.22,18.22,17.89,17.98,5700,16.94
2013-09-13,18.00,18.07,18.00,18.07,700,17.02
2013-09-12,18.10,18.14,18.10,18.14,500,17.09
2013-09-11,18.10,18.15,18.04,18.04,600,16.99
2013-09-10,18.10,18.10,18.00,18.04,2000,16.99
2013-09-09,18.10,18.10,18.10,18.10,000,17.05
2013-09-06,18.00,18.34,17.94,18.10,700,17.05
2013-09-05,17.81,17.81,17.81,17.81,000,16.78
2013-09-04,17.77,18.50,17.77,17.81,2600,16.78
2013-09-03,17.84,18.19,17.79,17.79,1100,16.76
2013-08-30,17.50,17.80,17.50,17.62,700,16.60
2013-08-29,17.70,17.92,17.61,17.61,1400,16.59
2013-08-28,18.15,18.20,17.50,17.56,11000,16.54
2013-08-27,18.21,18.40,17.99,18.20,10700,17.14
2013-08-26,17.99,18.39,17.99,18.39,1900,17.32
