Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,0.31,0.32,0.30,0.32,2458700,0.32
2014-02-21,0.32,0.32,0.31,0.31,1552600,0.31
2014-02-20,0.32,0.33,0.31,0.31,1418500,0.31
2014-02-19,0.34,0.34,0.32,0.33,1746800,0.33
2014-02-18,0.32,0.35,0.32,0.33,4108000,0.33
2014-02-14,0.33,0.33,0.31,0.32,1495300,0.32
2014-02-13,0.31,0.33,0.30,0.33,3557600,0.33
2014-02-12,0.31,0.32,0.31,0.31,1224000,0.31
2014-02-11,0.31,0.32,0.31,0.31,1169100,0.31
2014-02-10,0.33,0.33,0.31,0.31,1624600,0.31
2014-02-07,0.31,0.33,0.30,0.32,3682600,0.32
2014-02-06,0.30,0.31,0.29,0.30,1591000,0.30
2014-02-05,0.30,0.31,0.29,0.29,1987400,0.29
2014-02-04,0.32,0.32,0.30,0.30,1906700,0.30
2014-02-03,0.31,0.32,0.31,0.32,2040300,0.32
2014-01-31,0.33,0.35,0.31,0.31,4324100,0.31
2014-01-30,0.34,0.36,0.33,0.34,3044600,0.34
2014-01-29,0.35,0.38,0.35,0.36,11362600,0.36
2014-01-28,0.32,0.34,0.31,0.33,2213600,0.33
2014-01-27,0.35,0.35,0.29,0.31,5335300,0.31
2014-01-24,0.36,0.37,0.34,0.34,2512800,0.34
2014-01-23,0.36,0.37,0.32,0.37,5492600,0.37
2014-01-22,0.38,0.38,0.34,0.35,6179100,0.35
2014-01-21,0.36,0.38,0.35,0.38,6748300,0.38
2014-01-17,0.36,0.38,0.33,0.36,13027500,0.36
2014-01-16,0.30,0.39,0.29,0.39,27768600,0.39
2014-01-15,0.31,0.32,0.29,0.30,4485100,0.30
2014-01-14,0.32,0.35,0.30,0.30,12099600,0.30
2014-01-13,0.30,0.32,0.29,0.31,8664100,0.31
2014-01-10,0.34,0.35,0.29,0.29,15862600,0.29
2014-01-09,0.28,0.32,0.28,0.31,16774600,0.31
2014-01-08,0.28,0.29,0.27,0.28,4279600,0.28
2014-01-07,0.27,0.28,0.26,0.28,3053700,0.28
2014-01-06,0.27,0.27,0.26,0.27,3428100,0.27
2014-01-03,0.27,0.27,0.26,0.26,2795700,0.26
2014-01-02,0.26,0.27,0.26,0.27,3405400,0.27
2013-12-31,0.26,0.27,0.25,0.26,3391700,0.26
2013-12-30,0.26,0.28,0.25,0.27,4642300,0.27
2013-12-27,0.24,0.27,0.24,0.25,3634900,0.25
2013-12-26,0.24,0.25,0.24,0.25,2083800,0.25
2013-12-24,0.25,0.25,0.24,0.24,1438800,0.24
2013-12-23,0.25,0.26,0.25,0.25,1710800,0.25
2013-12-20,0.24,0.27,0.24,0.27,3475000,0.27
2013-12-19,0.24,0.25,0.23,0.24,2821200,0.24
2013-12-18,0.25,0.25,0.23,0.24,3783600,0.24
2013-12-17,0.24,0.25,0.23,0.25,3870000,0.25
2013-12-16,0.23,0.25,0.22,0.23,4238600,0.23
2013-12-13,0.24,0.24,0.22,0.23,2874300,0.23
2013-12-12,0.26,0.26,0.24,0.25,1186200,0.25
2013-12-11,0.26,0.27,0.25,0.25,3275400,0.25
2013-12-10,0.25,0.26,0.24,0.24,1607800,0.24
2013-12-09,0.27,0.27,0.24,0.26,2227300,0.26
2013-12-06,0.28,0.28,0.25,0.26,3777600,0.26
2013-12-05,0.29,0.30,0.27,0.28,4014500,0.28
2013-12-04,0.31,0.31,0.29,0.30,1368600,0.30
2013-12-03,0.31,0.31,0.29,0.29,1848200,0.29
2013-12-02,0.32,0.32,0.30,0.31,1405900,0.31
2013-11-29,0.32,0.32,0.31,0.32,266600,0.32
2013-11-27,0.32,0.32,0.31,0.31,635400,0.31
2013-11-26,0.31,0.31,0.30,0.31,468800,0.31
2013-11-25,0.32,0.32,0.30,0.30,707800,0.30
2013-11-22,0.32,0.32,0.31,0.32,394500,0.32
2013-11-21,0.32,0.33,0.30,0.32,672100,0.32
2013-11-20,0.33,0.33,0.32,0.32,517000,0.32
2013-11-19,0.33,0.34,0.32,0.33,1190900,0.33
2013-11-18,0.30,0.33,0.30,0.31,948500,0.31
2013-11-15,0.30,0.31,0.30,0.30,623600,0.30
2013-11-14,0.31,0.31,0.30,0.30,1384700,0.30
2013-11-13,0.31,0.31,0.30,0.30,1346700,0.30
2013-11-12,0.31,0.32,0.30,0.30,737400,0.30
2013-11-11,0.30,0.32,0.30,0.30,705600,0.30
2013-11-08,0.32,0.32,0.30,0.30,1792700,0.30
2013-11-07,0.33,0.33,0.30,0.33,1191200,0.33
2013-11-06,0.32,0.33,0.32,0.33,678400,0.33
2013-11-05,0.32,0.33,0.31,0.33,771800,0.33
2013-11-04,0.31,0.33,0.31,0.33,759800,0.33
2013-11-01,0.32,0.33,0.31,0.31,546000,0.31
2013-10-31,0.31,0.33,0.30,0.33,1053300,0.33
2013-10-30,0.32,0.32,0.30,0.31,1317900,0.31
2013-10-29,0.32,0.32,0.31,0.31,1594400,0.31
2013-10-28,0.34,0.34,0.31,0.31,1231000,0.31
2013-10-25,0.32,0.33,0.31,0.32,1208400,0.32
2013-10-24,0.33,0.33,0.31,0.33,3719300,0.33
2013-10-23,0.34,0.34,0.32,0.32,8990100,0.32
2013-10-22,0.43,0.44,0.42,0.42,676300,0.42
2013-10-21,0.45,0.47,0.42,0.45,1262500,0.45
2013-10-18,0.45,0.45,0.43,0.44,857200,0.44
2013-10-17,0.41,0.45,0.40,0.45,2011400,0.45
2013-10-16,0.42,0.43,0.39,0.41,1468600,0.41
2013-10-15,0.46,0.46,0.40,0.42,2274400,0.42
2013-10-14,0.42,0.46,0.42,0.46,1523400,0.46
2013-10-11,0.44,0.46,0.42,0.43,954900,0.43
2013-10-10,0.42,0.45,0.41,0.44,1633100,0.44
2013-10-09,0.46,0.46,0.40,0.40,3086300,0.40
2013-10-08,0.49,0.49,0.43,0.44,4639400,0.44
2013-10-07,0.52,0.57,0.47,0.49,4204100,0.49
2013-10-04,0.45,0.60,0.43,0.51,11746800,0.51
2013-10-03,0.58,0.58,0.48,0.52,13356900,0.52
2013-10-02,0.42,0.66,0.40,0.59,49936300,0.59
2013-10-01,0.34,0.34,0.31,0.31,3196900,0.31
2013-09-30,0.35,0.36,0.31,0.33,5269600,0.33
2013-09-27,0.31,0.31,0.30,0.30,917100,0.30
2013-09-26,0.32,0.32,0.30,0.31,918000,0.31
2013-09-25,0.31,0.32,0.29,0.30,1229000,0.30
2013-09-24,0.30,0.31,0.29,0.30,1047200,0.30
2013-09-23,0.32,0.32,0.30,0.31,1157700,0.31
2013-09-20,0.32,0.32,0.31,0.32,1191000,0.32
2013-09-19,0.32,0.32,0.31,0.32,744400,0.32
