Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,21.14,23.20,21.14,23.20,900,23.20
2014-02-21,23.01,23.01,23.01,23.01,000,23.01
2014-02-20,23.01,23.01,23.01,23.01,000,23.01
2014-02-19,23.01,23.01,23.01,23.01,000,23.01
2014-02-18,23.01,23.01,23.01,23.01,1200,23.01
2014-02-14,24.00,24.00,24.00,24.00,000,24.00
2014-02-13,24.00,24.00,24.00,24.00,000,24.00
2014-02-12,24.00,24.00,24.00,24.00,000,24.00
2014-02-11,24.00,24.00,24.00,24.00,000,24.00
2014-02-10,24.00,24.00,24.00,24.00,100,24.00
2014-02-07,24.00,24.00,24.00,24.00,000,24.00
2014-02-06,23.97,24.00,23.97,24.00,1000,24.00
2014-02-05,24.83,24.83,24.83,24.83,000,24.83
2014-02-04,24.83,24.83,24.83,24.83,000,24.83
2014-02-03,24.52,24.83,24.52,24.83,200,24.83
2014-01-31,24.83,24.83,24.83,24.83,1000,24.83
2014-01-30,24.83,24.83,24.83,24.83,000,24.83
2014-01-29,24.83,24.83,24.83,24.83,000,24.71
2014-01-28,24.83,24.83,24.83,24.83,000,24.71
2014-01-27,24.83,24.83,24.83,24.83,000,24.71
2014-01-24,24.83,24.83,24.83,24.83,000,24.71
2014-01-23,24.83,24.83,24.83,24.83,000,24.71
2014-01-22,24.83,24.83,24.83,24.83,000,24.71
2014-01-21,24.83,24.83,24.83,24.83,000,24.71
2014-01-17,24.64,25.05,24.64,24.83,600,24.71
2014-01-16,24.04,24.04,24.04,24.04,000,23.93
2014-01-15,23.85,24.04,23.85,24.04,700,23.93
2014-01-14,23.05,23.05,23.05,23.05,000,22.94
2014-01-13,23.05,23.05,23.05,23.05,000,22.94
2014-01-10,23.05,23.05,23.05,23.05,000,22.94
2014-01-09,23.05,23.05,23.05,23.05,300,22.94
2014-01-08,23.05,23.05,23.05,23.05,100,22.94
2014-01-07,23.12,23.12,23.12,23.12,000,23.01
2014-01-06,23.12,23.12,23.12,23.12,000,23.01
2014-01-03,23.12,23.12,23.12,23.12,100,23.01
2014-01-02,23.40,23.40,23.40,23.40,100,23.29
2013-12-31,23.46,23.65,23.46,23.65,300,23.54
2013-12-30,26.00,26.00,26.00,26.00,000,25.88
2013-12-27,26.00,26.00,26.00,26.00,000,25.88
2013-12-26,26.00,26.00,26.00,26.00,200,25.88
2013-12-24,24.49,24.49,24.49,24.49,000,24.38
2013-12-23,24.49,24.49,24.49,24.49,400,24.38
2013-12-20,24.04,24.04,24.04,24.04,000,23.93
2013-12-19,24.04,24.04,24.04,24.04,200,23.93
2013-12-18,24.07,24.31,24.07,24.31,500,24.20
2013-12-17,23.94,24.03,23.94,24.03,2300,23.92
2013-12-16,23.81,23.81,23.81,23.81,000,23.70
2013-12-13,23.81,23.81,23.81,23.81,000,23.70
2013-12-12,23.50,23.81,23.50,23.81,500,23.70
2013-12-11,23.10,23.10,23.10,23.10,100,22.99
2013-12-10,23.99,23.99,23.99,23.99,300,23.88
2013-12-09,23.00,23.75,23.00,23.75,2300,23.64
2013-12-06,22.50,22.50,22.50,22.50,500,22.40
2013-12-05,22.26,22.74,22.26,22.74,1300,22.63
2013-12-04,22.40,22.40,21.90,22.10,1900,22.00
2013-12-03,21.00,21.99,21.00,21.99,1700,21.89
2013-12-02,20.93,20.93,20.93,20.93,000,20.83
2013-11-29,20.92,20.93,20.92,20.93,1200,20.83
2013-11-27,21.80,21.80,20.50,20.50,1100,20.41
2013-11-26,21.95,21.95,21.10,21.10,200,21.00
2013-11-25,22.37,22.37,21.62,21.95,1500,21.85
2013-11-22,22.23,22.23,22.23,22.23,300,22.13
2013-11-21,21.79,21.79,21.79,21.79,000,21.69
2013-11-20,21.79,21.79,21.74,21.79,900,21.69
2013-11-19,21.40,21.40,21.40,21.40,000,21.30
2013-11-18,22.25,22.25,21.21,21.40,800,21.30
2013-11-15,22.85,22.85,22.85,22.85,000,22.74
2013-11-14,22.85,22.85,22.85,22.85,300,22.74
2013-11-13,21.90,21.90,21.90,21.90,000,21.80
2013-11-12,22.00,22.00,21.90,21.90,300,21.80
