Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,27.60,27.79,27.60,27.78,2000,27.78
2014-02-21,27.62,27.62,27.55,27.55,15900,27.55
2014-02-20,27.22,27.54,27.22,27.50,5300,27.50
2014-02-19,27.43,27.60,27.35,27.35,3600,27.35
2014-02-18,27.34,27.52,27.27,27.52,2100,27.52
2014-02-14,27.17,27.36,27.17,27.36,1700,27.36
2014-02-13,27.07,27.10,27.07,27.10,500,27.10
2014-02-12,26.90,26.98,26.90,26.90,2100,26.90
2014-02-11,26.58,26.90,26.54,26.84,3300,26.84
2014-02-10,26.48,26.54,26.38,26.54,13300,26.54
2014-02-07,26.51,26.59,26.39,26.59,4500,26.59
2014-02-06,26.31,26.52,26.31,26.41,6000,26.41
2014-02-05,26.14,26.30,25.89,26.19,6300,26.19
2014-02-04,26.35,26.48,26.26,26.31,4700,26.31
2014-02-03,27.15,27.15,26.24,26.27,12800,26.27
2014-01-31,26.94,27.32,26.94,27.16,8700,27.16
2014-01-30,27.41,27.47,27.39,27.39,2200,27.39
2014-01-29,27.18,27.32,26.96,27.02,5400,27.02
2014-01-28,27.26,27.34,27.22,27.34,1800,27.34
2014-01-27,27.58,27.70,27.16,27.47,15400,27.47
2014-01-24,27.72,27.72,27.49,27.49,3300,27.45
2014-01-23,28.17,28.23,28.08,28.19,2900,28.15
2014-01-22,28.37,28.45,28.26,28.35,6800,28.31
2014-01-21,28.35,28.35,28.24,28.27,7700,28.23
2014-01-17,28.35,28.35,28.17,28.18,10700,28.14
2014-01-16,28.24,28.37,28.24,28.36,4100,28.32
2014-01-15,28.24,28.38,28.23,28.36,14200,28.32
2014-01-14,27.94,28.20,27.74,28.20,2500,28.16
2014-01-13,28.22,28.22,27.75,27.75,4400,27.71
2014-01-10,28.16,28.29,28.15,28.28,3700,28.24
2014-01-09,28.34,28.34,28.13,28.16,3700,28.12
2014-01-08,28.29,28.32,28.14,28.16,5700,28.12
2014-01-07,28.43,28.43,28.25,28.34,6500,28.30
2014-01-06,28.39,28.39,28.10,28.10,2500,28.06
2014-01-03,28.23,28.41,28.23,28.26,20400,28.22
2014-01-02,28.46,28.46,28.13,28.20,14000,28.16
2013-12-31,28.76,28.76,28.61,28.61,2400,28.57
2013-12-30,28.65,28.70,28.59,28.66,15200,28.62
2013-12-27,28.91,28.91,28.60,28.67,7500,28.63
2013-12-26,28.76,28.76,28.72,28.72,1000,28.68
2013-12-24,28.66,28.71,28.66,28.71,7600,28.67
2013-12-23,28.38,28.54,28.38,28.54,6200,28.46
2013-12-20,27.89,28.27,27.89,28.27,8800,28.19
2013-12-19,28.01,28.01,27.93,27.95,1000,27.87
2013-12-18,27.63,28.00,27.52,28.00,1500,27.92
2013-12-17,27.60,27.74,27.42,27.62,9800,27.54
