Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,21.72,22.51,21.72,22.33,48900,22.33
2014-02-21,21.57,22.48,21.50,21.55,31600,21.55
2014-02-20,21.70,22.35,20.88,21.41,59700,21.41
2014-02-19,20.89,21.92,20.87,21.85,45900,21.85
2014-02-18,21.46,21.46,20.87,20.94,62700,20.94
2014-02-14,21.35,21.49,20.91,21.49,69100,21.49
2014-02-13,21.33,21.40,21.12,21.24,24600,21.24
2014-02-12,21.36,21.66,21.15,21.49,23300,21.49
2014-02-11,21.81,21.93,21.10,21.37,20300,21.37
2014-02-10,22.73,22.74,20.93,21.91,25000,21.91
2014-02-07,21.62,22.00,20.92,21.42,26600,21.42
2014-02-06,21.06,21.60,21.06,21.60,40300,21.60
2014-02-05,21.17,21.50,21.09,21.25,16500,21.08
2014-02-04,21.09,21.45,21.06,21.15,40500,20.98
2014-02-03,21.33,21.55,21.08,21.16,46000,20.99
2014-01-31,21.20,21.53,21.18,21.38,15400,21.20
2014-01-30,21.35,21.55,21.11,21.44,22100,21.26
2014-01-29,21.19,21.74,21.06,21.16,29000,20.99
2014-01-28,21.49,22.00,21.41,21.41,24600,21.23
2014-01-27,21.79,21.99,21.40,21.62,28200,21.44
2014-01-24,21.72,21.98,21.37,21.73,24300,21.55
2014-01-23,21.90,22.05,21.36,21.84,33300,21.66
2014-01-22,21.71,22.17,21.50,21.63,62500,21.45
2014-01-21,21.97,22.51,21.51,21.84,117100,21.66
2014-01-17,22.10,22.49,21.63,22.00,45300,21.82
2014-01-16,21.73,22.14,21.51,22.08,52300,21.90
2014-01-15,21.95,22.77,21.51,21.51,68600,21.33
2014-01-14,22.31,22.50,21.87,22.01,77700,21.83
2014-01-13,21.77,22.22,21.45,22.22,111200,22.04
2014-01-10,20.94,21.15,20.75,21.01,119100,20.84
2014-01-09,20.97,21.31,20.81,20.97,80700,20.80
2014-01-08,21.07,21.79,20.81,21.19,90200,21.02
2014-01-07,21.77,21.80,20.71,21.18,158600,21.01
2014-01-06,21.98,22.20,21.60,21.83,109800,21.65
2014-01-03,22.02,22.02,21.80,21.88,37500,21.70
2014-01-02,22.26,22.45,21.60,21.84,135100,21.66
2013-12-31,22.80,22.96,22.06,22.55,48000,22.36
2013-12-30,23.00,23.79,22.48,22.63,69100,22.44
2013-12-27,22.52,22.89,22.51,22.67,52100,22.48
2013-12-26,21.94,22.71,21.70,22.51,73700,22.32
2013-12-24,21.60,22.00,21.60,21.84,79400,21.66
2013-12-23,21.24,21.67,21.11,21.67,91600,21.49
2013-12-20,20.33,21.06,20.32,21.06,82300,20.89
2013-12-19,20.30,20.75,19.83,20.44,94100,20.27
2013-12-18,19.52,20.25,19.52,20.09,98800,19.92
2013-12-17,19.65,19.92,19.51,19.90,197700,19.74
2013-12-16,19.81,20.19,19.51,19.52,76800,19.36
2013-12-13,19.26,20.10,19.26,19.60,84000,19.44
2013-12-12,19.18,19.45,19.18,19.33,81100,19.17
2013-12-11,19.41,19.54,19.12,19.21,215900,19.05
2013-12-10,19.50,19.99,19.30,19.47,210300,19.31
2013-12-09,19.51,20.00,19.51,19.79,317700,19.63
2013-12-06,18.71,19.70,18.70,19.46,154100,19.30
2013-12-05,19.19,19.19,18.62,19.05,196500,18.89
2013-12-04,19.48,19.60,18.90,19.23,116500,19.07
2013-12-03,18.65,19.50,18.65,19.40,183700,19.24
2013-12-02,18.76,18.90,18.25,18.90,164400,18.74
2013-11-29,18.55,18.85,18.45,18.75,97300,18.60
2013-11-27,18.31,18.67,18.19,18.60,509200,18.45
2013-11-26,18.20,18.50,17.95,18.25,114600,18.10
2013-11-25,18.36,18.36,18.05,18.16,78200,18.01
2013-11-22,18.35,18.36,18.05,18.24,164200,18.09
2013-11-21,18.28,18.39,18.00,18.35,245100,18.20
2013-11-20,18.00,18.25,17.96,18.25,288200,18.10
2013-11-19,18.00,18.05,17.96,18.05,270800,17.90
2013-11-18,18.00,18.08,17.95,18.05,195600,17.90
2013-11-15,17.55,18.18,17.50,18.02,365900,17.87
2013-11-14,17.80,18.05,17.51,18.01,847500,17.86
2013-11-13,17.00,18.10,16.75,18.00,7048000,17.85
