Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,19.07,19.07,19.00,19.00,500,19.00
2014-02-21,19.00,19.42,19.00,19.42,1700,19.42
2014-02-20,19.14,19.14,18.80,19.00,5400,19.00
2014-02-19,19.06,19.07,18.53,19.00,1300,19.00
2014-02-18,20.05,20.05,20.05,20.05,300,20.05
2014-02-14,20.66,20.66,20.66,20.66,000,20.66
2014-02-13,20.66,20.66,20.66,20.66,100,20.66
2014-02-12,20.66,20.66,20.66,20.66,200,20.66
2014-02-11,20.65,20.65,20.65,20.65,300,20.65
2014-02-10,20.60,20.60,20.60,20.60,000,20.60
2014-02-07,20.65,20.66,20.60,20.60,4500,20.60
2014-02-06,20.55,20.66,20.55,20.63,6500,20.63
2014-02-05,20.50,20.50,20.50,20.50,000,20.50
2014-02-04,20.66,20.66,20.47,20.50,3000,20.50
2014-02-03,20.61,20.61,20.61,20.61,700,20.61
2014-01-31,20.50,20.50,20.50,20.50,9800,20.50
2014-01-30,20.66,20.66,20.66,20.66,100,20.66
2014-01-29,20.50,20.65,20.50,20.65,15400,20.65
2014-01-28,20.40,20.70,20.40,20.70,500,20.70
2014-01-27,20.31,20.43,20.31,20.40,2300,20.40
2014-01-24,20.50,20.50,20.00,20.03,1800,20.03
2014-01-23,20.65,20.70,20.05,20.70,4600,20.70
2014-01-22,20.50,20.65,20.50,20.65,5600,20.65
2014-01-21,20.10,20.26,20.10,20.26,700,20.26
2014-01-17,20.10,20.25,20.10,20.25,1100,20.25
2014-01-16,20.25,20.25,20.25,20.25,1400,20.25
2014-01-15,20.00,20.00,20.00,20.00,200,20.00
2014-01-14,20.50,20.65,20.50,20.65,1000,20.65
2014-01-13,20.50,20.50,20.50,20.50,100,20.50
2014-01-10,20.48,20.48,20.48,20.48,100,20.48
2014-01-09,20.70,20.70,20.70,20.70,1500,20.70
2014-01-08,20.75,20.75,20.75,20.75,000,20.75
2014-01-07,20.75,20.75,20.75,20.75,000,20.75
2014-01-06,20.75,20.75,20.75,20.75,000,20.75
2014-01-03,20.75,20.75,20.75,20.75,000,20.75
2014-01-02,20.75,20.75,20.75,20.75,000,20.75
2013-12-31,20.75,20.75,20.75,20.75,000,20.75
2013-12-30,20.75,20.75,20.75,20.75,000,20.75
2013-12-27,20.00,20.75,20.00,20.75,400,20.75
2013-12-26,20.75,20.75,20.75,20.75,000,20.75
2013-12-24,20.75,20.75,20.75,20.75,000,20.75
2013-12-23,20.75,20.75,20.75,20.75,500,20.75
2013-12-20,19.05,19.05,19.05,19.05,300,19.05
2013-12-19,20.43,20.43,20.43,20.43,000,20.43
2013-12-18,20.43,20.43,20.43,20.43,000,20.43
2013-12-17,20.43,20.43,20.43,20.43,400,20.43
2013-12-16,20.00,20.01,20.00,20.00,1300,20.00
2013-12-13,18.55,20.40,18.51,20.40,500,20.40
2013-12-12,19.80,19.80,19.80,19.80,000,19.80
2013-12-11,19.80,19.80,19.80,19.80,000,19.80
2013-12-10,19.80,19.80,19.80,19.80,000,19.80
2013-12-09,19.80,19.80,19.80,19.80,000,19.80
2013-12-06,19.80,19.80,19.80,19.80,000,19.80
2013-12-05,19.63,19.80,19.63,19.80,300,19.73
2013-12-04,19.81,19.81,19.81,19.81,000,19.74
2013-12-03,19.81,19.81,19.81,19.81,000,19.74
2013-12-02,19.60,19.81,19.60,19.81,1300,19.74
2013-11-29,19.64,19.64,19.64,19.64,100,19.57
2013-11-27,19.88,19.88,19.88,19.88,400,19.81
2013-11-26,21.00,21.00,19.54,19.54,300,19.47
2013-11-25,21.00,21.00,21.00,21.00,000,20.93
2013-11-22,21.00,21.00,21.00,21.00,000,20.93
2013-11-21,21.00,21.00,20.96,21.00,4300,20.93
2013-11-20,20.97,21.25,20.97,21.20,3400,21.13
2013-11-19,20.11,20.11,20.11,20.11,000,20.04
2013-11-18,20.11,20.11,20.11,20.11,000,20.04
2013-11-15,20.11,20.11,20.11,20.11,000,20.04
2013-11-14,20.11,20.11,20.11,20.11,000,20.04
2013-11-13,20.11,20.11,20.11,20.11,000,20.04
2013-11-12,20.21,20.21,20.11,20.11,200,20.04
2013-11-11,20.20,20.20,20.03,20.03,500,19.96
2013-11-08,20.95,20.95,20.95,20.95,300,20.88
2013-11-07,21.00,21.00,21.00,21.00,000,20.93
2013-11-06,21.00,21.00,21.00,21.00,300,20.93
2013-11-05,20.00,20.00,20.00,20.00,000,19.93
2013-11-04,20.00,20.00,20.00,20.00,1300,19.93
2013-11-01,20.00,20.00,20.00,20.00,000,19.93
2013-10-31,20.00,20.00,20.00,20.00,100,19.93
2013-10-30,20.57,20.57,20.00,20.00,1900,19.93
2013-10-29,20.05,20.05,20.05,20.05,200,19.98
2013-10-28,20.02,20.02,20.02,20.02,000,19.95
2013-10-25,20.02,20.02,20.02,20.02,000,19.95
2013-10-24,20.02,20.02,20.02,20.02,900,19.95
2013-10-23,20.02,20.02,20.02,20.02,100,19.95
2013-10-22,19.61,19.61,19.61,19.61,100,19.54
2013-10-21,22.00,22.00,22.00,22.00,000,21.92
2013-10-18,19.95,22.00,19.95,22.00,9300,21.92
2013-10-17,20.00,20.00,20.00,20.00,000,19.93
2013-10-16,19.40,20.00,19.40,20.00,1500,19.93
2013-10-15,20.00,20.00,20.00,20.00,000,19.93
2013-10-14,20.00,20.00,20.00,20.00,000,19.93
2013-10-11,20.00,20.00,20.00,20.00,000,19.93
2013-10-10,19.55,20.00,19.35,20.00,11700,19.93
