Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,2.35,2.35,2.26,2.33,7000,2.33
2014-02-21,2.30,2.34,2.25,2.32,10300,2.32
2014-02-20,2.26,2.31,2.25,2.30,42700,2.30
2014-02-19,2.29,2.29,2.25,2.25,36400,2.25
2014-02-18,2.31,2.33,2.25,2.32,34400,2.32
2014-02-14,2.26,2.30,2.25,2.29,44300,2.29
2014-02-13,2.27,2.33,2.26,2.27,26600,2.27
2014-02-12,2.33,2.33,2.27,2.28,9300,2.28
2014-02-11,2.33,2.33,2.30,2.30,15200,2.30
2014-02-10,2.28,2.34,2.26,2.32,40400,2.32
2014-02-07,2.33,2.33,2.30,2.32,18500,2.32
2014-02-06,2.31,2.37,2.30,2.33,29500,2.33
2014-02-05,2.31,2.36,2.31,2.36,14600,2.36
2014-02-04,2.32,2.32,2.30,2.30,21500,2.30
2014-02-03,2.39,2.39,2.29,2.31,41600,2.31
2014-01-31,2.39,2.39,2.34,2.39,16100,2.39
2014-01-30,2.40,2.40,2.37,2.37,26100,2.37
2014-01-29,2.45,2.45,2.39,2.39,13400,2.39
2014-01-28,2.41,2.43,2.39,2.40,19200,2.40
2014-01-27,2.40,2.44,2.39,2.41,11200,2.41
2014-01-24,2.44,2.44,2.42,2.43,25000,2.43
2014-01-23,2.41,2.44,2.40,2.42,28800,2.42
2014-01-22,2.43,2.43,2.37,2.39,18800,2.39
2014-01-21,2.40,2.43,2.32,2.39,176200,2.39
2014-01-17,2.48,2.50,2.41,2.41,204300,2.41
2014-01-16,2.52,2.52,2.45,2.45,39600,2.45
2014-01-15,2.57,2.57,2.51,2.52,46500,2.52
2014-01-14,2.57,2.57,2.48,2.51,73900,2.51
2014-01-13,2.56,2.56,2.50,2.53,113000,2.53
2014-01-10,2.44,2.52,2.35,2.52,77100,2.52
2014-01-09,2.29,2.52,2.25,2.43,313400,2.43
2014-01-08,2.24,2.28,2.18,2.27,60100,2.27
2014-01-07,2.24,2.28,2.19,2.27,57700,2.27
2014-01-06,2.19,2.25,2.19,2.23,44500,2.23
2014-01-03,2.29,2.30,2.24,2.25,135400,2.25
2014-01-02,2.25,2.28,2.21,2.26,20700,2.26
2013-12-31,2.20,2.30,2.18,2.24,32800,2.24
2013-12-30,2.26,2.30,2.22,2.27,44100,2.27
2013-12-27,2.30,2.30,2.25,2.29,105600,2.29
2013-12-26,2.37,2.40,2.36,2.38,9900,2.38
2013-12-24,2.45,2.45,2.38,2.40,3200,2.40
2013-12-23,2.43,2.45,2.38,2.39,24200,2.39
2013-12-20,2.48,2.48,2.38,2.41,7500,2.41
2013-12-19,2.36,2.48,2.36,2.39,19800,2.39
2013-12-18,2.42,2.42,2.36,2.36,32700,2.36
2013-12-17,2.45,2.45,2.40,2.40,7000,2.40
2013-12-16,2.44,2.44,2.41,2.42,10800,2.42
2013-12-13,2.44,2.44,2.41,2.41,12900,2.41
2013-12-12,2.47,2.48,2.42,2.42,21900,2.42
2013-12-11,2.47,2.52,2.46,2.47,6300,2.47
2013-12-10,2.52,2.54,2.47,2.48,19200,2.48
2013-12-09,2.46,2.52,2.46,2.50,17300,2.50
2013-12-06,2.45,2.52,2.45,2.49,58300,2.49
2013-12-05,2.49,2.50,2.45,2.47,36700,2.47
2013-12-04,2.45,2.49,2.42,2.47,57500,2.47
2013-12-03,2.41,2.45,2.41,2.42,19100,2.42
2013-12-02,2.45,2.45,2.41,2.41,18200,2.41
2013-11-29,2.45,2.47,2.40,2.45,10700,2.45
2013-11-27,2.41,2.44,2.40,2.40,23500,2.40
2013-11-26,2.48,2.48,2.40,2.43,53800,2.43
2013-11-25,2.48,2.61,2.48,2.49,32900,2.49
2013-11-22,2.49,2.50,2.45,2.50,9200,2.50
2013-11-21,2.41,2.50,2.41,2.50,49900,2.50
2013-11-20,2.49,2.49,2.43,2.44,29100,2.39
2013-11-19,2.44,2.46,2.43,2.45,20600,2.40
2013-11-18,2.45,2.46,2.43,2.44,28900,2.39
2013-11-15,2.49,2.49,2.43,2.43,23200,2.38
2013-11-14,2.45,2.46,2.41,2.43,32900,2.38
2013-11-13,2.53,2.53,2.45,2.45,54800,2.40
2013-11-12,2.55,2.55,2.53,2.55,28300,2.50
2013-11-11,2.49,2.57,2.49,2.54,29500,2.49
2013-11-08,2.55,2.56,2.48,2.52,6000,2.47
2013-11-07,2.46,2.56,2.46,2.56,15500,2.51
2013-11-06,2.47,2.49,2.46,2.47,11200,2.42
2013-11-05,2.50,2.58,2.45,2.50,38000,2.45
2013-11-04,2.47,2.53,2.45,2.46,41900,2.41
2013-11-01,2.51,2.54,2.48,2.50,25100,2.45
2013-10-31,2.51,2.54,2.51,2.51,5200,2.46
2013-10-30,2.56,2.58,2.51,2.51,6000,2.46
2013-10-29,2.58,2.58,2.53,2.58,13700,2.53
2013-10-28,2.56,2.58,2.53,2.54,9100,2.49
2013-10-25,2.53,2.58,2.53,2.53,12900,2.48
2013-10-24,2.50,2.57,2.50,2.55,17000,2.50
2013-10-23,2.57,2.58,2.49,2.50,7900,2.45
2013-10-22,2.47,2.58,2.47,2.53,5400,2.48
2013-10-21,2.53,2.54,2.48,2.49,17300,2.44
2013-10-18,2.57,2.60,2.54,2.57,39800,2.52
