Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,29.00,29.30,29.00,29.12,36200,29.12
2014-02-21,28.95,29.02,28.72,28.86,9800,28.86
2014-02-20,28.51,28.56,28.27,28.52,73000,28.52
2014-02-19,28.76,28.89,28.54,28.54,20600,28.54
2014-02-18,28.87,28.97,28.74,28.93,27100,28.93
2014-02-14,28.27,28.44,28.12,28.35,21100,28.35
2014-02-13,28.09,28.65,27.95,28.50,12100,28.50
2014-02-12,28.77,28.80,28.60,28.74,45500,28.74
2014-02-11,28.53,28.97,28.53,28.90,14900,28.90
2014-02-10,28.53,28.53,28.28,28.41,14600,28.41
2014-02-07,28.54,28.57,28.16,28.51,32100,28.51
2014-02-06,27.55,28.21,27.55,28.10,31700,28.10
2014-02-05,27.51,27.52,27.09,27.36,14600,27.36
2014-02-04,27.18,27.66,27.07,27.57,91900,27.57
2014-02-03,28.37,28.37,27.61,27.67,51100,27.67
2014-01-31,28.49,28.96,28.49,28.55,45800,28.55
2014-01-30,29.53,29.64,29.18,29.49,51900,29.49
2014-01-29,29.19,29.30,28.83,29.23,30400,29.23
2014-01-28,29.17,29.33,29.17,29.28,39200,29.28
2014-01-27,29.17,29.18,28.62,28.96,86800,28.96
2014-01-24,29.36,29.40,29.08,29.15,136900,29.15
2014-01-23,30.21,30.21,29.65,29.83,328500,29.83
2014-01-22,30.70,30.87,30.65,30.80,106900,30.80
2014-01-21,30.91,30.92,30.65,30.91,124500,30.91
2014-01-17,30.75,30.82,30.67,30.71,62400,30.71
2014-01-16,30.25,30.40,30.13,30.39,75000,30.39
2014-01-15,30.44,30.54,30.31,30.52,110300,30.52
2014-01-14,29.93,30.39,29.93,30.32,75500,30.32
2014-01-13,29.95,30.18,29.67,29.86,95600,29.86
2014-01-10,30.51,30.51,30.06,30.36,68400,30.36
2014-01-09,30.43,30.43,30.13,30.30,101600,30.30
2014-01-08,30.39,30.49,30.18,30.28,365100,30.28
2014-01-07,29.88,30.14,29.88,30.10,48000,30.10
2014-01-06,30.01,30.14,29.65,29.87,50500,29.87
2014-01-03,29.74,29.91,29.57,29.89,38600,29.89
2014-01-02,30.16,30.30,29.69,29.74,95600,29.74
2013-12-31,30.31,30.38,30.21,30.34,71600,30.34
2013-12-30,30.36,30.37,30.11,30.29,59600,30.29
2013-12-27,29.68,30.01,29.68,30.01,65100,30.01
2013-12-26,29.30,29.66,29.30,29.48,60700,29.48
2013-12-24,28.91,28.91,28.68,28.75,6800,28.75
2013-12-23,29.18,29.38,29.11,29.37,25400,29.31
2013-12-20,29.09,29.12,28.98,29.08,7900,29.02
2013-12-19,28.98,29.01,28.87,28.93,49700,28.87
2013-12-18,29.09,29.52,28.88,29.50,26500,29.44
2013-12-17,28.93,28.93,28.71,28.74,8000,28.68
2013-12-16,28.88,28.91,28.69,28.88,8000,28.82
2013-12-13,29.10,29.10,28.96,28.96,45600,28.90
2013-12-12,29.16,29.40,29.16,29.38,4800,29.32
2013-12-11,29.14,29.23,28.87,28.95,151000,28.89
2013-12-10,29.18,29.35,29.13,29.32,110800,29.26
2013-12-09,29.31,29.38,29.21,29.34,22800,29.28
2013-12-06,29.15,29.32,29.08,29.29,37100,29.23
2013-12-05,28.91,28.92,28.65,28.65,37700,28.59
2013-12-04,28.99,29.23,28.78,29.10,41800,29.04
2013-12-03,29.19,29.29,29.01,29.15,175200,29.09
2013-12-02,29.65,29.72,29.54,29.55,34600,29.49
2013-11-29,29.35,29.47,29.35,29.43,10500,29.37
2013-11-27,29.36,29.50,29.36,29.45,35200,29.39
2013-11-26,29.23,29.23,29.09,29.17,8100,29.11
2013-11-25,29.33,29.35,29.13,29.13,42000,29.07
2013-11-22,29.31,29.44,29.17,29.41,14900,29.35
2013-11-21,29.47,29.56,29.32,29.52,16900,29.46
2013-11-20,29.18,29.30,29.11,29.15,18800,29.09
2013-11-19,29.16,29.20,28.97,29.09,48600,29.03
2013-11-18,29.24,29.32,29.00,29.17,73200,29.11
2013-11-15,29.22,29.34,29.20,29.33,8700,29.27
2013-11-14,29.00,29.16,28.84,29.12,35900,29.06
2013-11-13,28.46,28.65,28.39,28.53,6600,28.47
2013-11-12,28.33,28.47,28.29,28.39,8100,28.33
2013-11-11,28.19,28.19,28.18,28.18,2900,28.12
2013-11-08,27.99,28.22,27.99,28.18,62500,28.12
2013-11-07,28.37,28.37,27.33,27.45,57500,27.39
2013-11-06,28.40,28.44,28.28,28.41,3800,28.35
