Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,23.40,23.45,23.40,23.45,3100,23.45
2014-02-21,23.36,23.42,23.35,23.42,100800,23.42
2014-02-20,23.14,23.14,23.13,23.13,2300,23.13
2014-02-19,23.27,23.27,23.20,23.24,7500,23.24
2014-02-18,23.33,23.33,23.13,23.23,16100,23.23
2014-02-14,23.27,23.41,23.27,23.30,25300,23.30
2014-02-13,22.94,23.03,22.74,22.90,296700,22.90
2014-02-12,23.02,23.19,22.99,22.99,79100,22.99
2014-02-11,22.97,23.16,22.95,22.95,2400,22.95
2014-02-10,23.08,23.08,22.85,22.98,7100,22.98
2014-02-07,22.77,22.97,22.77,22.93,7200,22.93
2014-02-06,22.76,22.76,22.76,22.76,300,22.76
2014-02-05,22.43,22.55,22.43,22.55,1100,22.55
2014-02-04,22.49,22.49,22.49,22.49,300,22.49
2014-02-03,22.81,22.81,22.46,22.54,3700,22.54
2014-01-31,22.93,22.98,22.93,22.96,4100,22.96
2014-01-30,23.05,23.05,23.03,23.03,5400,23.03
2014-01-29,22.88,22.88,22.88,22.88,000,22.88
2014-01-28,22.91,22.95,22.78,22.88,13000,22.88
2014-01-27,22.79,22.81,22.79,22.79,4000,22.79
2014-01-24,23.17,23.17,22.80,22.81,4100,22.81
2014-01-23,23.14,23.15,23.04,23.11,6900,23.11
2014-01-22,23.41,23.47,23.41,23.47,2700,23.47
2014-01-21,23.30,23.40,23.30,23.39,500,23.39
2014-01-17,23.16,23.16,22.99,23.04,60600,23.04
2014-01-16,23.25,23.26,23.16,23.22,4400,23.22
2014-01-15,23.17,23.29,23.17,23.29,300,23.29
2014-01-14,23.16,23.23,23.16,23.23,1300,23.23
2014-01-13,23.07,23.23,22.96,22.99,2900,22.99
2014-01-10,22.96,22.96,22.93,22.93,900,22.93
2014-01-09,23.00,23.00,22.87,22.93,4300,22.93
2014-01-08,23.19,23.19,23.12,23.12,2100,23.12
2014-01-07,23.32,23.41,23.32,23.41,2400,23.41
2014-01-06,23.07,23.17,23.03,23.10,3500,23.10
2014-01-03,23.43,23.43,23.35,23.39,7000,23.39
2014-01-02,23.52,23.52,23.34,23.40,30900,23.40
2013-12-31,24.30,24.30,24.30,24.30,300,24.30
2013-12-30,24.07,24.07,24.07,24.07,700,24.07
2013-12-27,23.98,23.98,23.98,23.98,000,23.98
2013-12-26,23.98,23.98,23.98,23.98,2400,23.98
2013-12-24,23.95,23.95,23.90,23.92,1000,23.92
2013-12-23,24.06,24.06,24.03,24.03,1600,23.80
2013-12-20,23.89,24.00,23.89,23.98,4100,23.75
2013-12-19,23.75,23.91,23.75,23.80,1800,23.57
2013-12-18,24.38,24.38,24.38,24.38,500,24.15
2013-12-17,23.95,23.95,23.95,23.95,100,23.72
2013-12-16,23.94,24.12,23.94,24.12,200,23.89
2013-12-13,23.87,23.91,23.87,23.88,1200,23.65
2013-12-12,24.00,24.00,23.89,23.92,2000,23.69
2013-12-11,24.02,24.02,24.02,24.02,300,23.79
2013-12-10,24.36,24.36,24.20,24.22,5800,23.99
2013-12-09,24.61,24.65,24.42,24.51,4700,24.27
2013-12-06,24.57,24.57,24.57,24.57,100,24.33
2013-12-05,24.45,24.48,24.37,24.39,2300,24.16
2013-12-04,24.49,24.49,24.40,24.40,1400,24.17
2013-12-03,24.64,24.65,24.52,24.57,2900,24.33
2013-12-02,25.07,25.07,24.90,24.90,8200,24.66
2013-11-29,25.34,25.44,25.34,25.41,5100,25.17
2013-11-27,25.11,25.11,25.11,25.11,100,24.87
2013-11-26,24.88,25.05,24.88,25.05,1400,24.81
2013-11-25,25.00,25.00,24.92,24.92,8800,24.68
2013-11-22,24.86,24.93,24.86,24.93,1300,24.69
2013-11-21,24.81,24.84,24.71,24.79,7700,24.55
2013-11-20,25.12,25.15,25.12,25.15,800,24.91
2013-11-19,25.27,25.28,25.21,25.25,1400,25.01
2013-11-18,25.15,25.20,25.08,25.08,21200,24.84
2013-11-15,24.87,25.14,24.87,25.13,3900,24.89
2013-11-14,24.54,24.54,24.43,24.51,19300,24.27
2013-11-13,24.42,24.52,24.42,24.52,3200,24.28
2013-11-12,24.99,24.99,24.90,24.90,3000,24.66
2013-11-11,24.89,24.89,24.85,24.85,2000,24.61
2013-11-08,24.90,24.94,24.77,24.92,6100,24.68
2013-11-07,25.18,25.18,25.01,25.02,3700,24.78
