Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.30,10.30,10.30,10.30,000,10.30
2014-02-21,10.30,10.30,10.30,10.30,000,10.30
2014-02-20,10.30,10.30,10.30,10.30,000,10.30
2014-02-19,10.30,10.30,10.30,10.30,200000,10.30
2014-02-18,10.38,10.38,10.38,10.38,000,10.38
2014-02-14,10.38,10.38,10.38,10.38,000,10.38
2014-02-13,10.38,10.38,10.38,10.38,100,10.38
2014-02-12,10.35,10.35,10.35,10.35,000,10.35
2014-02-11,10.35,10.35,10.35,10.35,000,10.35
2014-02-10,10.22,10.35,10.22,10.35,170100,10.35
2014-02-07,10.25,10.25,10.17,10.17,2600,10.17
2014-02-06,10.27,10.27,10.27,10.27,000,10.27
2014-02-05,10.27,10.27,10.27,10.27,000,10.27
2014-02-04,10.27,10.27,10.27,10.27,000,10.27
2014-02-03,10.29,10.44,10.26,10.27,9200,10.27
2014-01-31,10.26,10.26,10.26,10.26,100,10.26
2014-01-30,10.31,10.31,10.31,10.31,000,10.31
2014-01-29,10.28,10.44,10.28,10.31,7000,10.31
2014-01-28,10.36,10.53,10.35,10.40,5200,10.40
2014-01-27,10.30,10.39,10.28,10.34,12400,10.34
2014-01-24,10.15,10.41,10.15,10.40,1773100,10.40
2014-01-23,10.29,10.29,10.29,10.29,000,10.29
2014-01-22,10.44,10.45,10.29,10.29,600,10.29
2014-01-21,10.30,10.40,10.30,10.40,901800,10.40
2014-01-17,10.26,10.39,10.25,10.30,107000,10.30
2014-01-16,10.30,10.38,10.20,10.35,24800,10.35
2014-01-15,10.10,10.16,10.10,10.10,161600,10.10
2014-01-14,10.05,10.09,10.01,10.09,114100,10.09
2014-01-13,10.12,10.12,10.00,10.00,175000,10.00
2014-01-10,10.04,10.04,10.04,10.04,000,10.04
2014-01-09,10.04,10.04,10.04,10.04,000,10.04
2014-01-08,10.04,10.04,10.04,10.04,000,10.04
2014-01-07,10.05,10.05,10.04,10.04,15100,10.04
2014-01-06,10.10,10.10,10.10,10.10,100,10.10
2014-01-03,10.01,10.01,9.98,10.00,201900,10.00
2014-01-02,10.01,10.01,10.01,10.01,100,10.01
2013-12-31,10.00,10.00,10.00,10.00,500,10.00
2013-12-30,10.12,10.12,10.12,10.12,000,10.12
2013-12-27,10.12,10.12,10.12,10.12,000,10.12
2013-12-26,10.12,10.12,10.12,10.12,000,10.12
2013-12-24,10.12,10.12,10.12,10.12,000,10.12
2013-12-23,10.12,10.12,10.12,10.12,000,10.12
2013-12-20,10.12,10.12,10.12,10.12,000,10.12
2013-12-19,10.12,10.12,10.12,10.12,000,10.12
2013-12-18,10.12,10.12,10.12,10.12,000,10.12
2013-12-17,10.12,10.12,10.12,10.12,000,10.12
2013-12-16,10.12,10.12,10.12,10.12,000,10.12
2013-12-13,10.12,10.12,10.12,10.12,2200,10.12
2013-12-12,10.12,10.12,10.12,10.12,000,10.12
2013-12-11,10.12,10.12,10.12,10.12,000,10.12
2013-12-10,10.12,10.12,10.12,10.12,000,10.12
2013-12-09,10.12,10.12,10.12,10.12,000,10.12
2013-12-06,10.12,10.12,10.12,10.12,000,10.12
2013-12-05,10.12,10.12,10.12,10.12,000,10.12
2013-12-04,10.12,10.12,10.12,10.12,000,10.12
2013-12-03,10.12,10.12,10.12,10.12,000,10.12
2013-12-02,10.12,10.12,10.12,10.12,1700,10.12
2013-11-29,10.10,10.10,10.10,10.10,000,10.10
2013-11-27,10.10,10.10,10.10,10.10,500,10.10
2013-11-26,10.09,10.09,10.09,10.09,000,10.09
2013-11-25,10.00,10.09,10.00,10.09,491500,10.09
2013-11-22,10.10,10.10,10.10,10.10,2800,10.10
2013-11-21,10.10,10.10,10.10,10.10,000,10.10
2013-11-20,10.10,10.10,10.10,10.10,000,10.10
2013-11-19,10.10,10.10,10.10,10.10,000,10.10
2013-11-18,10.10,10.10,10.10,10.10,62300,10.10
2013-11-15,10.15,10.15,10.10,10.10,700,10.10
2013-11-14,10.10,10.10,10.10,10.10,000,10.10
2013-11-13,10.10,10.10,10.10,10.10,000,10.10
2013-11-12,10.10,10.10,10.10,10.10,000,10.10
2013-11-11,10.10,10.10,10.10,10.10,000,10.10
2013-11-08,10.10,10.10,10.10,10.10,000,10.10
2013-11-07,10.10,10.10,10.10,10.10,000,10.10
2013-11-06,10.10,10.15,10.05,10.10,55000,10.10
2013-11-05,10.10,10.10,10.10,10.10,000,10.10
2013-11-04,10.10,10.10,10.10,10.10,55200,10.10
2013-11-01,10.10,10.10,10.10,10.10,000,10.10
2013-10-31,10.20,10.20,10.10,10.10,5700,10.10
2013-10-30,10.10,10.10,10.10,10.10,000,10.10
2013-10-29,10.10,10.10,10.10,10.10,000,10.10
2013-10-28,10.08,10.10,10.05,10.10,51300,10.10
2013-10-25,10.14,10.14,10.10,10.10,12900,10.10
2013-10-24,10.10,10.10,10.06,10.06,2000,10.06
2013-10-23,10.10,10.12,10.10,10.10,1700,10.10
2013-10-22,10.08,10.08,10.08,10.08,000,10.08
2013-10-21,10.08,10.08,10.08,10.08,000,10.08
2013-10-18,10.08,10.08,10.08,10.08,000,10.08
2013-10-17,10.08,10.08,10.08,10.08,000,10.08
2013-10-16,10.08,10.08,10.08,10.08,000,10.08
2013-10-15,10.08,10.08,10.08,10.08,000,10.08
2013-10-14,10.08,10.08,10.08,10.08,000,10.08
2013-10-11,10.08,10.08,10.08,10.08,000,10.08
2013-10-10,10.08,10.08,10.08,10.08,000,10.08
2013-10-09,9.20,10.08,9.20,10.08,1200,10.08
2013-10-08,10.15,10.15,10.15,10.15,000,10.15
2013-10-07,10.15,10.15,10.15,10.15,000,10.15
2013-10-04,10.15,10.15,10.15,10.15,000,10.15
2013-10-03,10.15,10.15,10.15,10.15,000,10.15
2013-10-02,10.15,10.15,10.15,10.15,000,10.15
2013-10-01,10.15,10.15,10.15,10.15,000,10.15
2013-09-30,10.19,10.19,10.15,10.15,1600,10.15
2013-09-27,10.14,10.14,10.14,10.14,000,10.14
2013-09-26,10.14,10.14,10.14,10.14,000,10.14
2013-09-25,10.14,10.14,10.14,10.14,000,10.14
2013-09-24,10.14,10.14,10.14,10.14,000,10.14
2013-09-23,10.14,10.14,10.14,10.14,000,10.14
2013-09-20,10.14,10.14,10.14,10.14,000,10.14
2013-09-19,10.11,10.14,10.11,10.14,8500,10.14
2013-09-18,10.11,10.11,10.11,10.11,700,10.11
2013-09-17,10.09,10.09,10.09,10.09,000,10.09
2013-09-16,10.15,10.15,10.09,10.09,2400,10.09
2013-09-13,10.12,10.12,10.12,10.12,000,10.12
2013-09-12,10.12,10.12,10.12,10.12,000,10.12
2013-09-11,10.12,10.12,10.12,10.12,000,10.12
2013-09-10,10.12,10.12,10.12,10.12,100,10.12
2013-09-09,10.10,10.10,10.10,10.10,000,10.10
2013-09-06,10.10,10.10,10.10,10.10,000,10.10
2013-09-05,10.10,10.10,10.10,10.10,000,10.10
2013-09-04,10.10,10.10,10.10,10.10,000,10.10
2013-09-03,10.10,10.10,10.10,10.10,000,10.10
2013-08-30,10.10,10.10,10.10,10.10,000,10.10
2013-08-29,10.10,10.10,10.10,10.10,200,10.10
2013-08-28,10.14,10.14,10.10,10.10,800,10.10
2013-08-27,10.07,10.07,10.07,10.07,000,10.07
2013-08-26,10.07,10.07,10.07,10.07,000,10.07
2013-08-23,10.07,10.07,10.07,10.07,000,10.07
2013-08-22,10.07,10.07,10.07,10.07,000,10.07
2013-08-21,10.07,10.07,10.07,10.07,000,10.07
2013-08-20,10.07,10.07,10.07,10.07,000,10.07
2013-08-19,10.07,10.07,10.07,10.07,200,10.07
2013-08-16,10.10,10.10,10.10,10.10,000,10.10
2013-08-15,10.10,10.10,10.10,10.10,150000,10.10
2013-08-14,10.18,10.18,10.08,10.11,300,10.11
2013-08-13,10.19,10.19,10.08,10.10,500,10.10
2013-08-12,10.15,10.15,10.06,10.06,900,10.06
2013-08-09,10.10,10.12,10.10,10.12,45000,10.12
2013-08-08,10.15,10.15,10.10,10.10,5200,10.10
2013-08-07,10.15,10.15,10.10,10.10,2600,10.10
2013-08-06,10.05,10.14,10.05,10.13,11800,10.13
2013-08-05,10.16,10.20,10.07,10.10,30400,10.10
2013-08-02,10.14,10.20,10.05,10.10,26700,10.10
2013-08-01,10.10,10.10,10.04,10.10,14200,10.10
2013-07-31,10.04,10.04,10.04,10.04,40400,10.04
2013-07-30,10.10,10.10,10.04,10.04,17000,10.04
2013-07-29,10.10,10.10,10.03,10.03,24600,10.03
2013-07-26,10.00,10.10,10.00,10.03,656900,10.03
