Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,14.96,15.47,14.72,15.45,217300,15.45
2014-02-21,12.84,15.00,12.80,14.34,78300,14.34
2014-02-20,12.57,12.81,12.15,12.75,25700,12.75
2014-02-19,11.45,12.44,11.45,12.42,22900,12.42
2014-02-18,11.55,11.55,11.31,11.50,2900,11.50
2014-02-14,11.50,12.00,11.17,11.31,35900,11.31
2014-02-13,11.31,11.50,11.10,11.50,95600,11.50
2014-02-12,11.29,11.50,11.21,11.41,6100,11.41
2014-02-11,11.17,11.43,11.00,11.43,22300,11.43
2014-02-10,11.06,11.44,11.05,11.17,48700,11.17
2014-02-07,10.70,11.31,10.51,11.15,172700,11.15
2014-02-06,10.35,11.80,10.11,10.85,1765600,10.85
