Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,15.92,16.54,15.70,16.28,364300,16.28
2014-02-21,16.60,16.98,15.50,16.10,802400,16.10
2014-02-20,16.60,17.19,16.29,16.80,541800,16.80
2014-02-19,15.13,17.18,14.97,16.62,1202500,16.62
2014-02-18,14.67,15.29,14.66,15.21,501200,15.21
2014-02-14,14.84,14.95,14.54,14.72,135800,14.65
2014-02-13,14.41,14.93,14.41,14.84,168500,14.76
2014-02-12,14.55,14.71,14.34,14.54,138100,14.47
2014-02-11,14.24,14.64,14.17,14.59,175500,14.52
2014-02-10,14.17,14.41,14.01,14.20,244800,14.13
2014-02-07,13.99,14.39,13.90,14.12,297500,14.05
2014-02-06,13.87,14.37,13.73,13.90,250700,13.83
2014-02-05,13.58,14.12,13.20,13.87,305600,13.80
2014-02-04,13.64,13.78,13.46,13.63,269600,13.56
2014-02-03,13.60,13.74,13.42,13.60,469700,13.53
2014-01-31,13.76,13.94,13.54,13.58,198300,13.51
2014-01-30,13.66,14.02,13.48,13.95,436600,13.88
2014-01-29,13.28,13.77,13.22,13.52,377800,13.45
2014-01-28,12.98,13.92,12.91,13.49,646000,13.42
2014-01-27,13.45,13.45,12.95,13.01,340100,12.94
2014-01-24,13.88,14.27,13.34,13.45,285300,13.38
2014-01-23,14.45,14.45,13.85,13.99,271100,13.92
2014-01-22,13.83,14.58,13.76,14.50,420300,14.43
2014-01-21,13.81,14.00,13.60,13.86,377900,13.79
2014-01-17,13.79,14.19,13.65,13.77,374300,13.70
2014-01-16,13.71,13.98,13.55,13.83,246400,13.76
2014-01-15,14.25,14.67,12.88,13.78,716600,13.71
2014-01-14,13.80,14.22,13.69,14.14,169200,14.07
2014-01-13,13.98,14.06,13.69,13.78,302300,13.71
2014-01-10,14.38,14.51,13.95,14.06,444800,13.99
2014-01-09,14.92,14.99,14.28,14.30,456500,14.23
2014-01-08,14.76,14.98,14.33,14.97,945000,14.89
2014-01-07,14.19,15.00,14.17,14.82,940100,14.74
2014-01-06,14.34,14.44,13.87,14.11,352100,14.04
2014-01-03,14.37,14.65,14.25,14.37,277800,14.30
2014-01-02,14.71,14.92,14.24,14.41,379900,14.34
2013-12-31,14.90,15.16,14.68,14.71,508600,14.64
2013-12-30,14.72,15.05,14.70,14.89,325700,14.81
2013-12-27,14.70,15.17,14.50,14.79,327400,14.71
2013-12-26,14.54,15.05,14.54,14.63,302600,14.56
2013-12-24,14.50,14.73,14.33,14.56,198400,14.49
2013-12-23,14.03,14.55,13.96,14.48,607700,14.41
2013-12-20,14.05,14.25,13.90,14.02,892900,13.95
2013-12-19,14.05,14.26,13.85,14.07,219500,14.00
2013-12-18,14.06,14.22,13.85,14.12,236400,14.05
2013-12-17,14.18,14.29,13.95,14.12,591400,14.05
2013-12-16,13.95,14.40,13.90,14.22,434800,14.15
2013-12-13,13.73,14.01,13.70,13.94,342100,13.87
2013-12-12,13.49,13.99,13.49,13.71,271400,13.64
2013-12-11,13.67,13.90,13.51,13.56,240800,13.49
2013-12-10,13.61,13.92,13.44,13.72,451800,13.65
2013-12-09,13.95,14.04,13.55,13.68,503900,13.61
2013-12-06,13.83,14.44,13.76,13.96,427600,13.89
2013-12-05,13.84,14.00,13.61,13.74,222000,13.67
2013-12-04,13.51,14.05,13.45,13.88,386900,13.81
2013-12-03,13.65,13.82,13.41,13.60,215400,13.53
2013-12-02,13.93,14.03,13.56,13.67,282200,13.60
2013-11-29,13.91,14.08,13.75,13.93,147400,13.86
2013-11-27,13.54,13.98,13.52,13.91,215900,13.84
2013-11-26,13.70,13.94,13.32,13.56,506000,13.49
2013-11-25,13.92,14.14,13.68,13.74,369500,13.67
2013-11-22,14.10,14.28,13.85,13.94,342500,13.87
2013-11-21,14.18,14.30,14.05,14.13,478700,14.06
2013-11-20,13.89,14.30,13.75,14.10,288900,14.03
2013-11-19,13.46,14.10,13.46,13.89,552000,13.82
2013-11-18,13.17,14.00,13.17,13.50,429400,13.43
2013-11-15,13.32,13.46,13.05,13.11,291500,13.04
2013-11-14,13.46,13.75,13.20,13.36,514400,13.29
2013-11-13,12.93,13.54,12.90,13.51,413000,13.44
2013-11-12,13.23,13.58,12.99,13.01,602500,12.94
2013-11-11,12.88,13.78,12.82,13.23,659300,13.16
2013-11-08,12.64,13.46,11.34,12.87,1471000,12.80
2013-11-07,12.37,13.33,12.17,13.11,1227900,13.04
