Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,12.15,12.38,12.09,12.38,79100,12.38
2014-02-21,12.06,12.28,12.02,12.09,26400,12.09
2014-02-20,12.20,12.40,12.00,12.10,76100,12.10
2014-02-19,12.03,12.10,12.00,12.05,26900,12.05
2014-02-18,12.00,12.10,12.00,12.06,21200,12.06
2014-02-14,12.00,12.15,12.00,12.10,38600,12.10
2014-02-13,12.25,12.25,12.00,12.02,178700,12.02
2014-02-12,12.40,12.40,12.10,12.22,40100,12.22
2014-02-11,12.00,12.20,12.00,12.18,84200,12.18
2014-02-10,12.00,12.28,12.00,12.09,68700,12.09
2014-02-07,12.00,12.07,12.00,12.00,152300,12.00
2014-02-06,12.50,12.66,11.82,12.00,2687100,12.00
