Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,30.56,31.32,30.46,30.58,19000,30.58
2014-02-21,28.77,31.43,28.75,30.47,78400,30.47
2014-02-20,27.83,28.44,27.83,28.33,24300,28.33
2014-02-19,27.88,28.42,27.46,27.54,17900,27.54
2014-02-18,27.13,28.21,26.88,28.09,37600,28.09
2014-02-14,27.23,27.56,26.85,26.99,5600,26.99
2014-02-13,27.30,27.46,27.00,27.23,10500,27.23
2014-02-12,27.45,27.64,27.45,27.52,17000,27.52
2014-02-11,27.26,27.50,27.15,27.46,8500,27.46
2014-02-10,27.02,27.32,26.91,27.20,16100,27.20
2014-02-07,26.78,27.00,26.78,26.91,11100,26.91
2014-02-06,26.40,27.28,26.39,26.72,20700,26.72
2014-02-05,26.27,27.73,26.27,26.87,21200,26.87
2014-02-04,26.67,26.67,26.23,26.53,13200,26.53
2014-02-03,27.30,27.81,26.52,26.57,17300,26.57
2014-01-31,27.39,28.45,27.26,27.48,25800,27.48
2014-01-30,27.95,28.26,27.54,27.94,14400,27.94
2014-01-29,27.88,28.19,27.10,27.56,19900,27.56
2014-01-28,28.41,28.51,27.14,28.33,10600,28.33
2014-01-27,28.97,28.97,28.00,28.51,28700,28.51
2014-01-24,30.02,30.02,28.51,29.05,14300,29.05
2014-01-23,30.36,30.37,30.01,30.18,11400,30.18
2014-01-22,30.58,30.96,30.30,30.37,25200,30.37
2014-01-21,30.56,30.56,30.29,30.41,8400,30.41
2014-01-17,30.45,30.56,30.29,30.29,5200,30.29
2014-01-16,30.29,30.62,30.29,30.58,6000,30.58
2014-01-15,30.33,30.50,30.01,30.33,10600,30.33
2014-01-14,29.88,30.24,29.74,30.14,15100,30.14
2014-01-13,29.69,30.00,29.62,29.82,5900,29.82
2014-01-10,29.93,30.10,29.57,29.68,27200,29.68
2014-01-09,29.98,30.49,29.80,30.16,9600,30.16
2014-01-08,29.57,30.61,29.37,29.85,35600,29.85
2014-01-07,29.39,30.44,28.65,29.51,28800,29.51
2014-01-06,29.92,30.00,29.01,29.16,21500,29.16
2014-01-03,29.41,30.04,28.69,29.66,30600,29.66
2014-01-02,30.37,30.40,29.06,29.39,14300,29.39
2013-12-31,30.86,31.22,29.97,30.62,14700,30.62
2013-12-30,31.53,31.83,30.35,30.82,32700,30.82
2013-12-27,31.87,32.00,30.94,31.89,29100,31.89
2013-12-26,31.61,32.00,31.39,31.77,6500,31.77
2013-12-24,31.54,32.34,31.39,32.00,19100,32.00
2013-12-23,31.84,32.50,31.42,31.98,18400,31.98
2013-12-20,31.26,32.00,31.26,31.50,37100,31.50
2013-12-19,31.31,31.74,30.52,31.11,19700,31.11
2013-12-18,30.08,31.79,30.08,31.69,10500,31.69
2013-12-17,30.33,30.48,29.71,30.13,15200,30.13
2013-12-16,30.16,30.69,29.42,30.50,29700,30.50
2013-12-13,30.41,30.42,29.70,30.06,18400,30.06
2013-12-12,29.56,30.68,29.38,30.37,37100,30.37
2013-12-11,30.60,30.73,28.80,29.67,47200,29.67
2013-12-10,31.08,31.22,30.00,30.45,31800,30.45
2013-12-09,31.12,31.12,30.72,31.00,3700,31.00
2013-12-06,31.83,31.83,30.95,31.17,10100,31.17
2013-12-05,31.07,31.45,30.81,31.43,4800,31.43
2013-12-04,31.13,31.71,31.09,31.19,20800,31.19
2013-12-03,30.77,31.70,30.65,31.08,22700,31.08
2013-12-02,31.16,32.25,30.01,30.88,29100,30.88
2013-11-29,31.09,32.00,30.46,31.18,25900,31.18
2013-11-27,30.87,31.09,30.70,30.82,10900,30.82
2013-11-26,30.72,31.11,30.72,30.87,7700,30.87
2013-11-25,29.92,30.82,29.67,30.49,12100,30.49
2013-11-22,29.69,30.44,29.40,30.02,25000,30.02
2013-11-21,29.16,29.79,28.90,29.79,27300,29.79
2013-11-20,29.72,29.92,28.77,29.10,31600,28.87
2013-11-19,28.85,29.86,28.80,29.69,33200,29.46
2013-11-18,30.08,30.68,28.72,28.75,23300,28.52
2013-11-15,28.42,29.98,28.42,29.89,18900,29.65
2013-11-14,31.58,31.58,27.04,28.51,61200,28.28
2013-11-13,30.84,31.90,30.80,31.69,9200,31.44
2013-11-12,31.41,31.41,30.00,31.11,42200,30.86
2013-11-11,31.89,32.72,31.19,31.60,56800,31.35
2013-11-08,31.75,32.13,31.75,31.85,18300,31.60
2013-11-07,33.44,33.63,31.51,31.92,23500,31.67
2013-11-06,33.82,34.51,32.82,33.79,29100,33.52
2013-11-05,33.94,34.02,32.65,33.74,10600,33.47
2013-11-04,34.01,34.99,33.87,34.01,17400,33.74
2013-11-01,34.04,35.48,33.19,33.87,26100,33.60
2013-10-31,34.11,34.51,33.69,34.04,28500,33.77
2013-10-30,34.00,34.49,33.96,34.02,20500,33.75
2013-10-29,33.75,34.41,32.60,34.27,18300,34.00
2013-10-28,34.12,34.43,33.20,33.75,41500,33.48
2013-10-25,33.94,34.21,33.02,34.15,30000,33.88
2013-10-24,33.94,34.00,33.60,34.00,10800,33.73
2013-10-23,33.92,34.37,33.92,33.94,11900,33.67
2013-10-22,34.04,34.57,33.79,34.20,32700,33.93
2013-10-21,33.87,34.48,33.80,34.00,22300,33.73
2013-10-18,34.05,34.05,33.50,33.87,17500,33.60
2013-10-17,32.31,34.10,32.20,33.99,53000,33.72
2013-10-16,31.36,32.64,31.35,32.63,36300,32.37
2013-10-15,31.63,31.92,30.85,31.35,28500,31.10
2013-10-14,31.52,31.91,31.40,31.81,9100,31.56
2013-10-11,30.52,31.70,30.34,31.69,22000,31.44
2013-10-10,30.20,31.15,29.90,30.67,24400,30.43
2013-10-09,30.00,30.20,29.68,30.11,18900,29.87
2013-10-08,30.00,30.18,29.74,30.00,23800,29.76
2013-10-07,29.98,30.20,29.53,30.05,8300,29.81
2013-10-04,29.86,30.15,29.86,30.05,5900,29.81
2013-10-03,29.86,30.19,29.56,29.87,30800,29.63
2013-10-02,29.85,30.20,29.85,30.00,14700,29.76
2013-10-01,30.26,30.26,29.60,30.08,16700,29.84
2013-09-30,29.91,30.42,29.86,30.18,29900,29.94
2013-09-27,30.08,30.37,29.90,30.11,11700,29.87
2013-09-26,30.43,30.43,30.01,30.20,13200,29.96
2013-09-25,29.89,30.20,29.89,30.20,13500,29.96
2013-09-24,29.78,30.51,29.58,30.07,10000,29.83
2013-09-23,29.17,29.89,29.13,29.60,27800,29.37
2013-09-20,28.56,29.35,28.36,28.98,20700,28.75
2013-09-19,28.76,29.19,28.15,28.55,19000,28.32
2013-09-18,28.08,29.07,27.68,28.90,25400,28.67
2013-09-17,28.04,28.73,27.48,28.00,24500,27.78
2013-09-16,27.69,28.32,27.28,28.05,25100,27.83
2013-09-13,27.51,27.95,27.40,27.48,15600,27.26
2013-09-12,27.73,27.80,27.43,27.44,14200,27.22
2013-09-11,28.26,28.45,27.51,27.74,26500,27.52
2013-09-10,28.41,28.48,27.31,28.48,40600,28.25
2013-09-09,27.68,28.54,27.68,28.30,15600,28.08
2013-09-06,28.41,28.41,27.34,27.87,25400,27.65
2013-09-05,28.30,29.07,28.25,28.42,16800,27.99
2013-09-04,28.62,28.89,28.11,28.24,19000,27.81
2013-09-03,28.18,28.67,27.89,28.50,11100,28.07
2013-08-30,28.38,28.43,27.82,27.90,15300,27.47
2013-08-29,26.82,28.41,26.49,28.34,27500,27.91
2013-08-28,27.26,27.26,26.59,26.89,5500,26.48
2013-08-27,27.64,27.80,26.90,27.05,7400,26.64
2013-08-26,28.47,28.47,27.52,27.78,10400,27.36
2013-08-23,28.86,29.45,28.11,28.47,4100,28.04
2013-08-22,29.22,29.26,28.45,29.04,5900,28.60
2013-08-21,29.15,29.47,29.01,29.05,8000,28.61
2013-08-20,28.50,29.47,28.11,29.25,14300,28.80
2013-08-19,27.70,28.50,27.70,28.45,17800,28.02
2013-08-16,27.97,27.97,26.59,27.63,12900,27.21
2013-08-15,28.36,28.57,28.07,28.09,7400,27.66
2013-08-14,28.50,28.73,28.30,28.52,19800,28.09
