Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,38.35,39.39,38.35,39.25,105600,39.25
2014-02-21,38.87,39.16,38.28,38.31,151900,38.31
2014-02-20,38.85,39.16,38.69,38.99,44400,38.99
2014-02-19,38.50,39.30,38.50,38.73,108800,38.73
2014-02-18,39.21,39.50,38.42,38.49,156400,38.49
2014-02-14,40.41,40.41,38.44,39.24,174100,39.24
2014-02-13,39.61,40.73,39.60,40.41,104000,40.41
2014-02-12,39.94,40.22,39.37,39.62,53500,39.62
2014-02-11,38.94,39.83,38.84,39.73,144600,39.73
2014-02-10,38.59,39.06,38.20,38.82,75700,38.82
2014-02-07,39.09,39.10,38.50,38.65,80900,38.65
2014-02-06,39.21,39.48,38.68,39.08,100900,39.08
2014-02-05,39.99,39.99,38.95,39.30,95700,39.30
2014-02-04,40.73,40.73,39.85,40.17,67300,40.17
2014-02-03,41.68,41.68,40.19,40.69,124400,40.69
2014-01-31,41.69,42.60,41.47,41.92,118200,41.92
2014-01-30,42.43,42.84,42.07,42.30,75100,42.30
2014-01-29,42.48,42.80,40.30,42.18,77700,42.18
2014-01-28,42.29,42.85,42.29,42.78,66200,42.78
2014-01-27,42.82,43.23,42.24,42.32,66300,42.32
2014-01-24,43.50,43.97,42.50,42.94,61400,42.94
2014-01-23,43.73,44.16,43.46,43.83,98500,43.83
2014-01-22,44.31,44.48,43.59,43.86,63200,43.86
2014-01-21,44.47,44.67,44.01,44.14,42700,44.14
2014-01-17,44.52,45.10,44.25,44.38,53700,44.38
2014-01-16,44.69,45.48,44.47,44.72,56400,44.72
2014-01-15,44.79,45.09,44.41,44.71,55800,44.71
2014-01-14,45.02,45.05,44.72,44.82,75500,44.82
2014-01-13,45.00,45.31,44.19,44.73,98100,44.73
2014-01-10,45.14,45.14,44.69,44.99,43800,44.99
2014-01-09,44.70,45.25,44.56,45.06,78800,45.06
2014-01-08,44.46,44.96,44.26,44.66,124500,44.66
2014-01-07,44.19,45.27,44.08,44.73,130600,44.73
2014-01-06,44.95,45.03,44.03,44.19,77700,44.19
2014-01-03,44.44,45.15,44.23,44.92,111400,44.92
2014-01-02,44.29,44.70,43.91,44.45,86400,44.45
2013-12-31,44.75,45.04,44.08,44.27,113500,44.27
2013-12-30,44.99,44.99,44.46,44.65,94000,44.65
2013-12-27,45.27,45.79,44.73,45.14,132700,45.14
2013-12-26,45.69,45.76,45.03,45.29,65900,45.22
2013-12-24,45.54,45.81,45.38,45.65,153800,45.58
2013-12-23,45.00,45.50,44.91,45.45,143900,45.38
2013-12-20,44.00,45.10,43.90,44.75,254000,44.68
2013-12-19,44.20,44.42,43.60,43.95,89700,43.88
2013-12-18,44.23,44.80,43.59,44.06,101900,43.99
2013-12-17,45.20,45.20,43.89,44.06,105700,43.99
2013-12-16,44.52,45.19,44.44,45.07,72800,45.00
2013-12-13,44.94,45.21,44.47,44.50,98900,44.43
2013-12-12,44.51,45.08,44.33,44.85,111400,44.78
2013-12-11,44.49,44.79,44.49,44.60,99600,44.53
2013-12-10,44.00,44.79,44.00,44.35,113500,44.28
2013-12-09,45.00,45.28,44.09,44.55,106300,44.48
2013-12-06,45.08,45.26,44.72,44.83,75200,44.76
2013-12-05,44.85,45.00,44.77,44.95,23400,44.88
2013-12-04,45.46,45.46,44.44,44.77,176800,44.70
2013-12-03,46.15,46.39,45.37,45.75,210800,45.68
2013-12-02,45.29,46.32,44.96,46.09,141500,46.02
2013-11-29,45.06,45.37,44.81,45.17,43000,45.10
2013-11-27,44.61,45.00,44.45,44.96,48300,44.89
2013-11-26,43.03,44.99,42.80,44.47,70400,44.40
2013-11-25,43.45,43.84,42.72,43.04,43600,42.97
2013-11-22,43.28,43.63,42.59,43.36,62100,43.29
2013-11-21,42.65,43.40,42.50,43.14,73100,43.07
2013-11-20,42.17,42.78,42.12,42.47,40900,42.40
2013-11-19,42.46,42.65,41.61,42.12,75900,42.05
2013-11-18,42.36,42.57,42.01,42.36,68600,42.29
2013-11-15,42.40,42.63,41.96,42.14,99100,42.07
2013-11-14,42.63,42.81,42.30,42.50,36900,42.43
2013-11-13,42.46,42.93,42.18,42.53,49200,42.46
2013-11-12,42.17,42.97,41.80,42.60,54200,42.53
2013-11-11,43.87,43.87,42.35,42.40,106400,42.33
2013-11-08,41.17,45.35,40.80,43.62,204000,43.55
2013-11-07,42.51,42.51,41.49,41.63,41100,41.57
2013-11-06,42.64,42.64,41.84,42.17,31900,42.10
2013-11-05,42.47,42.89,41.91,42.69,45100,42.62
2013-11-04,42.09,43.00,40.04,42.81,61200,42.74
2013-11-01,42.44,42.58,41.62,41.81,88700,41.75
2013-10-31,42.16,43.13,42.16,42.58,67700,42.51
2013-10-30,42.02,42.64,41.63,42.26,44800,42.19
2013-10-29,42.92,43.45,41.64,42.13,81600,42.06
2013-10-28,42.35,42.84,42.12,42.60,36800,42.53
