Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,5.50,5.50,5.25,5.27,130600,5.27
2014-02-21,5.48,5.73,5.30,5.64,83100,5.64
2014-02-20,5.70,5.70,5.25,5.45,52800,5.45
2014-02-19,5.65,5.95,5.34,5.61,112500,5.61
2014-02-18,4.91,5.99,4.91,5.61,249100,5.61
2014-02-14,5.10,5.10,4.77,4.77,77500,4.77
2014-02-13,5.10,5.12,4.76,4.93,79600,4.93
2014-02-12,4.34,5.17,4.22,5.15,184900,5.15
2014-02-11,4.15,4.29,4.12,4.29,27500,4.29
2014-02-10,4.22,4.30,3.96,4.15,43700,4.15
2014-02-07,3.90,4.25,3.89,4.22,98000,4.22
2014-02-06,3.70,3.94,3.67,3.85,30900,3.85
2014-02-05,3.44,3.78,3.44,3.67,40000,3.67
2014-02-04,3.50,3.53,3.30,3.50,48800,3.50
2014-02-03,3.70,3.70,3.50,3.57,13100,3.57
2014-01-31,3.55,3.75,3.50,3.70,50700,3.70
2014-01-30,3.67,3.68,3.55,3.55,34400,3.55
2014-01-29,3.57,3.69,3.55,3.64,17400,3.64
2014-01-28,3.75,3.80,3.55,3.65,40900,3.65
2014-01-27,3.87,4.00,3.71,3.86,29500,3.86
2014-01-24,4.10,4.10,3.76,3.99,30000,3.99
2014-01-23,3.75,3.91,3.75,3.85,13400,3.85
2014-01-22,3.74,4.25,3.62,3.78,72000,3.78
2014-01-21,4.03,4.34,3.55,3.67,125400,3.67
2014-01-17,4.17,4.44,4.03,4.08,146600,4.08
2014-01-16,3.72,4.36,3.65,4.22,288700,4.22
2014-01-15,3.64,3.75,3.60,3.70,67100,3.70
2014-01-14,3.50,3.75,3.50,3.64,96200,3.64
2014-01-13,3.30,3.74,3.30,3.52,227600,3.52
2014-01-10,3.15,3.35,3.10,3.30,128800,3.30
2014-01-09,3.25,3.38,3.15,3.16,54400,3.16
2014-01-08,3.12,3.37,2.91,3.25,143000,3.25
2014-01-07,3.03,3.22,2.86,3.12,329300,3.12
2014-01-06,3.39,4.65,3.00,3.17,2126200,3.17
2014-01-03,2.55,2.82,2.55,2.78,147900,2.78
2014-01-02,2.55,2.65,2.36,2.62,64600,2.62
2013-12-31,2.48,2.55,2.40,2.43,27200,2.43
2013-12-30,2.56,2.62,2.39,2.40,75200,2.40
2013-12-27,2.65,2.70,2.53,2.56,50600,2.56
2013-12-26,2.52,2.65,2.39,2.63,73700,2.63
2013-12-24,2.47,2.67,2.43,2.55,88700,2.55
2013-12-23,2.49,2.67,2.38,2.53,157000,2.53
2013-12-20,2.49,2.55,2.12,2.49,195700,2.49
2013-12-19,2.33,2.75,2.31,2.55,464100,2.55
2013-12-18,2.28,3.38,2.23,2.33,2738600,2.33
2013-12-17,1.10,1.28,1.10,1.24,44100,1.24
2013-12-16,1.23,1.23,1.13,1.13,3400,1.13
2013-12-13,1.20,1.24,1.20,1.20,8900,1.20
2013-12-12,1.20,1.36,1.20,1.36,19500,1.36
2013-12-11,1.27,1.30,1.18,1.18,56500,1.18
2013-12-10,1.59,1.67,1.28,1.32,72000,1.32
2013-12-09,1.25,1.59,1.21,1.52,152700,1.52
2013-12-06,1.03,1.20,1.03,1.19,19100,1.19
2013-12-05,1.05,1.06,1.05,1.06,7200,1.06
2013-12-04,0.99,1.05,0.99,1.05,6900,1.05
2013-12-03,1.00,1.00,0.96,0.96,3700,0.96
2013-12-02,1.06,1.06,1.05,1.05,1600,1.05
2013-11-29,1.03,1.06,1.03,1.06,400,1.06
2013-11-27,1.05,1.05,1.05,1.05,000,1.05
2013-11-26,1.05,1.08,1.05,1.05,4500,1.05
2013-11-25,1.00,1.09,1.00,1.00,700,1.00
2013-11-22,0.96,1.05,0.96,1.05,13100,1.05
2013-11-21,0.98,0.98,0.98,0.98,3400,0.98
2013-11-20,1.05,1.05,1.04,1.04,400,1.04
2013-11-19,1.07,1.07,0.97,1.01,12300,1.01
2013-11-18,1.07,1.07,1.01,1.01,10000,1.01
2013-11-15,1.03,1.05,1.03,1.05,500,1.05
2013-11-14,1.11,1.13,1.11,1.13,15300,1.13
2013-11-13,1.02,1.06,1.01,1.06,2400,1.06
2013-11-12,1.05,1.05,1.03,1.03,4300,1.03
2013-11-11,1.09,1.09,1.03,1.05,7400,1.05
2013-11-08,1.06,1.06,1.05,1.05,1400,1.05
2013-11-07,1.05,1.06,1.05,1.05,16900,1.05
2013-11-06,1.12,1.12,1.04,1.04,2700,1.04
