Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,70.01,71.12,69.78,69.80,20700,69.80
2014-02-21,70.84,71.07,69.89,70.29,13900,70.29
2014-02-20,70.00,70.70,69.67,70.59,11200,70.59
2014-02-19,70.12,70.38,69.43,69.81,11400,69.81
2014-02-18,70.87,70.87,70.04,70.61,13500,70.61
2014-02-14,69.71,71.18,69.71,70.54,15500,70.54
2014-02-13,68.72,70.44,68.72,69.42,21300,69.42
2014-02-12,68.99,69.50,68.93,69.39,33700,69.39
2014-02-11,69.57,69.57,68.99,69.27,23200,69.27
2014-02-10,68.11,69.77,67.92,69.22,28600,69.22
2014-02-07,69.05,69.65,67.49,68.43,32600,68.43
2014-02-06,68.57,69.87,67.90,68.40,45600,68.40
2014-02-05,68.30,69.28,68.00,68.62,24700,68.62
2014-02-04,67.85,68.92,67.85,68.16,22000,68.16
2014-02-03,69.82,69.82,67.68,67.70,27900,67.70
2014-01-31,69.33,70.61,69.33,70.17,21300,70.17
2014-01-30,69.66,70.23,69.13,70.04,13600,70.04
2014-01-29,69.10,71.61,69.10,69.40,31200,69.40
2014-01-28,69.30,69.76,69.00,69.67,22500,69.67
2014-01-27,70.10,70.59,69.10,69.55,22400,69.55
2014-01-24,70.80,71.08,69.86,70.10,19800,70.10
2014-01-23,71.36,71.95,70.67,71.31,22400,71.31
2014-01-22,72.21,72.99,71.41,71.62,29400,71.62
2014-01-21,72.58,72.68,71.66,71.78,18200,71.78
2014-01-17,72.62,72.99,71.91,72.37,18400,72.37
2014-01-16,72.00,72.63,71.75,72.63,17600,72.63
2014-01-15,71.64,72.49,71.60,72.38,17100,72.38
2014-01-14,71.68,72.35,71.41,71.89,22000,71.89
2014-01-13,71.78,72.05,71.16,71.22,21200,71.22
2014-01-10,71.69,72.00,71.16,71.39,49100,71.39
2014-01-09,72.02,72.24,71.60,72.02,11700,72.02
2014-01-08,72.07,72.42,71.54,72.21,17400,72.21
2014-01-07,72.23,72.48,71.63,72.06,13000,72.06
2014-01-06,72.32,72.35,71.49,71.57,27200,71.57
2014-01-03,72.14,72.50,71.45,72.04,25900,72.04
2014-01-02,73.00,73.24,72.00,72.33,42300,71.70
2013-12-31,73.72,73.72,72.75,73.12,21600,72.48
2013-12-30,72.60,73.09,72.00,72.63,24600,71.99
2013-12-27,71.92,72.61,71.48,72.48,12100,71.84
2013-12-26,71.01,72.27,70.58,71.53,22900,70.90
2013-12-24,71.36,71.80,70.66,71.51,6800,70.88
