Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,45.80,46.24,45.70,46.00,1265700,46.00
2014-02-21,45.65,45.84,45.29,45.61,1667200,45.61
2014-02-20,45.06,45.57,44.95,45.53,1209600,45.53
2014-02-19,44.96,45.42,44.79,45.10,1244100,45.10
2014-02-18,45.00,45.33,44.86,45.18,1543800,45.18
2014-02-14,44.43,45.04,44.37,44.98,1534900,44.98
2014-02-13,44.59,45.20,44.45,44.67,2018100,44.67
2014-02-12,44.87,45.27,44.67,44.86,1862000,44.86
2014-02-11,44.15,44.94,44.09,44.83,2628900,44.83
2014-02-10,44.31,44.67,43.31,44.15,2204900,44.15
2014-02-07,44.47,44.70,43.71,44.23,3436000,44.23
2014-02-06,44.22,44.66,44.07,44.35,2466700,44.35
2014-02-05,44.40,45.46,44.20,44.27,5440000,44.27
2014-02-04,42.92,44.07,42.76,43.91,3471400,43.91
2014-02-03,43.76,44.74,42.48,42.70,4458300,42.70
2014-01-31,43.86,44.21,43.51,43.93,2294200,43.93
2014-01-30,44.56,44.58,44.08,44.26,2171200,44.26
2014-01-29,44.15,44.49,43.75,44.18,3030600,44.18
2014-01-28,44.72,44.95,44.15,44.41,3327100,44.16
2014-01-27,45.36,45.40,44.13,44.56,2883000,44.31
2014-01-24,47.32,47.32,45.01,45.09,5147000,44.84
2014-01-23,47.67,47.86,47.07,47.54,3143000,47.27
2014-01-22,47.77,47.96,47.47,47.86,1855800,47.59
2014-01-21,47.80,48.11,47.14,47.46,2545600,47.19
2014-01-17,46.47,47.75,46.25,47.61,3023900,47.34
2014-01-16,46.00,46.78,45.85,46.67,3938000,46.41
2014-01-15,46.05,46.77,44.42,46.06,11346600,45.80
2014-01-14,48.35,48.41,47.16,48.21,2590000,47.94
2014-01-13,47.42,48.44,47.13,47.43,2321400,47.16
2014-01-10,46.77,48.08,46.52,47.70,2574700,47.43
2014-01-09,46.00,46.78,45.81,46.59,1686700,46.33
2014-01-08,45.95,46.17,45.43,45.88,1895000,45.62
2014-01-07,45.90,46.12,45.72,45.88,1846300,45.62
2014-01-06,46.68,46.87,45.57,45.68,1858900,45.42
2014-01-03,46.64,47.04,46.19,46.49,1572100,46.23
2014-01-02,47.51,47.61,46.45,46.70,1532600,46.44
2013-12-31,47.76,47.98,47.26,47.51,1318200,47.24
