Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,6.08,6.29,6.00,6.10,80700,6.10
2014-02-21,6.08,6.09,5.98,6.00,4800,6.00
2014-02-20,6.14,6.16,6.00,6.00,8400,6.00
2014-02-19,6.00,6.14,6.00,6.06,6900,6.06
2014-02-18,6.14,6.32,5.95,6.00,46400,6.00
2014-02-14,6.02,6.25,5.95,6.01,34100,6.01
2014-02-13,5.98,6.10,5.89,5.92,22700,5.92
2014-02-12,6.04,6.10,5.85,5.88,40500,5.88
2014-02-11,6.15,6.15,5.98,5.99,24200,5.99
2014-02-10,6.20,6.25,5.99,6.00,13700,6.00
2014-02-07,6.23,6.43,5.98,6.20,9700,6.20
2014-02-06,6.28,6.36,5.95,6.07,32300,6.07
2014-02-05,6.13,6.36,6.05,6.12,22400,6.12
2014-02-04,6.27,6.40,6.10,6.17,4400,6.17
2014-02-03,6.27,6.28,6.15,6.25,2500,6.25
2014-01-31,6.57,6.57,6.10,6.20,21600,6.20
2014-01-30,6.25,6.49,6.25,6.26,10400,6.26
2014-01-29,6.42,6.86,5.98,6.11,40200,6.11
2014-01-28,6.25,6.68,6.24,6.25,6300,6.25
2014-01-27,6.99,6.99,6.20,6.26,71300,6.26
2014-01-24,6.80,6.95,6.78,6.92,10900,6.92
2014-01-23,7.05,7.20,6.59,6.80,39800,6.80
2014-01-22,7.12,7.50,6.99,7.02,82000,7.02
2014-01-21,7.20,7.49,6.88,6.88,61200,6.88
2014-01-17,6.83,7.50,6.81,7.16,98600,7.16
2014-01-16,6.95,6.96,6.63,6.95,93000,6.95
2014-01-15,6.78,6.78,6.45,6.64,36600,6.64
2014-01-14,6.50,6.82,6.38,6.55,26500,6.55
2014-01-13,6.50,6.85,6.38,6.43,31500,6.43
2014-01-10,6.66,6.85,6.37,6.61,16700,6.61
2014-01-09,6.52,6.80,6.38,6.62,17000,6.62
2014-01-08,6.45,6.85,6.32,6.84,54000,6.84
2014-01-07,6.36,6.88,6.25,6.37,24100,6.37
2014-01-06,6.79,6.79,6.36,6.55,31800,6.55
2014-01-03,6.40,6.87,6.25,6.82,35300,6.82
2014-01-02,6.35,6.99,6.30,6.36,38400,6.36
2013-12-31,6.72,6.72,6.16,6.28,20500,6.28
2013-12-30,6.51,6.90,6.50,6.61,8300,6.61
2013-12-27,6.97,6.97,6.97,6.97,200,6.97
2013-12-26,6.68,7.04,6.41,7.01,29700,7.01
2013-12-24,6.11,6.83,6.06,6.83,10000,6.83
2013-12-23,6.89,6.89,6.36,6.55,26900,6.55
