Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,18.29,18.63,18.29,18.62,14300,18.62
2014-02-21,18.37,18.85,18.37,18.37,7400,18.37
2014-02-20,18.10,18.43,18.10,18.39,3600,18.39
2014-02-19,18.13,18.42,17.42,18.12,4400,18.12
2014-02-18,18.59,18.59,17.98,18.30,4900,18.30
2014-02-14,18.52,18.61,18.11,18.21,3800,18.21
2014-02-13,17.93,18.69,17.93,18.69,7600,18.69
2014-02-12,17.96,18.10,17.96,18.00,1800,18.00
2014-02-11,18.36,18.36,17.42,17.92,3700,17.92
2014-02-10,17.36,17.46,17.31,17.32,3100,17.32
2014-02-07,17.18,17.59,17.18,17.41,4600,17.41
2014-02-06,17.30,17.42,17.07,17.28,5800,17.28
2014-02-05,17.06,17.80,17.06,17.52,9500,17.52
2014-02-04,16.67,17.40,16.67,17.26,7500,17.26
2014-02-03,17.94,17.94,16.72,16.80,6600,16.80
2014-01-31,18.00,18.12,17.81,17.88,7000,17.88
2014-01-30,17.75,18.28,17.75,18.17,12300,18.17
2014-01-29,17.61,18.03,17.23,17.85,25900,17.85
2014-01-28,18.54,18.54,18.15,18.24,8800,18.24
2014-01-27,18.51,18.98,18.30,18.30,21700,18.30
2014-01-24,19.08,19.08,18.74,18.85,4900,18.85
2014-01-23,19.55,19.67,18.50,18.92,17500,18.92
2014-01-22,19.31,19.90,19.20,19.74,34800,19.74
2014-01-21,18.64,19.46,18.64,19.30,16700,19.30
2014-01-17,18.55,18.60,18.16,18.51,8200,18.51
2014-01-16,18.69,18.74,18.20,18.56,4700,18.56
2014-01-15,18.89,19.00,18.50,18.51,18100,18.51
2014-01-14,18.80,18.90,18.66,18.82,4300,18.82
2014-01-13,19.16,19.17,18.27,18.66,6000,18.66
2014-01-10,19.27,19.30,18.92,19.21,7200,19.21
2014-01-09,19.23,19.29,19.00,19.13,5700,19.13
2014-01-08,19.07,19.26,19.01,19.26,14200,19.26
2014-01-07,19.32,19.32,19.06,19.07,14900,19.07
2014-01-06,19.09,19.29,18.51,19.17,17200,19.17
2014-01-03,19.13,19.40,19.08,19.08,4700,19.08
2014-01-02,19.42,19.44,19.02,19.02,11300,19.02
2013-12-31,19.45,19.53,19.34,19.34,12100,19.34
2013-12-30,19.68,19.72,19.57,19.64,11000,19.64
2013-12-27,19.95,19.95,19.61,19.68,6200,19.68
2013-12-26,19.99,19.99,19.80,19.90,4100,19.90
2013-12-24,19.99,19.99,19.69,19.90,8900,19.90
2013-12-23,20.20,20.20,19.80,19.99,38700,19.99
2013-12-20,18.93,20.79,18.80,20.79,93800,20.79
2013-12-19,18.87,18.87,18.51,18.51,3500,18.51
2013-12-18,18.42,19.00,18.42,18.74,4200,18.74
2013-12-17,18.29,18.69,18.18,18.41,6400,18.41
2013-12-16,18.13,18.78,18.13,18.20,2300,18.20
2013-12-13,18.10,18.34,17.97,17.97,5200,17.97
2013-12-12,18.15,18.26,18.06,18.06,1500,18.06
2013-12-11,18.45,18.84,18.10,18.10,7800,18.10
2013-12-10,18.82,18.82,18.42,18.45,12600,18.39
2013-12-09,19.45,19.45,18.75,19.00,8200,18.94
2013-12-06,19.26,19.79,19.26,19.53,5600,19.47
2013-12-05,19.32,19.61,19.16,19.16,14000,19.10
2013-12-04,19.90,19.90,19.45,19.47,3200,19.41
2013-12-03,19.54,19.75,19.45,19.51,3600,19.45
