Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,27.25,27.50,27.22,27.24,13900,27.24
2014-02-21,27.18,27.25,27.00,27.20,29200,27.20
2014-02-20,26.66,27.24,26.66,27.02,11100,27.02
2014-02-19,26.61,27.15,26.25,26.65,46800,26.65
2014-02-18,26.69,27.01,26.51,26.94,14600,26.79
2014-02-14,26.70,26.94,26.40,26.65,11500,26.50
2014-02-13,26.03,26.83,25.73,26.69,15200,26.54
2014-02-12,25.89,26.41,25.89,26.02,21100,25.88
2014-02-11,25.37,26.46,25.36,25.99,35000,25.85
2014-02-10,25.95,25.99,25.26,25.68,24400,25.54
2014-02-07,25.39,25.98,25.18,25.95,41600,25.81
2014-02-06,25.40,26.04,25.11,25.21,36300,25.07
2014-02-05,25.00,25.84,25.00,25.26,36000,25.12
2014-02-04,25.27,25.81,24.96,25.01,35300,24.87
2014-02-03,25.75,25.87,24.88,25.09,51500,24.95
2014-01-31,25.58,26.25,25.58,25.72,26600,25.58
2014-01-30,26.15,26.50,26.00,26.05,28400,25.90
2014-01-29,26.11,26.23,25.61,25.83,29100,25.69
2014-01-28,26.14,26.73,26.01,26.26,30600,26.11
2014-01-27,25.75,26.21,25.44,26.04,31500,25.90
2014-01-24,25.35,25.80,25.35,25.80,33300,25.66
2014-01-23,25.44,25.44,25.33,25.37,13000,25.23
2014-01-22,25.60,25.90,25.44,25.71,25900,25.57
2014-01-21,25.25,25.78,25.25,25.47,18800,25.33
2014-01-17,25.22,25.42,25.22,25.30,16400,25.16
2014-01-16,25.41,25.55,24.99,25.21,7400,25.07
2014-01-15,25.16,25.55,25.16,25.48,7800,25.34
2014-01-14,24.75,25.10,24.75,25.10,8300,24.96
2014-01-13,24.76,25.12,24.24,24.45,31200,24.31
2014-01-10,25.26,25.26,24.56,24.91,19100,24.77
2014-01-09,25.21,25.46,25.20,25.21,6600,25.07
2014-01-08,25.62,25.74,25.05,25.17,13600,25.03
2014-01-07,25.60,25.95,25.57,25.58,5700,25.44
2014-01-06,26.00,26.00,25.56,25.57,12100,25.43
2014-01-03,25.79,26.00,25.55,25.81,20900,25.67
2014-01-02,25.81,25.83,25.50,25.77,32500,25.63
2013-12-31,26.00,26.39,25.81,25.97,13300,25.83
2013-12-30,26.44,26.52,25.87,25.99,15000,25.85
2013-12-27,26.72,26.88,26.34,26.66,8300,26.51
2013-12-26,26.75,27.17,26.20,26.59,21300,26.44
2013-12-24,26.74,27.25,26.73,27.07,7000,26.92
2013-12-23,26.55,27.15,26.48,26.99,13700,26.84
2013-12-20,25.43,26.64,25.43,26.47,60200,26.32
2013-12-19,25.61,25.94,25.22,25.30,12800,25.16
2013-12-18,25.25,25.84,24.87,25.69,35300,25.55
2013-12-17,25.22,25.52,25.10,25.14,2600,25.00
2013-12-16,25.39,25.70,25.18,25.44,12400,25.30
2013-12-13,25.32,25.67,25.11,25.22,28500,25.08
2013-12-12,25.09,25.48,24.91,25.29,17600,25.15
2013-12-11,25.83,26.03,25.04,25.20,35000,25.06
2013-12-10,25.93,26.07,25.81,25.85,15800,25.71
2013-12-09,26.06,26.14,25.81,26.05,11000,25.90
2013-12-06,26.19,26.40,26.06,26.06,8300,25.91
2013-12-05,26.15,26.34,26.00,26.01,7700,25.87
2013-12-04,26.05,26.56,26.00,26.35,29400,26.20
2013-12-03,26.16,26.45,26.05,26.15,8000,26.00
2013-12-02,27.01,27.01,26.05,26.27,13400,26.12
2013-11-29,27.25,27.25,26.89,27.00,11800,26.85
2013-11-27,26.84,27.24,26.63,27.05,7800,26.90
2013-11-26,27.23,27.23,26.61,26.90,15100,26.75
2013-11-25,26.44,26.92,26.15,26.83,29500,26.68
2013-11-22,26.53,26.79,26.26,26.44,15000,26.29
2013-11-21,26.17,26.63,26.09,26.60,15200,26.45
2013-11-20,25.92,26.47,25.91,26.08,8300,25.93
2013-11-19,26.25,26.47,25.92,26.01,24300,25.87
2013-11-18,25.32,26.21,25.16,25.80,35600,25.66
2013-11-15,25.21,25.38,24.68,25.15,25900,25.01
2013-11-14,25.22,25.49,24.98,25.25,17300,25.11
2013-11-13,24.65,25.31,24.65,25.24,12400,25.10
2013-11-12,24.01,24.89,24.01,24.89,18200,24.75
2013-11-11,24.78,24.78,23.96,24.00,23300,23.87
2013-11-08,25.12,25.81,24.61,24.78,21400,24.64
2013-11-07,25.84,26.21,24.86,25.04,30400,24.90
2013-11-06,25.55,25.73,25.12,25.63,8700,25.49
2013-11-05,24.87,25.66,24.87,25.45,9400,25.21
2013-11-04,25.08,25.25,24.65,25.08,25000,24.84
2013-11-01,25.75,25.75,25.05,25.25,50000,25.01
2013-10-31,26.07,26.35,25.67,25.82,28000,25.58
2013-10-30,26.51,26.58,26.05,26.07,26900,25.82
2013-10-29,25.33,27.02,25.33,26.67,27900,26.42
2013-10-28,26.09,26.99,26.09,26.54,20700,26.29
2013-10-25,26.84,26.84,26.16,26.33,38600,26.08
2013-10-24,26.05,26.96,25.98,26.73,55100,26.48
2013-10-23,26.19,26.20,25.63,25.95,7900,25.70
2013-10-22,26.46,26.74,26.08,26.28,19200,26.03
2013-10-21,26.24,26.68,26.08,26.41,20200,26.16
2013-10-18,25.97,26.68,25.71,26.28,35600,26.03
2013-10-17,24.87,26.00,24.87,25.68,26500,25.44
2013-10-16,25.54,25.81,24.76,25.01,15200,24.77
2013-10-15,26.00,26.10,25.19,25.39,55900,25.15
2013-10-14,26.33,26.91,26.07,26.59,12100,26.34
2013-10-11,24.77,26.20,24.69,26.00,25900,25.75
2013-10-10,24.11,24.94,24.04,24.91,20500,24.67
2013-10-09,23.92,24.49,23.44,23.76,62700,23.53
2013-10-08,23.82,24.16,23.51,23.85,39900,23.62
2013-10-07,23.52,24.18,23.41,23.86,25100,23.63
2013-10-04,23.54,24.20,23.54,23.81,21100,23.58
2013-10-03,23.39,24.03,23.39,23.59,23700,23.37
2013-10-02,23.80,24.31,23.56,23.90,46600,23.67
2013-10-01,23.31,24.11,23.31,24.08,19200,23.85
2013-09-30,23.73,24.89,22.76,23.39,64100,23.17
2013-09-27,24.31,24.84,23.80,23.99,6900,23.76
2013-09-26,25.03,25.32,24.34,24.48,8300,24.25
2013-09-25,25.02,25.42,24.90,25.12,11000,24.88
2013-09-24,25.31,25.50,24.83,25.00,12100,24.76
2013-09-23,25.85,25.95,25.29,25.29,17600,25.05
2013-09-20,24.70,25.47,24.63,25.46,34000,25.22
2013-09-19,25.25,25.25,24.55,24.68,16900,24.45
2013-09-18,25.87,25.87,24.96,25.31,10000,25.07
2013-09-17,24.97,25.17,24.70,25.04,12100,24.80
2013-09-16,24.91,25.67,24.50,24.97,24900,24.73
2013-09-13,24.58,25.43,24.04,24.56,17900,24.33
2013-09-12,24.44,24.80,24.21,24.46,16100,24.23
2013-09-11,24.87,24.87,24.13,24.27,23400,24.04
2013-09-10,25.18,25.46,24.66,24.92,26400,24.68
2013-09-09,24.88,25.40,24.49,24.97,35400,24.73
2013-09-06,25.28,25.33,24.65,24.72,21700,24.49
2013-09-05,25.57,25.57,25.05,25.15,8100,24.91
2013-09-04,24.88,25.17,24.46,24.76,17100,24.53
2013-09-03,24.93,25.11,24.63,24.92,9600,24.68
2013-08-30,24.95,25.04,24.43,24.51,33400,24.28
2013-08-29,24.24,25.10,24.08,25.02,19900,24.78
2013-08-28,25.46,25.90,24.46,24.64,30200,24.41
2013-08-27,27.38,27.40,25.15,25.60,37200,25.26
2013-08-26,28.03,28.11,27.20,27.75,22500,27.38
2013-08-23,27.97,28.39,27.60,28.04,29600,27.67
2013-08-22,27.57,28.00,27.33,27.99,10300,27.62
2013-08-21,27.79,27.88,27.29,27.50,25000,27.13
2013-08-20,27.23,27.90,27.23,27.77,17700,27.40
2013-08-19,27.30,27.66,26.91,27.20,19800,26.84
2013-08-16,26.99,27.52,26.89,27.41,48600,27.04
2013-08-15,27.24,27.82,27.08,27.16,31400,26.80
2013-08-14,27.50,27.83,27.42,27.66,12600,27.29
2013-08-13,27.90,28.15,27.50,27.76,15600,27.39
2013-08-12,27.82,28.25,27.77,27.96,20500,27.59
2013-08-09,27.67,28.46,27.30,28.08,15300,27.71
2013-08-08,27.40,27.95,27.40,27.70,7500,27.33
2013-08-07,27.90,28.31,27.06,27.46,26600,27.09
