Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,21.15,21.54,21.15,21.45,38100,21.45
2014-02-21,21.20,21.29,21.12,21.20,78900,21.20
2014-02-20,21.10,21.53,20.95,21.14,56300,21.14
2014-02-19,21.28,21.60,20.90,21.02,54100,21.02
2014-02-18,21.32,21.59,21.03,21.42,54400,21.42
2014-02-14,21.10,21.37,20.92,21.16,28800,21.16
2014-02-13,20.39,21.28,20.39,21.09,45000,21.09
2014-02-12,20.42,20.87,20.30,20.51,38300,20.51
2014-02-11,20.27,20.49,20.09,20.40,31900,20.40
2014-02-10,20.30,20.48,19.95,20.28,42100,20.28
2014-02-07,19.81,20.40,19.75,20.26,48400,20.26
2014-02-06,19.80,20.00,19.65,19.79,69800,19.79
2014-02-05,19.76,19.97,19.42,19.76,55500,19.76
2014-02-04,20.06,20.20,19.84,19.88,47000,19.88
2014-02-03,20.68,20.88,19.78,20.01,74400,20.01
2014-01-31,20.62,21.02,20.62,20.77,56300,20.77
2014-01-30,21.04,21.35,20.95,20.99,48700,20.99
2014-01-29,20.89,21.16,20.72,20.80,83700,20.80
2014-01-28,21.17,21.28,20.86,21.11,57500,21.11
2014-01-27,21.20,21.57,20.93,21.20,49300,21.20
2014-01-24,21.83,22.05,21.18,21.20,39000,21.20
2014-01-23,21.90,22.17,21.70,21.99,32200,21.99
2014-01-22,21.80,21.93,21.63,21.89,36200,21.89
2014-01-21,21.25,21.75,21.17,21.75,53900,21.75
2014-01-17,21.02,21.25,20.92,21.18,44900,21.18
2014-01-16,21.11,21.25,20.88,20.98,40600,20.98
2014-01-15,21.06,21.23,21.01,21.13,30400,21.13
2014-01-14,20.79,21.13,20.54,20.97,55400,20.97
2014-01-13,20.67,21.01,20.43,20.66,62100,20.66
2014-01-10,21.25,21.25,20.70,20.71,77800,20.71
2014-01-09,21.01,21.16,20.96,21.15,33600,21.15
2014-01-08,21.12,21.24,20.71,20.99,42800,20.99
2014-01-07,21.21,21.33,21.09,21.09,66900,21.09
2014-01-06,21.64,21.69,21.12,21.17,42700,21.17
2014-01-03,21.22,21.57,21.10,21.43,62000,21.43
2014-01-02,22.50,22.50,21.09,21.25,111600,21.25
2013-12-31,21.89,22.11,21.52,21.74,60300,21.74
2013-12-30,22.19,22.41,21.74,21.84,52200,21.84
2013-12-27,22.17,22.31,21.91,22.29,237400,22.29
2013-12-26,21.69,22.19,21.55,22.01,91600,22.01
2013-12-24,21.02,21.75,21.02,21.53,33800,21.53
2013-12-23,20.72,21.26,20.57,21.11,51400,21.11
2013-12-20,20.86,21.47,20.54,20.54,303400,20.54
2013-12-19,20.91,21.06,20.52,20.72,84500,20.72
2013-12-18,20.27,21.02,20.25,21.00,66100,21.00
2013-12-17,21.46,21.46,20.06,20.18,92500,20.18
2013-12-16,19.70,20.55,19.51,20.55,178800,20.55
2013-12-13,18.85,19.21,18.85,19.11,80000,19.11
2013-12-12,19.51,19.51,18.57,18.86,109000,18.86
2013-12-11,19.80,19.93,19.36,19.56,78200,19.56
2013-12-10,19.98,20.09,19.74,19.83,45700,19.83
2013-12-09,20.07,20.14,19.76,20.07,43100,20.07
2013-12-06,20.24,20.27,20.00,20.11,40600,20.11
2013-12-05,20.51,20.71,20.00,20.02,60600,20.02
2013-12-04,20.62,20.83,20.01,20.62,102700,20.62
2013-12-03,21.67,21.83,21.19,21.36,75800,20.60
2013-12-02,21.72,21.80,21.51,21.58,67300,20.81
2013-11-29,21.40,21.80,21.40,21.71,46400,20.94
2013-11-27,22.18,22.18,21.18,21.30,202900,20.54
2013-11-26,21.87,22.15,21.75,22.04,59600,21.26
2013-11-25,21.87,22.12,21.61,21.85,60700,21.07
2013-11-22,21.59,21.66,21.31,21.60,55400,20.83
2013-11-21,21.23,21.87,21.11,21.52,74300,20.75
2013-11-20,21.16,21.16,20.76,21.08,87400,20.33
2013-11-19,20.91,21.21,20.75,21.00,74200,20.25
2013-11-18,20.76,21.27,20.75,21.02,77000,20.27
2013-11-15,20.51,20.88,20.17,20.74,63600,20.00
2013-11-14,20.21,20.59,20.08,20.51,58900,19.78
2013-11-13,20.21,20.54,20.00,20.21,68700,19.49
2013-11-12,19.93,20.47,19.93,20.46,76900,19.73
2013-11-11,20.39,20.39,19.81,19.93,128500,19.22
2013-11-08,19.85,20.65,19.67,20.54,49800,19.81
2013-11-07,20.17,20.50,19.87,19.87,34200,19.16
2013-11-06,20.48,20.71,19.95,20.12,34800,19.40
2013-11-05,20.25,20.66,20.20,20.34,34600,19.62
2013-11-04,20.53,20.62,20.23,20.28,38100,19.56
2013-11-01,20.26,20.57,20.18,20.37,61100,19.65
2013-10-31,20.53,20.76,20.31,20.31,55600,19.59
2013-10-30,21.00,21.00,20.56,20.58,34600,19.85
2013-10-29,20.79,21.04,20.75,20.94,49800,20.19
2013-10-28,20.46,20.84,20.46,20.78,49800,20.04
2013-10-25,20.43,20.67,20.40,20.52,59900,19.79
2013-10-24,20.26,20.55,20.01,20.34,35800,19.62
2013-10-23,19.82,20.30,19.82,20.16,45100,19.44
2013-10-22,19.99,20.00,19.80,19.86,51600,19.15
2013-10-21,19.90,20.32,19.67,19.81,50400,19.11
2013-10-18,19.75,19.99,19.56,19.93,86000,19.22
2013-10-17,19.51,19.85,19.45,19.73,37900,19.03
2013-10-16,19.70,19.81,19.52,19.56,60600,18.86
2013-10-15,19.78,19.96,19.46,19.47,52700,18.78
2013-10-14,19.62,19.92,19.18,19.78,48700,19.08
2013-10-11,19.18,19.90,19.18,19.81,44400,19.11
2013-10-10,19.10,19.36,18.89,19.29,38700,18.60
2013-10-09,18.75,19.07,18.64,18.87,46500,18.20
2013-10-08,19.02,19.07,18.50,18.64,57400,17.98
2013-10-07,18.82,19.09,18.70,18.95,47600,18.28
2013-10-04,18.74,19.07,18.70,19.02,16200,18.34
2013-10-03,18.89,19.17,18.64,18.79,46800,18.12
2013-10-02,19.25,19.44,18.86,18.94,53400,18.27
2013-10-01,19.34,19.73,19.23,19.38,27100,18.69
2013-09-30,19.09,19.44,19.02,19.40,41300,18.71
2013-09-27,19.29,19.56,19.23,19.27,38700,18.58
2013-09-26,19.71,19.71,19.26,19.43,43500,18.74
2013-09-25,19.59,19.85,19.27,19.51,55000,18.82
2013-09-24,19.70,19.90,19.50,19.51,40900,18.82
2013-09-23,19.74,19.87,19.60,19.73,38200,19.03
2013-09-20,19.26,19.76,19.12,19.64,155700,18.94
2013-09-19,19.33,19.33,19.13,19.24,68900,18.56
2013-09-18,19.28,19.60,19.13,19.33,59100,18.64
2013-09-17,19.22,19.35,19.02,19.23,33900,18.55
2013-09-16,19.41,19.41,19.09,19.21,37300,18.53
2013-09-13,19.00,19.37,19.00,19.21,38400,18.53
2013-09-12,18.96,19.22,18.90,18.90,35100,18.23
2013-09-11,18.96,19.29,18.91,19.01,64400,18.33
2013-09-10,19.12,19.24,18.90,19.04,54900,18.36
2013-09-09,19.31,19.69,19.31,19.54,45600,18.44
2013-09-06,19.20,19.48,18.93,19.27,32700,18.18
2013-09-05,19.25,19.25,18.95,19.10,48900,18.02
2013-09-04,19.10,19.41,19.01,19.21,81600,18.13
2013-09-03,18.96,19.18,18.77,19.06,38300,17.99
2013-08-30,19.41,19.54,18.71,18.74,51500,17.68
2013-08-29,19.21,19.54,19.02,19.45,35700,18.35
2013-08-28,18.94,19.38,18.91,19.21,17400,18.13
2013-08-27,19.35,19.71,18.88,18.95,85900,17.88
2013-08-26,19.46,19.74,19.31,19.55,29900,18.45
2013-08-23,19.15,19.44,19.00,19.39,42100,18.30
2013-08-22,19.09,19.80,18.98,19.14,28700,18.06
2013-08-21,19.13,19.36,18.87,19.00,37600,17.93
2013-08-20,18.76,19.38,18.72,19.12,33500,18.04
2013-08-19,18.55,19.29,18.55,18.68,42400,17.63
2013-08-16,18.99,19.00,18.60,18.60,40200,17.55
2013-08-15,19.15,19.38,18.91,19.09,34600,18.02
2013-08-14,19.39,19.62,19.05,19.43,39500,18.34
2013-08-13,19.36,19.43,19.08,19.29,28300,18.20
2013-08-12,19.26,19.47,19.25,19.42,27400,18.33
2013-08-09,19.47,19.65,19.30,19.36,33000,18.27
2013-08-08,19.56,19.67,19.30,19.46,61800,18.36
2013-08-07,19.48,19.62,19.16,19.44,35800,18.35
2013-08-06,19.64,19.79,19.43,19.57,43800,18.47
2013-08-05,19.54,19.70,19.38,19.65,39700,18.54
2013-08-02,19.07,19.94,19.07,19.47,75200,18.37
2013-08-01,19.59,19.60,19.05,19.29,37500,18.20
2013-07-31,19.47,19.50,19.19,19.44,29900,18.35
2013-07-30,19.39,19.47,19.17,19.43,36600,18.34
2013-07-29,19.30,19.52,19.18,19.29,44400,18.20
2013-07-26,19.12,19.68,19.12,19.29,37500,18.20
