Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,101.81,102.60,101.71,102.07,222000,102.07
2014-02-21,102.22,103.30,101.99,102.10,247400,102.10
2014-02-20,100.50,101.88,99.90,101.70,201500,101.70
2014-02-19,100.11,102.32,100.11,100.32,228400,100.32
2014-02-18,100.76,101.29,99.45,100.76,242800,100.76
2014-02-14,100.57,100.96,99.69,100.66,150100,100.66
2014-02-13,98.45,100.66,98.37,100.38,132400,100.38
2014-02-12,99.52,100.32,97.99,99.31,245200,99.31
2014-02-11,98.89,100.95,98.89,99.12,424600,99.12
2014-02-10,96.99,98.98,95.34,98.65,480100,98.65
2014-02-07,97.23,97.96,95.18,97.15,310700,97.15
2014-02-06,87.57,99.81,85.31,97.25,635600,97.25
2014-02-05,91.12,91.73,89.98,90.76,367500,90.76
2014-02-04,91.28,92.24,90.35,91.20,257900,91.20
2014-02-03,93.84,94.28,90.16,91.02,655700,91.02
2014-01-31,92.06,94.13,92.06,93.72,308900,93.72
2014-01-30,92.30,93.90,91.83,93.82,222300,93.82
2014-01-29,91.44,92.76,91.00,91.47,231400,91.47
2014-01-28,91.58,92.47,89.99,92.01,683400,92.01
2014-01-27,94.79,94.92,92.11,92.20,559500,92.20
2014-01-24,97.34,97.34,95.37,95.54,300700,95.54
2014-01-23,98.10,98.97,97.71,98.26,277000,98.26
2014-01-22,97.95,98.91,97.37,98.72,312300,98.72
2014-01-21,98.94,99.05,97.18,97.96,282000,97.96
2014-01-17,96.45,98.18,95.68,98.06,307800,98.06
2014-01-16,96.37,97.44,95.07,96.61,256900,96.61
2014-01-15,93.68,96.26,93.67,96.09,285500,96.09
2014-01-14,90.42,93.87,90.03,93.71,314400,93.71
2014-01-13,89.71,91.15,89.20,89.79,250200,89.79
2014-01-10,90.85,91.31,89.96,90.25,217500,90.25
2014-01-09,92.00,92.41,90.34,90.64,208600,90.64
2014-01-08,90.02,90.88,89.76,90.81,337000,90.81
2014-01-07,88.80,90.42,88.02,90.13,271100,90.13
2014-01-06,89.03,89.74,87.65,88.66,215500,88.66
2014-01-03,88.56,89.94,88.50,88.99,184300,88.87
2014-01-02,88.71,89.38,87.50,88.47,262200,88.35
2013-12-31,89.23,89.62,88.41,89.36,163400,89.24
2013-12-30,89.78,89.99,89.08,89.33,139400,89.21
2013-12-27,89.82,90.31,88.96,89.56,135900,89.44
2013-12-26,89.50,90.10,88.84,89.91,127200,89.79
2013-12-24,89.33,90.00,88.94,89.20,149800,89.08
2013-12-23,90.48,90.50,89.39,89.79,259400,89.67
2013-12-20,88.37,90.21,88.37,89.84,436900,89.72
2013-12-19,89.05,89.34,88.40,88.60,127400,88.48
2013-12-18,88.75,89.38,87.56,89.19,252800,89.07
2013-12-17,88.96,89.21,88.09,88.76,154400,88.64
2013-12-16,87.15,89.77,87.15,89.24,191500,89.12
2013-12-13,87.26,87.98,87.00,87.03,178800,86.91
2013-12-12,87.14,88.03,86.61,87.12,188000,87.00
2013-12-11,88.46,88.67,86.70,87.33,128600,87.21
2013-12-10,89.06,90.27,88.05,88.10,207400,87.98
2013-12-09,89.15,89.80,88.32,89.47,202000,89.35
2013-12-06,89.83,90.25,89.32,89.41,98900,89.29
2013-12-05,88.80,89.68,88.07,89.25,78100,89.13
2013-12-04,89.22,90.35,87.80,88.82,81700,88.70
2013-12-03,89.57,90.36,89.05,89.69,143700,89.57
2013-12-02,90.74,90.74,89.35,89.94,120400,89.82
2013-11-29,92.09,92.45,90.98,91.05,57500,90.93
2013-11-27,91.90,91.93,91.25,91.53,115000,91.41
2013-11-26,90.26,91.89,89.31,91.56,128100,91.44
2013-11-25,90.96,90.96,89.54,90.29,91000,90.17
2013-11-22,90.05,90.88,89.83,90.73,122300,90.61
2013-11-21,88.12,89.79,87.68,89.53,129800,89.41
2013-11-20,89.29,89.37,87.19,87.85,256200,87.73
2013-11-19,90.59,91.02,89.25,89.51,298600,89.39
2013-11-18,92.56,92.70,90.15,90.57,155600,90.45
2013-11-15,90.59,92.00,90.28,91.97,191200,91.85
2013-11-14,90.54,90.54,89.55,90.28,93100,90.16
2013-11-13,88.42,90.53,88.42,90.44,92300,90.32
2013-11-12,89.07,90.00,88.46,89.14,228400,89.02
2013-11-11,88.68,89.32,88.26,88.79,79800,88.67
2013-11-08,87.09,89.00,87.09,88.73,107600,88.61
2013-11-07,88.82,88.87,86.93,87.21,161700,87.09
2013-11-06,88.99,89.40,87.87,88.65,146400,88.53
2013-11-05,88.47,89.00,87.46,88.65,185500,88.53
2013-11-04,88.33,88.97,87.64,88.90,265800,88.78
2013-11-01,88.96,89.00,87.33,88.45,309000,88.33
2013-10-31,89.64,90.55,88.93,89.08,260500,88.96
2013-10-30,90.17,93.13,87.75,89.91,527900,89.79
2013-10-29,88.38,90.51,88.04,89.14,253000,89.02
2013-10-28,88.65,89.42,87.78,88.38,157500,88.26
2013-10-25,88.37,88.68,87.75,88.63,163100,88.51
2013-10-24,88.06,88.29,87.75,88.03,179300,87.91
2013-10-23,88.66,88.92,87.28,87.95,174400,87.83
2013-10-22,89.16,90.39,89.01,89.18,167100,89.06
2013-10-21,89.04,89.32,88.16,89.00,296800,88.88
2013-10-18,89.55,89.55,88.46,88.84,210800,88.72
2013-10-17,86.94,88.76,86.50,88.68,173700,88.56
2013-10-16,86.95,87.59,86.23,87.22,101300,87.10
2013-10-15,86.80,87.54,85.85,86.29,106900,86.17
2013-10-14,85.65,87.19,84.97,87.05,118700,86.93
2013-10-11,84.19,86.33,83.73,86.30,174300,86.18
2013-10-10,84.55,85.66,84.26,84.53,390700,84.42
2013-10-09,84.71,84.71,82.52,83.44,252300,83.33
2013-10-08,86.13,86.13,84.34,84.43,204700,84.32
2013-10-07,85.95,86.64,85.39,85.93,140500,85.81
2013-10-04,86.67,87.37,85.98,86.74,161300,86.50
2013-10-03,86.63,87.42,85.62,86.90,246800,86.66
2013-10-02,86.85,87.49,85.57,87.12,317300,86.88
