Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,72.46,77.98,72.46,76.31,1555300,76.31
2014-02-21,73.82,73.88,72.09,72.68,594600,72.68
2014-02-20,71.90,73.50,70.75,72.93,799200,72.93
2014-02-19,71.88,73.70,70.81,71.08,916400,71.08
2014-02-18,75.29,75.30,71.30,71.90,1414100,71.90
2014-02-14,73.90,75.89,72.03,74.35,1636200,74.35
2014-02-13,67.50,73.66,66.66,72.01,2393300,72.01
2014-02-12,74.00,75.74,68.71,69.08,4450000,69.08
2014-02-11,79.00,79.92,75.37,78.01,2769600,78.01
2014-02-10,72.85,78.70,71.50,76.85,2487900,76.85
2014-02-07,67.00,70.97,66.59,70.73,1247800,70.73
2014-02-06,65.90,67.12,65.28,66.27,527700,66.27
2014-02-05,68.20,68.20,64.31,66.11,1004500,66.11
2014-02-04,67.41,68.38,66.31,66.84,1060200,66.84
2014-02-03,71.43,72.74,65.02,66.52,2369200,66.52
2014-01-31,68.52,76.94,68.25,72.99,1899900,72.99
2014-01-30,70.00,71.33,69.05,69.34,610800,69.34
2014-01-29,68.68,71.00,67.67,68.31,807400,68.31
2014-01-28,69.00,71.50,67.71,69.84,1120300,69.84
2014-01-27,68.08,70.00,65.88,68.28,1024300,68.28
2014-01-24,71.03,71.30,66.39,67.30,1964200,67.30
2014-01-23,73.95,74.20,71.58,73.17,815600,73.17
2014-01-22,71.34,74.40,69.51,73.73,1358100,73.73
2014-01-21,71.82,72.48,67.63,69.44,2502300,69.44
2014-01-17,71.29,75.24,70.88,73.57,3203500,73.57
2014-01-16,68.55,71.53,66.27,70.99,2510300,70.99
2014-01-15,60.27,66.17,59.53,65.45,2955200,65.45
2014-01-14,56.45,59.37,55.14,58.87,1515200,58.87
2014-01-13,57.90,58.45,55.31,55.64,917400,55.64
2014-01-10,58.65,58.90,55.70,57.80,940400,57.80
2014-01-09,57.77,58.39,57.39,57.90,840800,57.90
2014-01-08,60.47,60.50,56.59,56.96,1841700,56.96
2014-01-07,58.89,61.63,57.77,60.50,1914800,60.50
2014-01-06,57.39,59.43,55.01,58.51,3545700,58.51
2014-01-03,50.69,57.27,49.60,57.02,9733700,57.02
2014-01-02,43.02,43.87,40.41,41.13,1062200,41.13
2013-12-31,44.00,44.20,43.09,43.61,282500,43.61
2013-12-30,43.23,44.17,42.61,43.69,376300,43.69
2013-12-27,43.00,43.49,42.30,43.13,477500,43.13
2013-12-26,40.43,43.85,40.23,43.43,1078800,43.43
2013-12-24,39.79,40.35,39.64,40.10,83400,40.10
2013-12-23,39.65,40.43,39.34,39.79,248200,39.79
2013-12-20,39.84,40.16,38.79,39.56,2090600,39.56
2013-12-19,39.30,40.49,38.78,40.18,562500,40.18
2013-12-18,38.97,39.49,38.25,39.36,511200,39.36
2013-12-17,38.30,39.10,38.10,38.87,474200,38.87
2013-12-16,38.50,39.25,37.49,38.94,462100,38.94
2013-12-13,38.21,39.42,37.85,38.33,454200,38.33
2013-12-12,37.25,37.93,36.61,37.46,319800,37.46
2013-12-11,36.83,38.95,36.83,37.76,460900,37.76
2013-12-10,36.76,37.71,36.61,37.60,319600,37.60
2013-12-09,37.26,37.26,36.15,36.93,306700,36.93
2013-12-06,37.33,37.33,36.54,36.59,194800,36.59
2013-12-05,36.52,38.27,36.51,36.75,320900,36.75
2013-12-04,36.63,37.14,36.54,36.71,289400,36.71
2013-12-03,36.63,37.25,36.57,37.01,212500,37.01
2013-12-02,37.90,38.40,36.92,37.09,240800,37.09
2013-11-29,38.74,38.95,38.17,38.37,108000,38.37
2013-11-27,37.70,38.74,36.01,38.24,490000,38.24
2013-11-26,34.99,37.80,33.90,37.37,1184600,37.37
2013-11-25,35.27,35.27,33.60,33.71,418000,33.71
2013-11-22,34.41,35.00,34.10,34.90,272700,34.90
2013-11-21,33.61,35.11,33.60,34.22,371800,34.22
2013-11-20,36.20,37.00,33.30,33.60,531400,33.60
2013-11-19,37.19,37.50,35.93,36.01,343000,36.01
2013-11-18,39.00,39.00,36.97,37.27,275200,37.27
2013-11-15,39.17,39.25,38.28,38.86,136500,38.86
2013-11-14,39.08,39.08,37.60,38.67,210600,38.67
2013-11-13,37.29,38.82,36.68,38.66,291700,38.66
2013-11-12,37.72,37.77,36.47,36.73,401300,36.73
2013-11-11,37.69,38.05,36.75,37.33,739700,37.33
2013-11-08,41.50,41.50,35.50,37.73,2358900,37.73
2013-11-07,39.80,39.91,37.52,38.03,1175100,38.03
2013-11-06,38.18,39.97,37.28,39.89,697700,39.89
2013-11-05,38.29,38.29,36.32,37.36,439300,37.36
2013-11-04,38.15,38.38,37.47,37.83,316000,37.83
2013-11-01,38.37,39.00,37.21,38.43,394400,38.43
2013-10-31,38.69,38.70,36.15,37.90,770000,37.90
2013-10-30,40.00,40.00,38.17,38.69,300200,38.69
2013-10-29,40.00,40.82,39.96,40.22,220000,40.22
2013-10-28,41.15,41.15,39.52,39.99,216800,39.99
2013-10-25,43.08,43.14,40.50,41.22,239300,41.22
2013-10-24,40.10,42.70,39.81,42.51,429700,42.51
2013-10-23,39.85,39.99,38.40,39.75,276300,39.75
2013-10-22,40.59,41.11,39.76,39.85,499300,39.85
2013-10-21,42.19,42.25,40.75,41.00,295800,41.00
2013-10-18,42.60,44.55,41.05,42.37,682300,42.37
2013-10-17,40.01,42.25,40.01,42.20,348400,42.20
2013-10-16,40.69,41.25,39.21,39.87,477800,39.87
2013-10-15,41.99,42.00,39.87,40.77,762200,40.77
2013-10-14,42.07,42.49,41.25,41.55,183300,41.55
2013-10-11,42.39,42.50,40.90,42.07,374100,42.07
2013-10-10,40.40,41.89,40.00,41.49,425900,41.49
2013-10-09,40.10,40.75,38.61,38.81,537900,38.81
2013-10-08,42.50,42.65,39.68,39.89,661200,39.89
2013-10-07,43.93,43.93,41.59,42.66,477000,42.66
2013-10-04,41.00,43.84,40.45,42.69,952400,42.69
2013-10-03,41.53,41.53,40.00,40.47,209800,40.47
2013-10-02,39.51,40.90,39.50,40.70,321600,40.70
2013-10-01,42.33,42.90,39.57,40.38,616600,40.38
2013-09-30,41.08,42.72,40.18,41.53,925900,41.53
2013-09-27,41.68,43.00,40.02,41.11,1273700,41.11
2013-09-26,39.45,41.78,39.00,41.63,1097200,41.63
2013-09-25,37.50,40.00,37.25,38.80,994700,38.80
2013-09-24,37.55,38.40,36.24,37.01,1219500,37.01
2013-09-23,35.25,38.48,35.25,37.45,2404100,37.45
2013-09-20,40.30,44.89,35.28,36.00,16876000,36.00
