Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,5.71,5.98,5.71,5.98,800,5.98
2014-02-21,5.60,5.60,5.60,5.60,000,5.60
2014-02-20,5.60,5.60,5.60,5.60,000,5.60
2014-02-19,5.60,5.60,5.47,5.60,7700,5.60
2014-02-18,5.64,5.64,5.64,5.64,000,5.64
2014-02-14,5.64,5.64,5.64,5.64,000,5.64
2014-02-13,5.64,5.64,5.64,5.64,000,5.64
2014-02-12,5.64,5.64,5.64,5.64,000,5.64
2014-02-11,5.64,5.64,5.64,5.64,100,5.64
2014-02-10,5.50,5.50,5.50,5.50,000,5.50
2014-02-07,5.50,5.50,5.50,5.50,100,5.50
2014-02-06,5.44,5.44,5.44,5.44,100,5.44
2014-02-05,5.49,5.49,5.49,5.49,000,5.49
2014-02-04,5.35,5.49,5.35,5.49,1300,5.49
2014-02-03,5.50,5.62,5.25,5.35,9900,5.35
2014-01-31,6.05,6.05,6.05,6.05,000,6.05
2014-01-30,5.92,6.05,5.47,6.05,9500,6.05
2014-01-29,6.00,6.00,5.91,5.93,4600,5.93
2014-01-28,6.21,6.21,6.21,6.21,100,6.21
2014-01-27,6.45,6.45,6.45,6.45,000,6.45
2014-01-24,6.45,6.45,6.45,6.45,000,6.45
2014-01-23,6.45,6.45,6.45,6.45,000,6.45
2014-01-22,6.45,6.45,6.45,6.45,000,6.45
2014-01-21,6.45,6.45,6.45,6.45,000,6.45
2014-01-17,6.45,6.45,6.45,6.45,000,6.45
2014-01-16,6.45,6.45,6.45,6.45,000,6.45
2014-01-15,6.45,6.45,6.45,6.45,100,6.45
2014-01-14,6.31,6.31,6.31,6.31,000,6.31
2014-01-13,6.31,6.31,6.31,6.31,000,6.31
2014-01-10,6.31,6.31,6.29,6.31,6400,6.31
2014-01-09,6.36,6.36,6.36,6.36,000,6.36
2014-01-08,6.36,6.36,6.36,6.36,000,6.36
2014-01-07,6.36,6.36,6.36,6.36,100,6.36
2014-01-06,5.96,6.18,5.96,6.18,300,6.18
2014-01-03,6.49,6.49,6.49,6.49,000,6.49
2014-01-02,6.49,6.49,6.49,6.49,000,6.49
2013-12-31,6.33,6.49,6.23,6.49,800,6.49
2013-12-30,6.32,6.32,6.32,6.32,000,6.32
2013-12-27,6.32,6.32,6.32,6.32,000,6.32
2013-12-26,6.37,6.37,6.30,6.32,15100,6.32
2013-12-24,6.41,6.41,6.41,6.41,000,6.41
2013-12-23,6.41,6.41,6.41,6.41,300,6.41
2013-12-20,6.07,6.34,6.07,6.34,1200,6.34
2013-12-19,6.00,6.00,6.00,6.00,200,6.00
2013-12-18,6.00,6.00,5.99,6.00,3700,6.00
2013-12-17,6.00,6.00,6.00,6.00,000,6.00
2013-12-16,6.00,6.00,6.00,6.00,000,6.00
2013-12-13,6.00,6.00,6.00,6.00,000,6.00
2013-12-12,6.00,6.00,6.00,6.00,000,6.00
2013-12-11,6.00,6.00,6.00,6.00,000,6.00
2013-12-10,6.00,6.00,6.00,6.00,000,6.00
2013-12-09,6.00,6.00,6.00,6.00,000,6.00
2013-12-06,5.87,6.00,5.87,6.00,200,6.00
2013-12-05,5.77,5.77,5.77,5.77,000,5.77
2013-12-04,5.77,5.77,5.77,5.77,000,5.77
2013-12-03,5.77,5.77,5.77,5.77,000,5.77
2013-12-02,5.77,5.77,5.77,5.77,200,5.77
2013-11-29,6.00,6.00,6.00,6.00,900,6.00
2013-11-27,5.99,5.99,5.99,5.99,100,5.99
2013-11-26,5.86,5.86,5.86,5.86,000,5.86
2013-11-25,5.77,5.86,5.77,5.86,500,5.86
2013-11-22,5.63,5.69,5.63,5.69,300,5.69
2013-11-21,5.53,5.56,5.53,5.56,200,5.56
2013-11-20,5.52,5.52,5.52,5.52,000,5.52
2013-11-19,5.52,5.52,5.52,5.52,000,5.52
2013-11-18,5.52,5.52,5.52,5.52,000,5.52
2013-11-15,5.52,5.52,5.52,5.52,000,5.52
2013-11-14,5.52,5.52,5.52,5.52,000,5.52
2013-11-13,5.52,5.52,5.52,5.52,000,5.52
2013-11-12,5.52,5.52,5.52,5.52,100,5.52
2013-11-11,5.52,5.52,5.52,5.52,000,5.52
2013-11-08,5.52,5.52,5.52,5.52,100,5.52
2013-11-07,5.42,5.42,5.42,5.42,000,5.42
2013-11-06,5.42,5.42,5.42,5.42,000,5.42
2013-11-05,5.42,5.42,5.42,5.42,000,5.42
2013-11-04,5.42,5.42,5.42,5.42,000,5.42
2013-11-01,5.42,5.42,5.42,5.42,000,5.42
2013-10-31,5.42,5.42,5.42,5.42,000,5.42
2013-10-30,5.42,5.42,5.42,5.42,000,5.42
2013-10-29,5.35,5.42,5.35,5.42,200,5.42
2013-10-28,5.23,5.29,5.23,5.29,400,5.29
2013-10-25,5.59,5.59,5.59,5.59,000,5.59
2013-10-24,5.59,5.59,5.59,5.59,200,5.59
2013-10-23,5.52,5.52,5.52,5.52,100,5.52
2013-10-22,5.52,5.52,5.52,5.52,100,5.52
2013-10-21,5.50,5.50,5.50,5.50,000,5.50
2013-10-18,5.47,5.50,5.43,5.50,4000,5.50
2013-10-17,5.42,5.42,5.42,5.42,000,5.42
2013-10-16,5.42,5.42,5.42,5.42,100,5.42
2013-10-15,5.30,5.30,5.30,5.30,500,5.30
2013-10-14,5.25,5.25,5.21,5.21,1400,5.21
2013-10-11,5.20,5.20,5.20,5.20,100,5.20
2013-10-10,4.99,4.99,4.99,4.99,000,4.99
2013-10-09,4.99,4.99,4.99,4.99,000,4.99
2013-10-08,5.00,5.02,4.98,4.99,1300,4.99
2013-10-07,5.04,5.04,5.04,5.04,2800,5.04
2013-10-04,4.96,5.10,4.96,5.07,4200,5.07
2013-10-03,5.28,5.28,5.28,5.28,000,5.28
2013-10-02,5.23,5.28,5.23,5.28,3900,5.28
2013-10-01,5.28,5.28,5.28,5.28,000,5.28
2013-09-30,5.28,5.28,5.28,5.28,000,5.28
2013-09-27,5.28,5.28,5.28,5.28,000,5.28
2013-09-26,5.28,5.28,5.28,5.28,000,5.28
2013-09-25,5.28,5.28,5.28,5.28,000,5.28
2013-09-24,5.23,5.28,5.23,5.28,200,5.28
2013-09-23,5.14,5.14,5.14,5.14,000,5.14
2013-09-20,5.14,5.14,5.14,5.14,500,5.14
2013-09-19,5.13,5.13,5.13,5.13,2500,5.13
2013-09-18,5.65,5.65,5.65,5.65,000,5.65
2013-09-17,5.65,5.65,5.65,5.65,000,5.65
2013-09-16,5.65,5.65,5.65,5.65,000,5.65
2013-09-13,5.65,5.65,5.65,5.65,000,5.65
2013-09-12,5.65,5.65,5.65,5.65,000,5.65
2013-09-11,5.65,5.65,5.65,5.65,100,5.65
2013-09-10,4.95,5.00,4.95,5.00,500,5.00
