Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,58.92,60.03,58.92,59.38,166900,59.38
2014-02-21,58.21,59.20,58.02,58.26,212200,58.26
2014-02-20,57.89,58.73,57.21,57.91,133400,57.91
2014-02-19,59.58,59.84,57.70,57.84,183200,57.84
2014-02-18,59.59,60.62,59.41,59.85,110300,59.85
2014-02-14,59.65,59.78,58.86,59.56,93500,59.56
2014-02-13,58.90,59.86,58.68,59.63,86000,59.63
2014-02-12,59.42,60.28,58.86,59.34,88100,59.34
2014-02-11,59.21,59.76,58.72,59.55,91200,59.55
2014-02-10,58.84,59.27,58.38,59.03,95700,59.03
2014-02-07,59.12,59.77,58.15,58.98,131500,58.98
2014-02-06,58.92,59.56,58.51,59.12,112700,59.12
2014-02-05,59.44,59.89,58.73,58.90,144600,58.90
2014-02-04,59.07,60.69,58.88,59.60,204000,59.60
2014-02-03,61.15,61.65,58.99,58.99,198100,58.99
2014-01-31,61.34,62.76,61.10,61.17,237700,61.17
2014-01-30,62.42,63.00,61.79,62.55,122000,62.55
2014-01-29,62.76,63.33,61.62,61.82,146900,61.82
2014-01-28,63.89,64.53,63.06,63.38,118200,63.38
2014-01-27,65.02,65.13,63.88,63.89,198300,63.89
2014-01-24,64.36,65.75,64.16,65.01,156900,65.01
2014-01-23,65.92,65.92,64.44,65.33,113700,65.33
2014-01-22,65.86,66.94,65.53,66.29,89500,66.29
2014-01-21,65.19,66.45,65.00,65.97,81300,65.97
2014-01-17,63.89,64.71,63.83,64.64,123000,64.64
2014-01-16,64.66,64.79,63.72,64.00,98900,64.00
2014-01-15,65.11,65.30,64.54,64.67,85300,64.67
2014-01-14,65.43,65.95,64.51,65.10,170100,65.10
2014-01-13,65.03,65.79,64.49,65.14,123200,65.14
2014-01-10,66.01,66.23,64.75,65.41,73700,65.41
2014-01-09,65.70,66.18,65.13,65.88,68500,65.88
2014-01-08,65.18,66.29,65.02,65.46,157300,65.46
2014-01-07,64.92,65.87,64.78,65.18,113300,65.18
2014-01-06,65.81,65.91,64.40,64.51,122100,64.51
2014-01-03,64.81,65.67,64.67,65.38,83000,65.38
2014-01-02,66.05,66.06,64.73,64.77,106100,64.77
2013-12-31,66.12,66.79,66.03,66.11,92900,66.11
2013-12-30,66.24,66.62,65.74,66.19,51200,66.19
2013-12-27,66.83,66.92,66.05,66.45,58900,66.45
2013-12-26,66.67,67.00,65.96,66.54,38600,66.54
2013-12-24,66.20,66.81,65.97,66.22,26700,66.22
2013-12-23,65.29,66.42,64.88,66.33,121500,66.33
2013-12-20,64.20,65.31,62.71,64.83,398400,64.83
2013-12-19,64.47,64.80,63.67,63.89,82700,63.89
2013-12-18,63.38,64.74,62.64,64.74,85900,64.74
2013-12-17,63.93,63.93,62.68,63.13,68100,63.13
2013-12-16,62.76,64.05,62.35,63.93,99200,63.93
2013-12-13,62.89,63.44,62.32,62.62,78400,62.62
2013-12-12,62.41,63.41,59.74,62.69,74600,62.69
2013-12-11,63.76,63.90,62.34,62.63,69000,62.37
2013-12-10,64.54,65.22,63.69,63.84,109000,63.57
2013-12-09,65.39,65.39,64.30,64.84,108900,64.57
2013-12-06,65.29,65.89,64.53,65.33,51200,65.06
2013-12-05,64.13,64.77,63.50,64.52,65200,64.25
2013-12-04,63.48,65.51,63.45,64.22,73300,63.95
2013-12-03,65.58,66.14,64.11,64.71,70700,64.44
2013-12-02,66.50,66.98,65.26,65.65,67700,65.38
2013-11-29,66.70,67.52,66.05,66.38,50900,66.10
2013-11-27,65.85,67.02,65.23,66.26,65600,65.98
2013-11-26,65.00,66.45,64.92,65.79,123600,65.52
2013-11-25,64.21,65.00,64.21,65.00,152500,64.73
2013-11-22,62.97,64.23,62.16,64.19,141900,63.92
2013-11-21,62.20,62.99,61.62,62.85,56700,62.59
2013-11-20,61.59,62.32,61.17,61.78,60400,61.52
2013-11-19,61.92,62.49,61.05,61.38,52000,61.13
2013-11-18,61.75,62.75,61.27,61.79,64900,61.53
2013-11-15,61.54,61.79,60.80,61.58,72600,61.32
2013-11-14,61.77,61.94,60.68,61.63,29700,61.37
2013-11-13,60.88,61.95,60.50,61.93,70100,61.67
2013-11-12,61.60,61.96,60.56,61.14,65200,60.89
