Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,26.10,26.10,25.75,25.94,72300,25.94
2014-02-21,25.94,26.03,25.92,26.00,93600,26.00
2014-02-20,25.96,25.98,25.89,25.98,38000,25.98
2014-02-19,26.25,26.25,25.85,26.05,282600,26.05
2014-02-18,25.81,25.94,25.75,25.90,40400,25.90
2014-02-14,25.73,25.79,25.69,25.71,1162400,25.71
2014-02-13,25.56,25.72,25.56,25.71,78700,25.71
2014-02-12,25.57,25.61,25.49,25.56,27400,25.56
2014-02-11,25.48,25.59,25.46,25.56,311800,25.56
2014-02-10,25.37,25.58,25.37,25.55,54500,25.55
2014-02-07,25.41,25.52,25.40,25.51,123000,25.51
2014-02-06,25.48,25.50,25.37,25.50,78700,25.50
2014-02-05,25.34,25.48,25.24,25.43,80700,25.43
2014-02-04,25.37,25.49,25.28,25.49,176900,25.49
2014-02-03,25.31,25.50,25.31,25.40,409500,25.40
2014-01-31,25.38,25.50,25.27,25.50,389800,25.50
2014-01-30,25.30,25.45,25.25,25.38,467100,25.38
2014-01-29,25.24,25.34,25.23,25.29,484100,25.29
2014-01-28,25.34,25.36,25.30,25.36,123800,25.36
2014-01-27,25.22,25.35,25.22,25.34,50700,25.34
2014-01-24,25.22,25.31,25.12,25.31,359500,25.31
2014-01-23,25.21,25.34,25.14,25.20,102400,25.20
2014-01-22,25.35,25.35,25.25,25.30,828900,25.30
2014-01-21,25.15,25.38,25.15,25.28,214000,25.28
2014-01-17,25.31,25.43,25.30,25.42,1309600,25.42
2014-01-16,25.39,25.43,25.31,25.37,97400,25.37
2014-01-15,25.39,25.44,25.26,25.37,52300,25.37
2014-01-14,25.48,25.48,25.31,25.42,73600,25.42
2014-01-13,25.52,25.59,25.38,25.43,213300,25.43
2014-01-10,25.39,25.68,25.34,25.64,119100,25.64
2014-01-09,25.32,25.38,25.23,25.33,579800,25.33
2014-01-08,25.30,25.35,25.19,25.32,415800,25.32
2014-01-07,25.13,25.30,25.05,25.30,507800,25.30
2014-01-06,25.19,25.19,25.06,25.14,403500,25.14
2014-01-03,25.00,25.24,25.00,25.17,97300,25.17
2014-01-02,25.04,25.09,24.93,25.09,83500,25.09
2013-12-31,24.90,25.02,24.90,24.97,83600,24.97
2013-12-30,24.76,24.99,24.76,24.93,114900,24.93
2013-12-27,24.84,24.95,24.84,24.88,38800,24.88
2013-12-26,24.95,25.02,24.83,24.88,53100,24.88
2013-12-24,24.95,25.05,24.87,25.00,43700,25.00
2013-12-23,24.80,24.95,24.69,24.93,121500,24.93
2013-12-20,24.75,24.79,24.58,24.79,171000,24.79
2013-12-19,24.64,24.75,24.50,24.62,276500,24.62
2013-12-18,24.60,24.75,24.25,24.65,77200,24.65
2013-12-17,24.80,24.80,24.51,24.67,51600,24.67
2013-12-16,24.55,24.85,24.50,24.70,793600,24.70
2013-12-13,24.72,25.65,24.10,24.75,554200,24.75
2013-12-12,24.95,25.05,24.55,24.60,318800,24.60
2013-12-11,24.95,24.95,24.70,24.75,455000,24.75
2013-12-10,24.96,25.05,24.80,24.92,475600,24.92
2013-12-09,25.04,25.10,24.90,24.95,833600,24.95
2013-12-06,24.95,25.04,24.90,25.04,651200,25.04
