Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,16.96,17.10,15.12,15.17,125700,15.17
2014-02-21,17.93,17.93,16.74,16.88,74300,16.88
2014-02-20,17.20,18.19,16.70,17.75,98000,17.75
2014-02-19,17.50,17.50,16.97,17.12,51200,17.12
2014-02-18,17.65,17.66,17.29,17.59,64000,17.59
2014-02-14,17.00,17.65,16.59,17.43,96800,17.43
2014-02-13,16.59,17.19,16.12,16.99,147600,16.99
2014-02-12,16.54,17.32,16.01,16.65,190300,16.65
2014-02-11,15.04,17.73,15.04,17.00,444100,17.00
2014-02-10,14.00,15.05,13.86,14.96,145000,14.96
2014-02-07,13.63,14.91,13.48,13.99,498400,13.99
2014-02-06,12.61,13.18,12.30,12.61,47600,12.61
2014-02-05,12.75,12.75,12.20,12.34,42700,12.34
2014-02-04,13.81,13.81,12.67,12.83,43200,12.83
2014-02-03,14.75,15.20,13.47,13.64,38800,13.64
2014-01-31,14.84,15.17,14.50,14.66,30600,14.66
2014-01-30,15.30,15.40,14.90,14.94,20500,14.94
2014-01-29,16.50,16.50,14.94,15.11,39600,15.11
2014-01-28,16.49,16.74,16.13,16.35,37000,16.35
2014-01-27,18.43,18.43,16.50,16.56,80600,16.56
2014-01-24,18.05,18.55,17.85,18.46,26600,18.46
2014-01-23,18.90,19.15,17.75,18.24,47600,18.24
2014-01-22,19.50,19.70,19.00,19.26,77600,19.26
2014-01-21,19.31,19.60,18.91,19.39,94000,19.39
2014-01-17,19.65,20.00,18.96,19.04,95900,19.04
2014-01-16,19.26,20.55,19.05,19.74,94500,19.74
2014-01-15,19.08,20.37,18.91,19.24,91400,19.24
2014-01-14,17.94,21.68,17.94,18.95,91400,18.95
2014-01-13,18.50,19.06,17.50,17.91,58100,17.91
2014-01-10,18.00,18.81,17.31,18.69,150800,18.69
2014-01-09,16.63,18.18,16.63,17.97,68000,17.97
2014-01-08,15.95,16.68,15.89,16.50,83100,16.50
2014-01-07,16.07,16.24,15.49,15.95,57400,15.95
2014-01-06,15.90,16.66,15.24,15.97,60900,15.97
2014-01-03,15.78,16.08,14.99,15.86,37500,15.86
2014-01-02,16.60,16.98,15.22,15.96,58900,15.96
2013-12-31,16.46,16.99,15.25,16.79,76100,16.79
2013-12-30,16.00,16.46,15.70,16.38,11700,16.38
2013-12-27,15.72,16.42,14.60,15.99,48200,15.99
2013-12-26,14.99,15.63,14.53,15.54,50400,15.54
2013-12-24,15.23,15.23,14.70,14.70,4400,14.70
2013-12-23,14.67,15.35,14.10,15.22,31100,15.22
2013-12-20,14.94,16.23,13.29,14.27,871300,14.27
2013-12-19,15.58,15.93,14.64,14.90,33300,14.90
2013-12-18,16.70,16.70,14.76,15.86,98500,15.86
2013-12-17,15.77,16.99,15.08,16.70,109500,16.70
2013-12-16,15.85,16.19,14.33,15.64,98500,15.64
2013-12-13,16.77,17.34,15.00,16.06,85600,16.06
2013-12-12,14.03,17.75,14.03,16.61,232300,16.61
2013-12-11,12.98,14.86,12.85,14.15,135100,14.15
2013-12-10,12.37,13.13,12.37,12.97,71000,12.97
2013-12-09,11.51,12.62,11.18,12.24,39400,12.24
2013-12-06,11.14,11.79,10.75,11.20,60500,11.20
2013-12-05,10.52,11.36,10.52,11.01,119900,11.01
