Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,16.92,16.92,16.80,16.80,6200,16.80
2014-02-21,16.85,16.85,16.80,16.80,5600,16.80
2014-02-20,16.85,17.03,16.81,17.03,4700,17.03
2014-02-19,16.85,16.95,16.85,16.85,800,16.85
2014-02-18,16.86,16.86,16.85,16.85,1200,16.85
2014-02-14,16.85,16.86,16.85,16.86,800,16.86
2014-02-13,16.90,16.90,16.85,16.85,2100,16.85
2014-02-12,16.86,16.88,16.85,16.85,4300,16.85
2014-02-11,17.00,17.01,16.97,16.97,2300,16.92
2014-02-10,17.04,17.04,16.86,17.02,4600,16.97
2014-02-07,17.00,17.01,16.90,16.95,2600,16.90
2014-02-06,16.86,16.89,16.86,16.87,2600,16.82
2014-02-05,16.96,17.00,16.85,16.85,1000,16.80
2014-02-04,17.00,17.00,17.00,17.00,3700,16.95
2014-02-03,17.01,17.07,16.95,16.97,14500,16.92
2014-01-31,17.04,17.15,17.01,17.15,9200,17.10
2014-01-30,17.11,17.18,17.00,17.16,32900,17.11
2014-01-29,17.00,17.14,16.96,17.08,83900,17.03
2014-01-28,17.15,17.15,17.00,17.00,10700,16.95
2014-01-27,17.08,17.10,17.08,17.10,900,17.05
2014-01-24,17.20,17.21,16.91,17.00,7500,16.95
2014-01-23,17.01,17.29,17.01,17.20,2700,17.15
2014-01-22,17.04,17.18,16.91,16.91,4700,16.86
2014-01-21,16.93,17.01,16.91,17.00,3900,16.95
2014-01-17,16.98,17.03,16.97,16.97,2200,16.92
2014-01-16,16.97,17.17,16.97,17.00,5500,16.95
2014-01-15,17.01,17.18,16.95,17.00,8100,16.95
2014-01-14,17.00,17.10,17.00,17.10,1400,17.05
2014-01-13,17.19,17.19,17.00,17.07,9200,17.02
2014-01-10,17.00,17.00,17.00,17.00,600,16.95
2014-01-09,17.05,17.05,17.00,17.00,2600,16.95
2014-01-08,17.10,17.10,17.10,17.10,000,17.05
2014-01-07,17.10,17.10,17.10,17.10,000,17.05
2014-01-06,17.17,17.17,17.10,17.10,5600,17.05
2014-01-03,17.10,17.10,17.10,17.10,500,17.05
2014-01-02,17.19,17.20,17.10,17.10,9400,17.05
2013-12-31,17.21,17.21,17.14,17.15,1200,17.10
2013-12-30,17.12,17.12,17.12,17.12,300,17.07
2013-12-27,17.18,17.18,17.10,17.18,400,17.13
2013-12-26,17.21,17.21,17.15,17.15,1600,17.10
2013-12-24,17.15,17.15,17.15,17.15,500,17.10
2013-12-23,17.24,17.25,17.18,17.18,12800,17.13
2013-12-20,17.27,17.35,17.17,17.17,1200,17.12
2013-12-19,17.16,17.18,17.16,17.16,2100,17.11
2013-12-18,17.15,17.23,17.15,17.23,2900,17.18
2013-12-17,17.23,17.23,17.19,17.23,1500,17.18
2013-12-16,17.23,17.23,17.15,17.15,4000,17.10
2013-12-13,17.21,17.23,17.18,17.23,8500,17.18
2013-12-12,17.22,17.23,17.20,17.22,4500,17.17
2013-12-11,17.16,17.16,17.16,17.16,200,17.11
2013-12-10,17.16,17.18,17.16,17.17,2600,17.12
2013-12-09,17.23,17.23,17.16,17.20,2400,17.15
2013-12-06,17.17,17.23,17.15,17.23,3600,17.18
2013-12-05,17.14,17.22,17.14,17.22,2600,17.17
2013-12-04,17.08,17.22,17.08,17.22,300,17.17
2013-12-03,17.22,17.22,17.15,17.15,2200,17.10
2013-12-02,17.21,17.21,17.15,17.21,4800,17.16
2013-11-29,17.21,17.21,17.21,17.21,100,17.16
2013-11-27,17.20,17.20,17.20,17.20,1000,17.15
2013-11-26,17.10,17.21,17.10,17.20,6500,17.15
2013-11-25,17.23,17.23,17.15,17.15,200,17.10
2013-11-22,17.20,17.23,17.20,17.23,2000,17.18
2013-11-21,17.14,17.14,17.14,17.14,200,17.09
2013-11-20,17.15,17.16,17.15,17.15,800,17.10
2013-11-19,17.20,17.20,17.15,17.15,700,17.10
2013-11-18,17.22,17.22,17.19,17.19,2700,17.14
2013-11-15,17.21,17.21,17.21,17.21,100,17.16
2013-11-14,17.28,17.28,17.19,17.19,4000,17.14
2013-11-13,17.20,17.28,17.18,17.28,30000,17.23
2013-11-12,17.15,17.20,17.15,17.20,21000,17.10
2013-11-11,17.00,17.00,17.00,17.00,2000,16.90
2013-11-08,17.14,17.18,17.14,17.18,1500,17.08
2013-11-07,17.20,17.20,17.16,17.16,1200,17.06
2013-11-06,17.15,17.15,17.15,17.15,200,17.05
2013-11-05,17.09,17.26,17.09,17.20,6000,17.10
2013-11-04,17.17,17.17,16.96,17.02,1900,16.92
2013-11-01,17.10,17.24,17.00,17.00,3700,16.90
2013-10-31,16.97,17.26,16.97,17.00,2100,16.90
2013-10-30,17.00,17.26,16.87,17.26,75700,17.16
2013-10-29,17.13,17.18,17.13,17.15,42000,17.05
2013-10-28,17.15,17.20,17.10,17.13,3300,17.03
2013-10-25,16.88,17.28,16.88,17.10,19600,17.00
2013-10-24,16.99,17.08,16.90,17.02,3000,16.92
2013-10-23,16.97,17.26,16.97,17.00,30900,16.90
2013-10-22,17.05,17.05,17.00,17.00,29200,16.90
2013-10-21,16.64,17.00,16.58,17.00,17900,16.90
2013-10-18,16.89,16.89,16.66,16.74,3100,16.64
2013-10-17,16.67,16.85,16.61,16.71,4700,16.61
2013-10-16,16.80,16.85,16.80,16.85,300,16.75
2013-10-15,16.59,16.73,16.59,16.73,2900,16.63
2013-10-14,16.87,16.87,16.87,16.87,100,16.77
2013-10-11,16.85,16.85,16.76,16.77,800,16.67
2013-10-10,16.88,16.88,16.88,16.88,000,16.78
2013-10-09,16.88,16.88,16.88,16.88,000,16.78
2013-10-08,16.88,16.88,16.88,16.88,500,16.78
