Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.80,7.94,7.80,7.90,41500,7.90
2014-02-21,7.75,7.85,7.75,7.81,44000,7.81
2014-02-20,7.73,7.75,7.66,7.75,23600,7.75
2014-02-19,7.74,7.80,7.70,7.75,39400,7.75
2014-02-18,7.65,7.73,7.65,7.73,28000,7.73
2014-02-14,7.61,7.64,7.56,7.64,15500,7.64
2014-02-13,7.57,7.60,7.45,7.60,21700,7.60
2014-02-12,7.54,7.60,7.54,7.55,12400,7.55
2014-02-11,7.46,7.54,7.46,7.54,29600,7.54
2014-02-10,7.40,7.48,7.40,7.48,8300,7.48
2014-02-07,7.30,7.40,7.30,7.37,24200,7.37
2014-02-06,7.22,7.33,7.22,7.32,71600,7.32
2014-02-05,7.11,7.27,7.11,7.18,40600,7.18
2014-02-04,7.18,7.27,7.17,7.22,9300,7.22
2014-02-03,7.37,7.37,7.13,7.16,20900,7.16
2014-01-31,7.32,7.41,7.31,7.35,12600,7.35
2014-01-30,7.34,7.42,7.34,7.37,26400,7.37
2014-01-29,7.33,7.41,7.29,7.31,28500,7.31
2014-01-28,7.45,7.45,7.36,7.38,45500,7.38
2014-01-27,7.57,7.67,7.40,7.44,35700,7.44
2014-01-24,7.61,7.61,7.48,7.50,14500,7.50
2014-01-23,7.66,7.66,7.53,7.65,69000,7.65
2014-01-22,7.71,7.72,7.66,7.70,60400,7.70
2014-01-21,7.75,7.75,7.67,7.67,33500,7.67
2014-01-17,7.76,7.79,7.68,7.74,32000,7.74
2014-01-16,7.74,7.79,7.71,7.73,41200,7.73
2014-01-15,7.70,7.79,7.70,7.79,47200,7.79
2014-01-14,7.67,7.74,7.67,7.73,60000,7.73
2014-01-13,7.69,7.70,7.67,7.67,27900,7.67
2014-01-10,7.67,7.70,7.67,7.67,17800,7.67
2014-01-09,7.69,7.80,7.61,7.70,47900,7.70
2014-01-08,7.64,7.72,7.58,7.68,55500,7.68
2014-01-07,7.60,7.65,7.55,7.63,11600,7.63
2014-01-06,7.58,7.64,7.56,7.60,19400,7.60
2014-01-03,7.53,7.60,7.53,7.57,23100,7.57
2014-01-02,7.60,7.61,7.54,7.57,35200,7.57
2013-12-31,7.66,7.70,7.60,7.62,43800,7.62
2013-12-30,7.68,7.69,7.60,7.69,36500,7.69
2013-12-27,7.75,7.78,7.64,7.66,14600,7.66
2013-12-26,7.73,7.82,7.69,7.69,12400,7.69
2013-12-24,7.77,7.93,7.73,7.73,14200,7.73
2013-12-23,7.59,7.84,7.53,7.82,85900,7.82
2013-12-20,7.58,7.59,7.49,7.59,22500,7.59
2013-12-19,7.50,7.56,7.44,7.54,46300,7.54
2013-12-18,7.47,7.57,7.39,7.50,45400,7.50
2013-12-17,7.40,7.49,7.30,7.49,50600,7.49
2013-12-16,7.36,7.44,7.33,7.42,45900,7.42
2013-12-13,7.40,7.41,7.30,7.31,38200,7.31
2013-12-12,7.40,7.51,7.35,7.35,104300,7.35
2013-12-11,7.43,7.44,7.36,7.40,169300,7.40
2013-12-10,7.49,7.53,7.45,7.53,38600,7.42
2013-12-09,7.52,7.54,7.47,7.48,48600,7.37
2013-12-06,7.49,7.55,7.45,7.50,48600,7.39
2013-12-05,7.52,7.52,7.44,7.46,31700,7.35
2013-12-04,7.47,7.54,7.42,7.49,64800,7.38
2013-12-03,7.50,7.53,7.46,7.47,39600,7.36
2013-12-02,7.55,7.61,7.51,7.52,26900,7.41
2013-11-29,7.62,7.63,7.57,7.59,13600,7.48
2013-11-27,7.57,7.61,7.53,7.55,42900,7.44
2013-11-26,7.57,7.60,7.56,7.60,33000,7.49
2013-11-25,7.58,7.64,7.54,7.59,27500,7.48
2013-11-22,7.55,7.61,7.51,7.55,30500,7.44
