Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,14.50,14.50,14.33,14.49,14100,14.49
2014-02-21,14.56,14.59,14.31,14.50,28300,14.50
2014-02-20,14.32,14.69,14.22,14.49,41900,14.49
2014-02-19,14.49,14.49,14.26,14.32,22900,14.32
2014-02-18,14.46,14.56,14.40,14.47,26700,14.47
2014-02-14,14.52,14.52,14.27,14.44,17300,14.44
2014-02-13,14.32,14.60,14.32,14.51,11100,14.51
2014-02-12,14.49,14.60,14.29,14.40,34700,14.40
2014-02-11,14.49,14.49,14.09,14.40,19300,14.40
2014-02-10,14.48,14.53,14.00,14.52,27400,14.52
2014-02-07,14.06,14.25,14.06,14.23,24600,14.23
2014-02-06,14.46,14.46,13.95,14.07,30700,14.07
2014-02-05,14.18,14.63,13.89,14.26,38800,14.26
2014-02-04,14.32,14.38,14.07,14.38,17500,14.38
2014-02-03,14.17,14.33,14.00,14.33,25000,14.33
2014-01-31,14.22,14.39,14.16,14.34,22100,14.34
2014-01-30,14.21,14.39,14.14,14.37,25300,14.37
2014-01-29,14.22,14.37,13.99,14.13,23700,14.13
2014-01-28,14.39,14.39,14.16,14.28,16500,14.28
2014-01-27,14.26,14.40,14.08,14.31,18100,14.31
2014-01-24,14.37,14.53,14.17,14.29,16400,14.29
2014-01-23,14.45,14.55,14.44,14.45,5300,14.45
2014-01-22,14.36,14.52,14.25,14.35,9300,14.35
2014-01-21,14.67,14.67,14.39,14.49,16500,14.49
2014-01-17,14.70,14.72,14.51,14.66,12700,14.66
2014-01-16,14.54,14.84,14.54,14.69,23500,14.69
2014-01-15,14.33,14.61,14.31,14.61,45300,14.61
2014-01-14,14.34,14.42,14.05,14.34,35800,14.34
2014-01-13,14.26,14.30,14.07,14.28,33400,14.28
2014-01-10,14.17,14.28,14.09,14.27,27300,14.27
2014-01-09,14.13,14.20,13.97,14.11,16000,14.11
2014-01-08,13.91,14.18,13.82,14.12,27200,14.12
2014-01-07,13.87,14.00,13.82,13.96,13500,13.96
2014-01-06,13.73,13.88,13.73,13.81,18700,13.81
2014-01-03,13.75,14.04,13.68,13.71,42600,13.71
2014-01-02,13.90,14.05,13.79,13.82,35800,13.82
2013-12-31,14.19,14.19,13.86,13.88,56000,13.88
2013-12-30,14.05,14.29,13.84,14.13,59400,14.13
2013-12-27,13.85,14.05,13.81,14.03,56400,14.03
2013-12-26,13.92,13.92,13.68,13.78,28700,13.78
2013-12-24,13.72,13.98,13.70,13.89,38500,13.89
2013-12-23,13.97,14.02,13.73,13.76,95700,13.76
2013-12-20,13.91,14.06,13.82,13.86,65700,13.86
2013-12-19,14.06,14.21,13.86,13.86,27000,13.86
2013-12-18,14.21,14.21,13.90,14.01,56700,14.01
2013-12-17,13.92,14.20,13.78,14.14,50500,14.14
2013-12-16,14.15,14.17,13.78,13.85,69700,13.85
