Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,19.02,19.31,18.90,19.26,269800,19.26
2014-02-21,19.01,19.12,18.97,19.07,286300,19.07
2014-02-20,18.63,18.98,18.63,18.92,145400,18.92
2014-02-19,18.99,19.00,18.46,18.55,147500,18.55
2014-02-18,18.69,19.11,18.60,18.96,185900,18.96
2014-02-14,18.73,18.77,18.54,18.75,85700,18.75
2014-02-13,18.48,18.76,18.40,18.68,113300,18.68
2014-02-12,18.49,18.61,18.23,18.58,134200,18.58
2014-02-11,18.38,18.57,18.27,18.47,125600,18.47
2014-02-10,18.19,18.38,18.19,18.35,171700,18.35
2014-02-07,18.10,18.29,18.03,18.16,223200,18.16
2014-02-06,18.30,18.30,18.08,18.12,170700,18.12
2014-02-05,17.83,18.18,17.79,18.11,321700,18.11
2014-02-04,17.87,17.89,17.69,17.83,183700,17.83
2014-02-03,18.32,18.41,17.75,17.83,226300,17.83
2014-01-31,18.25,18.76,18.20,18.30,160300,18.30
2014-01-30,18.32,18.64,18.21,18.49,138200,18.49
2014-01-29,18.43,18.52,18.17,18.20,226500,18.20
2014-01-28,18.57,18.62,18.31,18.53,351200,18.53
2014-01-27,18.94,19.00,18.44,18.49,160300,18.49
2014-01-24,18.92,19.02,18.63,18.82,147800,18.82
2014-01-23,18.98,19.09,18.83,18.97,155600,18.97
2014-01-22,19.00,19.05,18.90,18.98,143300,18.98
2014-01-21,18.95,18.99,18.73,18.95,208500,18.95
2014-01-17,18.70,18.87,18.58,18.86,673200,18.86
2014-01-16,18.92,18.98,18.63,18.66,346000,18.66
2014-01-15,18.78,18.95,18.70,18.89,392400,18.89
2014-01-14,18.68,18.81,18.52,18.80,257700,18.80
2014-01-13,18.53,18.63,18.27,18.53,216500,18.53
2014-01-10,18.46,18.66,18.40,18.63,179700,18.63
2014-01-09,18.34,18.40,18.17,18.40,228300,18.40
2014-01-08,18.40,18.40,18.19,18.25,160800,18.25
2014-01-07,18.44,18.68,18.27,18.37,163400,18.37
2014-01-06,18.52,18.68,18.30,18.40,292600,18.40
2014-01-03,18.69,18.82,18.43,18.53,293200,18.53
2014-01-02,19.02,19.06,18.62,18.70,299200,18.70
2013-12-31,18.71,19.25,18.71,19.11,305900,19.11
2013-12-30,18.73,18.83,18.59,18.74,341700,18.74
2013-12-27,18.71,18.75,18.58,18.72,156500,18.72
2013-12-26,18.68,18.75,18.52,18.58,189400,18.58
2013-12-24,18.41,18.60,18.41,18.57,129300,18.57
2013-12-23,18.48,18.52,18.18,18.51,335100,18.51
2013-12-20,18.06,18.47,17.74,18.43,710400,18.43
2013-12-19,18.23,18.28,18.01,18.08,180500,18.08
2013-12-18,18.12,18.24,17.94,18.20,207100,18.20
2013-12-17,17.70,18.11,17.70,18.11,240300,18.11
2013-12-16,17.85,17.85,17.51,17.66,177200,17.66
2013-12-13,18.11,18.24,17.60,17.73,282300,17.73
2013-12-12,18.05,18.44,17.91,18.42,468600,18.10
