Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,56.63,56.98,56.63,56.76,5200,56.76
2014-02-21,56.74,57.00,56.61,56.63,11500,56.63
2014-02-20,56.75,56.88,56.75,56.75,6200,56.75
2014-02-19,56.72,56.79,56.72,56.75,22300,56.75
2014-02-18,56.95,56.98,56.61,56.92,18500,56.92
2014-02-14,56.95,57.00,56.95,56.98,16500,56.98
2014-02-13,56.93,56.96,56.93,56.94,11200,56.94
2014-02-12,57.04,57.04,56.93,56.94,18300,56.94
2014-02-11,56.92,56.95,56.92,56.95,6700,56.95
2014-02-10,56.94,56.95,56.93,56.94,7400,56.94
2014-02-07,56.91,56.97,56.91,56.94,5500,56.94
2014-02-06,57.11,57.11,56.90,56.91,299500,56.91
2014-02-05,56.95,56.96,56.93,56.96,81500,56.96
2014-02-04,56.97,56.97,56.93,56.93,22600,56.93
2014-02-03,56.92,56.95,56.92,56.93,71800,56.93
2014-01-31,56.92,56.94,56.92,56.93,25400,56.93
2014-01-30,56.96,56.96,56.93,56.94,24000,56.94
2014-01-29,56.92,56.94,56.92,56.94,65800,56.94
2014-01-28,56.90,56.95,56.90,56.95,56400,56.95
2014-01-27,56.93,56.95,56.89,56.89,133100,56.89
2014-01-24,56.93,56.96,56.93,56.95,125700,56.95
2014-01-23,56.86,56.96,56.86,56.95,51300,56.95
2014-01-22,56.98,56.98,56.80,56.80,200300,56.80
2014-01-21,56.90,56.97,56.90,56.90,822700,56.90
2014-01-17,56.96,57.00,56.92,56.97,1324100,56.97
2014-01-16,56.96,56.99,56.95,56.99,90500,56.99
2014-01-15,56.95,56.97,56.95,56.96,93100,56.96
2014-01-14,56.95,56.98,56.92,56.98,410700,56.98
2014-01-13,56.93,56.96,56.93,56.95,253500,56.95
2014-01-10,56.94,56.98,56.92,56.94,395300,56.94
2014-01-09,57.00,57.07,56.95,56.95,265900,56.95
2014-01-08,56.96,57.13,56.96,57.00,281800,57.00
2014-01-07,56.97,57.20,56.96,57.09,258100,57.09
2014-01-06,56.95,57.10,56.95,57.09,214000,57.09
2014-01-03,57.02,57.19,56.98,57.00,96100,57.00
2014-01-02,57.10,57.20,56.95,57.06,417500,57.06
2013-12-31,57.18,57.68,57.00,57.10,304100,57.10
2013-12-30,57.04,57.69,56.97,57.13,149700,57.13
2013-12-27,57.75,57.82,57.05,57.17,271100,57.17
2013-12-26,58.00,58.00,57.63,57.72,158900,57.72
2013-12-24,57.61,57.90,57.56,57.75,218100,57.75
2013-12-23,57.16,57.95,57.12,57.90,621900,57.90
2013-12-20,57.00,58.00,56.97,57.22,3082800,57.22
2013-12-19,57.30,57.30,54.82,55.65,129100,55.65
2013-12-18,55.00,58.00,53.60,56.95,79100,56.95
2013-12-17,55.39,55.69,52.75,54.99,85500,54.99
2013-12-16,58.58,58.68,54.51,55.61,77800,55.61
2013-12-13,53.40,57.40,53.10,56.90,112700,56.90
