Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,63.57,63.57,61.71,62.10,137700,62.10
2014-02-21,60.85,62.15,60.76,62.15,100000,62.15
2014-02-20,59.59,60.60,59.51,60.52,41900,60.52
2014-02-19,59.90,60.97,59.26,59.34,53100,59.34
2014-02-18,59.58,60.72,59.58,60.13,109700,60.13
2014-02-14,59.38,60.28,59.00,59.68,45700,59.68
2014-02-13,58.21,59.99,58.21,59.39,59900,59.39
2014-02-12,58.82,59.52,58.56,58.99,67400,58.99
2014-02-11,57.93,58.94,57.47,58.93,91200,58.93
2014-02-10,57.88,58.33,57.30,57.95,70700,57.95
2014-02-07,57.06,58.41,56.70,57.88,89200,57.88
2014-02-06,57.61,58.32,56.93,57.02,59300,57.02
2014-02-05,56.57,58.15,56.57,57.53,147500,57.53
2014-02-04,55.88,59.00,55.64,57.06,212000,57.06
2014-02-03,55.84,55.91,53.89,55.73,156700,55.73
2014-01-31,55.58,56.91,55.09,55.89,71500,55.89
2014-01-30,57.23,57.36,56.50,56.54,100900,56.54
2014-01-29,58.00,58.06,56.53,56.93,128700,56.93
2014-01-28,60.81,61.00,58.01,58.24,156000,58.24
2014-01-27,62.24,62.24,60.53,61.07,74500,61.07
2014-01-24,63.66,63.66,61.51,62.25,58700,62.25
2014-01-23,63.86,64.36,63.36,64.22,49900,64.22
2014-01-22,64.80,64.80,63.42,64.33,48800,64.33
2014-01-21,64.69,64.93,63.68,64.70,47400,64.70
2014-01-17,64.35,64.82,63.70,64.12,31500,64.12
2014-01-16,62.50,65.36,62.50,64.25,52500,64.25
2014-01-15,63.20,64.79,62.64,64.58,71500,64.58
2014-01-14,62.55,63.15,61.72,63.02,39400,63.02
2014-01-13,63.54,64.51,61.58,62.28,128600,62.28
2014-01-10,63.86,64.22,63.01,63.92,88500,63.92
2014-01-09,64.13,64.60,62.77,64.06,79900,64.06
2014-01-08,63.15,63.99,62.71,63.76,90000,63.76
2014-01-07,62.38,63.44,62.25,63.11,95300,63.11
2014-01-06,62.56,62.56,61.15,61.50,54300,61.50
2014-01-03,62.50,63.31,61.81,62.42,54200,62.42
2014-01-02,62.13,62.65,61.13,62.44,81500,62.44
2013-12-31,62.71,63.40,61.84,62.23,68600,62.23
2013-12-30,63.12,63.81,62.65,62.76,61500,62.76
2013-12-27,63.58,63.82,62.67,63.62,61400,63.62
2013-12-26,63.52,64.20,62.94,63.27,79000,63.27
2013-12-24,62.80,64.28,62.50,63.39,30100,63.39
2013-12-23,63.38,63.80,62.25,62.73,59600,62.73
2013-12-20,61.26,63.54,61.22,63.25,219500,63.25
2013-12-19,61.76,61.94,60.85,60.95,92600,60.95
2013-12-18,60.49,62.03,59.91,61.78,59200,61.78
2013-12-17,60.54,60.83,59.76,60.43,76100,60.43
2013-12-16,59.19,60.76,59.12,60.38,70200,60.38
2013-12-13,59.06,59.92,58.46,59.01,69100,59.01
2013-12-12,57.58,59.50,57.30,58.98,97700,58.98
2013-12-11,57.42,57.90,56.71,57.70,74700,57.70
2013-12-10,57.76,58.32,57.46,57.47,59300,57.47
2013-12-09,58.61,58.90,57.68,57.93,59700,57.93
2013-12-06,58.93,59.11,57.52,58.72,72300,58.72
2013-12-05,58.87,59.00,58.02,58.46,71800,58.46
2013-12-04,58.73,59.74,58.10,58.76,94100,58.76
2013-12-03,59.45,59.75,58.65,59.17,79200,59.17
2013-12-02,60.09,60.72,58.74,59.40,96400,59.40
2013-11-29,60.63,60.70,60.15,60.22,45900,59.95
2013-11-27,60.12,60.40,59.56,60.25,55600,59.98
2013-11-26,59.84,60.08,59.70,59.99,74800,59.72
2013-11-25,59.76,60.10,58.67,59.56,73300,59.29
