Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,25.72,25.72,25.58,25.59,4400,25.59
2014-02-21,25.75,25.75,25.56,25.60,2400,25.60
2014-02-20,25.75,25.75,25.75,25.75,2100,25.75
2014-02-19,25.65,25.73,25.65,25.73,2000,25.73
2014-02-18,25.51,25.67,25.51,25.64,1600,25.64
2014-02-14,25.52,25.68,25.52,25.67,1600,25.67
2014-02-13,25.66,25.72,25.60,25.72,5800,25.57
2014-02-12,25.67,25.67,25.67,25.67,000,25.52
2014-02-11,25.60,25.71,25.60,25.67,1100,25.52
2014-02-10,25.69,25.69,25.50,25.50,3500,25.35
2014-02-07,25.52,25.53,25.51,25.51,1500,25.36
2014-02-06,25.50,25.50,25.49,25.50,1300,25.35
2014-02-05,25.45,25.61,25.45,25.61,600,25.46
2014-02-04,25.53,25.55,25.47,25.47,2300,25.32
2014-02-03,25.51,25.51,25.51,25.51,1000,25.36
2014-01-31,25.41,25.71,25.41,25.71,700,25.56
2014-01-30,25.71,25.71,25.71,25.71,100,25.56
2014-01-29,25.45,25.45,25.45,25.45,300,25.30
2014-01-28,25.48,25.48,25.48,25.48,000,25.33
2014-01-27,25.48,25.48,25.48,25.48,500,25.33
2014-01-24,25.70,25.70,25.70,25.70,200,25.55
2014-01-23,25.71,25.71,25.71,25.71,200,25.56
2014-01-22,25.60,25.71,25.49,25.71,600,25.56
2014-01-21,25.52,25.60,25.52,25.60,1700,25.45
2014-01-17,25.60,25.72,25.52,25.72,1200,25.57
2014-01-16,25.55,25.55,25.55,25.55,400,25.26
2014-01-15,25.56,25.56,25.55,25.56,1600,25.27
2014-01-14,25.72,25.72,25.72,25.72,000,25.42
2014-01-13,25.65,25.72,25.65,25.72,900,25.42
2014-01-10,25.55,25.55,25.55,25.55,000,25.26
2014-01-09,25.64,25.64,25.55,25.55,3000,25.26
2014-01-08,25.55,25.55,25.55,25.55,400,25.26
2014-01-07,25.55,25.66,25.55,25.55,4900,25.26
2014-01-06,25.51,25.51,25.51,25.51,1200,25.22
2014-01-03,25.50,25.57,25.48,25.57,5900,25.28
2014-01-02,25.53,25.63,25.42,25.58,6200,25.29
2013-12-31,25.50,25.60,25.50,25.60,1200,25.31
2013-12-30,25.60,25.60,25.50,25.60,3500,25.31
2013-12-27,25.49,25.49,25.48,25.49,1300,25.20
2013-12-26,25.50,25.58,25.49,25.49,1600,25.20
2013-12-24,25.65,25.65,25.36,25.50,1900,25.21
2013-12-23,25.60,25.68,25.30,25.68,1900,25.38
2013-12-20,25.58,25.58,25.50,25.50,1400,25.21
2013-12-19,25.31,25.31,25.31,25.31,800,25.02
2013-12-18,25.38,25.38,25.31,25.34,3300,25.05
2013-12-17,25.44,25.44,25.41,25.44,2900,25.15
2013-12-16,25.41,25.43,25.41,25.43,300,25.14
2013-12-13,25.40,25.40,25.40,25.40,600,25.11
2013-12-12,25.44,25.44,25.40,25.40,1300,25.11
2013-12-11,25.51,25.51,25.45,25.45,3200,25.01
2013-12-10,25.51,25.51,25.51,25.51,1700,25.07
2013-12-09,25.41,25.44,25.41,25.44,2300,25.00
2013-12-06,25.61,25.61,25.50,25.50,1400,25.06
2013-12-05,25.59,25.59,25.59,25.59,900,25.15
2013-12-04,25.45,25.60,25.45,25.60,3100,25.16
2013-12-03,25.38,25.59,25.38,25.59,1400,25.15
2013-12-02,25.36,25.59,25.36,25.58,900,25.14
2013-11-29,25.38,25.56,25.37,25.56,1600,25.12
2013-11-27,25.45,25.57,25.45,25.57,300,25.13
2013-11-26,25.45,25.57,25.45,25.56,5600,25.12
2013-11-25,25.45,25.55,25.45,25.45,1200,25.01
2013-11-22,25.30,25.70,25.30,25.60,1800,25.16
2013-11-21,25.47,25.74,25.47,25.74,400,25.30
2013-11-20,25.44,25.60,25.44,25.60,2700,25.16
2013-11-19,25.53,25.53,25.53,25.53,800,25.09
2013-11-18,25.36,25.80,25.36,25.60,5900,25.16
2013-11-15,25.45,25.46,25.45,25.46,400,25.02
2013-11-14,25.51,25.51,25.51,25.51,100,25.07
2013-11-13,25.51,25.51,25.51,25.51,900,25.07
2013-11-12,25.28,25.28,25.28,25.28,200,24.84
2013-11-11,25.44,25.55,25.44,25.55,1300,24.96
2013-11-08,25.65,25.65,25.36,25.37,3700,24.79
2013-11-07,25.65,25.65,25.65,25.65,600,25.06
2013-11-06,25.65,26.18,25.65,25.99,2900,25.39
2013-11-05,25.65,25.65,25.65,25.65,600,25.06
2013-11-04,25.68,25.68,25.65,25.65,1300,25.06
2013-11-01,25.80,25.80,25.67,25.67,1300,25.08
2013-10-31,25.80,25.80,25.80,25.80,000,25.21
2013-10-30,25.80,25.80,25.80,25.80,000,25.21
2013-10-29,25.80,25.80,25.80,25.80,100,25.21
2013-10-28,25.70,25.70,25.69,25.69,400,25.10
2013-10-25,25.69,25.90,25.66,25.90,1600,25.31
2013-10-24,25.70,25.70,25.66,25.66,400,25.07
2013-10-23,25.90,25.90,25.90,25.90,300,25.31
2013-10-22,25.89,25.89,25.66,25.89,800,25.30
2013-10-21,25.90,25.90,25.90,25.90,700,25.31
2013-10-18,26.20,26.20,25.64,25.64,700,25.05
2013-10-17,25.78,26.22,25.76,26.21,1400,25.46
2013-10-16,25.76,25.76,25.76,25.76,100,25.03
2013-10-15,25.75,25.75,25.60,25.60,700,24.87
2013-10-14,25.63,25.63,25.59,25.60,1000,24.87
2013-10-11,26.22,26.22,26.22,26.22,000,25.47
2013-10-10,25.99,26.24,25.80,26.22,900,25.47
2013-10-09,25.65,25.99,25.61,25.99,3500,25.25
2013-10-08,26.05,26.05,25.70,25.95,3500,25.21
2013-10-07,25.57,26.24,25.57,26.21,3800,25.46
2013-10-04,26.25,26.25,26.25,26.25,400,25.50
2013-10-03,25.90,26.25,25.90,26.25,1300,25.50
2013-10-02,25.90,25.90,25.90,25.90,1000,25.16
2013-10-01,25.97,26.28,25.97,26.03,9800,25.29
2013-09-30,25.93,25.98,25.75,25.98,800,25.24
2013-09-27,25.92,25.92,25.92,25.92,000,25.18
2013-09-26,26.05,26.05,25.90,25.92,700,25.18
2013-09-25,25.53,25.65,25.53,25.54,6500,24.81
2013-09-24,25.90,25.90,25.52,25.52,5500,24.79
2013-09-23,25.99,25.99,25.99,25.99,000,25.25
2013-09-20,25.99,25.99,25.99,25.99,000,25.25
2013-09-19,25.55,25.99,25.53,25.99,10800,25.25
2013-09-18,25.61,26.09,25.60,26.09,1900,25.35
2013-09-17,25.73,26.10,25.51,25.51,5600,24.78
2013-09-16,25.75,25.75,25.75,25.75,1600,25.02
2013-09-13,25.73,25.73,25.73,25.73,100,24.85
2013-09-12,25.69,25.69,25.62,25.62,2000,24.75
2013-09-11,25.74,25.75,25.54,25.55,5000,24.68
2013-09-10,25.59,25.59,25.51,25.53,3000,24.66
2013-09-09,25.46,25.46,25.46,25.46,800,24.59
2013-09-06,25.50,25.74,25.50,25.74,1500,24.86
