Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,73.92,73.92,73.92,73.92,700,73.92
2014-02-21,74.01,74.01,74.01,74.01,000,74.01
2014-02-20,74.01,74.01,74.01,74.01,300,74.01
2014-02-19,74.63,74.63,74.63,74.63,000,74.63
2014-02-18,74.63,74.63,74.63,74.63,000,74.63
2014-02-14,74.63,74.63,74.63,74.63,000,74.63
2014-02-13,74.63,74.63,74.63,74.63,300,74.63
2014-02-12,74.89,74.89,74.89,74.89,000,74.89
2014-02-11,74.89,74.89,74.89,74.89,200,74.89
2014-02-10,74.78,74.78,74.78,74.78,000,74.78
2014-02-07,74.78,74.78,74.78,74.78,000,74.78
2014-02-06,74.78,74.78,74.78,74.78,000,74.78
2014-02-05,74.78,74.78,74.78,74.78,000,74.78
2014-02-04,74.73,74.78,74.73,74.78,400,74.78
2014-02-03,73.98,73.98,73.98,73.98,000,73.98
2014-01-31,74.00,74.00,73.98,73.98,300,73.98
2014-01-30,74.02,74.02,74.02,74.02,000,74.02
2014-01-29,74.02,74.02,74.02,74.02,200,74.02
2014-01-28,74.49,74.49,74.49,74.49,000,74.49
2014-01-27,74.49,74.49,74.49,74.49,300,74.49
2014-01-24,74.85,74.85,74.85,74.85,000,74.60
2014-01-23,74.80,74.85,74.80,74.85,1300,74.60
2014-01-22,74.74,74.74,74.74,74.74,100,74.49
2014-01-21,74.50,74.50,74.50,74.50,000,74.25
2014-01-17,74.50,74.50,74.50,74.50,300,74.25
2014-01-16,74.67,74.67,74.67,74.67,000,74.42
2014-01-15,74.67,74.67,74.67,74.67,000,74.42
2014-01-14,74.67,74.67,74.67,74.67,200,74.42
2014-01-13,74.63,74.63,74.63,74.63,100,74.38
2014-01-10,74.37,74.37,74.37,74.37,000,74.12
2014-01-09,74.37,74.37,74.37,74.37,000,74.12
2014-01-08,74.37,74.37,74.37,74.37,000,74.12
2014-01-07,74.37,74.37,74.37,74.37,200,74.12
2014-01-06,74.15,74.15,74.15,74.15,000,73.90
2014-01-03,74.15,74.15,74.15,74.15,200,73.90
2014-01-02,74.16,74.18,74.16,74.18,300,73.93
2013-12-31,74.12,74.12,74.12,74.12,000,73.87
2013-12-30,74.12,74.12,74.12,74.12,300,73.87
2013-12-27,73.57,73.57,73.57,73.57,200,73.32
2013-12-26,74.58,74.58,74.58,74.58,000,74.33
2013-12-24,74.58,74.58,74.58,74.58,000,74.33
2013-12-23,74.58,74.58,74.58,74.58,000,73.89
2013-12-20,74.61,74.62,74.36,74.58,800,73.89
2013-12-19,74.68,74.68,74.68,74.68,300,73.99
2013-12-18,73.99,73.99,73.99,73.99,000,73.31
2013-12-17,73.99,73.99,73.99,73.99,100,73.31
2013-12-16,74.33,74.33,74.33,74.33,000,73.65
2013-12-13,74.68,74.68,74.33,74.33,1000,73.65
2013-12-12,73.80,74.00,73.80,73.91,1700,73.23
2013-12-11,73.85,73.85,73.85,73.85,000,73.17
2013-12-10,73.85,73.85,73.85,73.85,000,73.17
2013-12-09,73.85,73.85,73.85,73.85,300,73.17
2013-12-06,74.29,74.29,74.29,74.29,200,73.61
2013-12-05,74.06,74.06,74.06,74.06,000,73.38
2013-12-04,74.06,74.06,74.06,74.06,000,73.38
2013-12-03,74.06,74.06,74.06,74.06,400,73.38
2013-12-02,74.05,74.05,74.05,74.05,100,73.37
2013-11-29,74.52,74.52,74.52,74.52,300,73.83
2013-11-27,74.70,74.70,74.70,74.70,000,74.01
2013-11-26,74.70,74.70,74.70,74.70,1300,74.01
2013-11-25,74.41,74.41,74.41,74.41,000,73.72
2013-11-22,74.41,74.41,74.41,74.41,500,73.72
2013-11-21,74.45,74.45,74.45,74.45,000,73.57
2013-11-20,74.48,74.48,74.44,74.45,1200,73.57
2013-11-19,74.88,74.88,74.88,74.88,300,74.00
2013-11-18,74.08,74.08,74.08,74.08,000,73.21
2013-11-15,74.02,74.08,74.02,74.08,300,73.21
2013-11-14,74.47,74.47,73.86,73.86,1300,72.99
2013-11-13,74.50,74.50,74.50,74.50,000,73.62
2013-11-12,74.50,74.50,74.50,74.50,000,73.62
2013-11-11,74.50,74.50,74.50,74.50,000,73.62
2013-11-08,74.50,74.50,74.50,74.50,000,73.62
2013-11-07,74.50,74.50,74.50,74.50,000,73.62
2013-11-06,74.50,74.50,74.50,74.50,700,73.62
2013-11-05,74.75,74.75,74.75,74.75,000,73.87
2013-11-04,74.77,74.77,74.75,74.75,300,73.87
2013-11-01,74.60,74.60,74.60,74.60,000,73.72
2013-10-31,74.60,74.60,74.60,74.60,000,73.72
2013-10-30,74.60,74.60,74.60,74.60,000,73.72
2013-10-29,74.48,74.60,74.35,74.60,500,73.72
2013-10-28,74.50,74.60,74.36,74.40,11800,73.52
2013-10-25,74.27,74.27,74.27,74.27,000,73.39
2013-10-24,74.27,74.27,74.27,74.27,200,73.39
2013-10-23,74.55,74.55,74.55,74.55,000,73.67
2013-10-22,74.55,74.55,74.55,74.55,000,73.67
2013-10-21,74.55,74.55,74.55,74.55,100,73.67
2013-10-18,73.66,73.66,73.66,73.66,000,72.60
2013-10-17,73.68,73.72,73.66,73.66,2100,72.60
