Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,17.77,18.89,17.77,18.19,55500,18.19
2014-02-21,17.80,18.24,17.62,17.69,131600,17.69
2014-02-20,17.44,18.14,17.34,17.68,51700,17.68
2014-02-19,17.77,18.13,17.46,17.46,38100,17.46
2014-02-18,17.39,17.83,17.30,17.77,21300,17.77
2014-02-14,17.45,17.51,17.25,17.32,27300,17.32
2014-02-13,17.05,17.46,17.05,17.42,29900,17.42
2014-02-12,17.22,17.30,17.10,17.22,30100,17.22
2014-02-11,17.28,17.56,17.14,17.23,30900,17.23
2014-02-10,17.04,17.28,16.70,17.22,24800,17.22
2014-02-07,17.16,17.38,16.96,17.13,27400,17.13
2014-02-06,17.14,17.27,17.00,17.14,27400,17.14
2014-02-05,17.02,17.41,16.78,17.14,75200,17.14
2014-02-04,17.53,17.55,17.00,17.10,30300,17.10
2014-02-03,17.84,17.99,17.07,17.49,75100,17.49
2014-01-31,17.52,18.28,17.52,17.81,66100,17.81
2014-01-30,17.48,18.00,17.25,17.82,36900,17.82
2014-01-29,17.30,17.44,17.14,17.30,33100,17.30
2014-01-28,17.64,17.64,17.17,17.48,41600,17.48
2014-01-27,18.31,18.69,17.43,17.57,36700,17.57
2014-01-24,18.38,19.13,18.10,18.20,30400,18.20
2014-01-23,18.76,18.98,18.50,18.53,19600,18.53
2014-01-22,18.94,19.17,18.79,18.88,24700,18.88
2014-01-21,18.67,19.07,18.64,18.99,41800,18.99
2014-01-17,18.78,19.12,18.46,18.55,28700,18.55
2014-01-16,18.59,18.95,18.42,18.86,23200,18.86
2014-01-15,18.33,18.70,18.29,18.57,27600,18.57
2014-01-14,18.20,18.44,18.15,18.35,23200,18.35
2014-01-13,18.64,18.77,17.93,18.17,32500,18.17
2014-01-10,18.94,19.01,18.50,18.65,22200,18.65
2014-01-09,19.29,19.29,18.76,18.89,19400,18.89
2014-01-08,18.96,19.21,18.92,19.18,79400,19.18
2014-01-07,18.85,19.12,18.68,18.95,26400,18.95
2014-01-06,19.68,19.70,18.70,18.74,33500,18.74
2014-01-03,19.52,19.70,19.48,19.55,35700,19.55
2014-01-02,19.59,19.71,19.44,19.51,64200,19.51
2013-12-31,19.57,19.83,19.48,19.57,27100,19.57
2013-12-30,18.98,19.61,18.86,19.50,31800,19.50
2013-12-27,19.54,19.67,18.67,18.99,17800,18.99
2013-12-26,19.75,19.95,19.28,19.46,22500,19.46
2013-12-24,19.48,19.99,18.45,19.61,13500,19.61
2013-12-23,19.20,19.84,19.20,19.48,40000,19.48
