Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,6.30,6.48,6.30,6.40,7100,6.40
2014-02-21,6.40,6.40,6.40,6.40,600,6.40
2014-02-20,5.72,6.35,5.72,6.35,1300,6.35
2014-02-19,6.60,6.60,6.30,6.30,14500,6.30
2014-02-18,7.95,8.00,6.66,6.72,7300,6.72
2014-02-14,8.03,8.03,6.50,6.55,11600,6.55
2014-02-13,8.50,8.50,8.50,8.50,000,8.50
2014-02-12,8.50,8.50,8.50,8.50,000,8.50
2014-02-11,8.50,8.50,8.50,8.50,000,8.50
2014-02-10,8.50,8.50,8.50,8.50,000,8.50
2014-02-07,8.50,8.50,8.50,8.50,000,8.50
2014-02-06,8.50,8.50,8.50,8.50,400,8.50
2014-02-05,8.03,8.03,8.03,8.03,000,8.03
2014-02-04,8.03,8.03,8.03,8.03,000,8.03
2014-02-03,8.03,8.03,8.03,8.03,000,8.03
2014-01-31,8.03,8.03,8.03,8.03,000,8.03
2014-01-30,8.03,8.03,8.03,8.03,000,8.03
2014-01-29,8.03,8.03,8.03,8.03,000,8.03
2014-01-28,7.97,8.03,7.94,8.03,2600,8.03
2014-01-27,8.44,8.44,8.44,8.44,000,8.44
2014-01-24,8.44,8.44,8.44,8.44,000,8.44
2014-01-23,8.50,8.50,8.44,8.44,5100,8.44
2014-01-22,8.40,8.40,8.40,8.40,000,8.40
2014-01-21,8.40,8.40,8.40,8.40,000,8.40
2014-01-17,8.40,8.40,8.40,8.40,000,8.40
2014-01-16,8.40,8.40,8.40,8.40,000,8.40
2014-01-15,8.40,8.40,8.40,8.40,000,8.40
2014-01-14,8.40,8.40,8.40,8.40,000,8.40
2014-01-13,8.40,8.40,8.40,8.40,000,8.40
2014-01-10,8.25,9.00,8.25,8.40,12600,8.40
2014-01-09,9.49,9.49,9.49,9.49,000,9.49
2014-01-08,9.49,9.49,9.49,9.49,000,9.49
2014-01-07,9.49,9.49,9.49,9.49,000,9.49
2014-01-06,9.49,9.49,9.49,9.49,000,9.49
2014-01-03,9.49,9.49,9.49,9.49,000,9.49
2014-01-02,9.49,9.49,9.49,9.49,15500,9.49
2013-12-31,8.50,8.71,8.48,8.66,8200,8.66
2013-12-30,8.25,8.25,8.25,8.25,300,8.25
2013-12-27,8.50,8.50,8.50,8.50,4500,8.50
2013-12-26,8.20,8.20,8.20,8.20,200,8.20
2013-12-24,8.20,8.20,8.10,8.10,400,8.10
2013-12-23,8.75,8.75,8.75,8.75,000,8.75
2013-12-20,8.75,8.75,8.75,8.75,000,8.75
2013-12-19,8.75,8.75,8.75,8.75,000,8.75
2013-12-18,8.40,8.75,8.20,8.75,7700,8.75
2013-12-17,8.50,8.50,8.50,8.50,3000,8.50
2013-12-16,8.50,8.50,8.50,8.50,1000,8.50
2013-12-13,7.46,8.50,7.46,8.50,300,8.50
2013-12-12,8.75,8.75,8.75,8.75,000,8.75
2013-12-11,8.75,8.75,8.75,8.75,700,8.75
2013-12-10,8.50,8.50,8.50,8.50,000,8.24
2013-12-09,8.50,8.50,8.50,8.50,000,8.24
2013-12-06,7.87,8.50,7.87,8.50,4100,8.24
2013-12-05,8.50,8.50,8.50,8.50,000,8.24
2013-12-04,8.50,8.50,8.50,8.50,000,8.24
2013-12-03,8.50,8.50,8.50,8.50,000,8.24
2013-12-02,8.50,8.50,8.50,8.50,000,8.24
2013-11-29,8.50,8.50,8.50,8.50,000,8.24
2013-11-27,8.47,8.50,8.47,8.50,3300,8.24
2013-11-26,8.10,8.10,7.75,7.75,2800,7.52
2013-11-25,8.00,8.00,8.00,8.00,000,7.76
2013-11-22,8.00,8.00,8.00,8.00,000,7.76
2013-11-21,7.97,8.00,7.97,8.00,1400,7.76
2013-11-20,8.00,8.00,8.00,8.00,000,7.76
2013-11-19,7.20,8.03,7.20,8.00,3100,7.76
2013-11-18,7.20,8.00,6.98,7.00,5500,6.79
2013-11-15,7.01,7.01,7.01,7.01,000,6.80
2013-11-14,7.01,7.01,7.01,7.01,000,6.80
2013-11-13,7.01,7.01,7.01,7.01,000,6.80
2013-11-12,7.01,7.01,7.01,7.01,000,6.80
2013-11-11,7.01,7.01,7.01,7.01,000,6.80
2013-11-08,7.01,7.01,7.01,7.01,000,6.80
2013-11-07,7.01,7.01,7.01,7.01,000,6.80
2013-11-06,7.01,7.01,7.01,7.01,000,6.80
2013-11-05,7.01,7.01,7.01,7.01,000,6.80
2013-11-04,7.01,7.01,7.01,7.01,000,6.80
2013-11-01,7.01,7.01,7.01,7.01,000,6.80
2013-10-31,7.01,7.01,7.01,7.01,000,6.80
2013-10-30,7.01,7.01,7.01,7.01,000,6.80
2013-10-29,7.01,7.01,7.01,7.01,000,6.80
2013-10-28,7.01,7.01,7.01,7.01,000,6.80
2013-10-25,7.00,7.01,7.00,7.01,1200,6.80
2013-10-24,6.90,6.90,6.90,6.90,000,6.69
2013-10-23,6.67,6.90,6.67,6.90,300,6.69
2013-10-22,7.50,7.50,7.50,7.50,000,7.27
2013-10-21,7.50,7.50,7.50,7.50,000,7.27
2013-10-18,7.49,7.50,7.49,7.50,1500,7.27
2013-10-17,6.69,6.69,6.69,6.69,000,6.49
2013-10-16,6.69,6.69,6.69,6.69,2000,6.49
2013-10-15,7.25,7.25,7.25,7.25,000,7.03
2013-10-14,7.25,7.25,7.25,7.25,000,7.03
2013-10-11,7.25,7.25,7.25,7.25,000,7.03
2013-10-10,7.25,7.25,7.25,7.25,000,7.03
2013-10-09,7.25,7.25,7.25,7.25,000,7.03
2013-10-08,7.25,7.25,7.25,7.25,000,7.03
2013-10-07,7.25,7.25,7.25,7.25,000,7.03
2013-10-04,7.25,7.25,7.25,7.25,000,7.03
2013-10-03,7.25,7.25,7.25,7.25,000,7.03
2013-10-02,7.25,7.25,7.25,7.25,000,7.03
2013-10-01,7.25,7.25,7.25,7.25,000,7.03
2013-09-30,7.25,7.25,7.25,7.25,000,7.03
2013-09-27,7.25,7.25,7.25,7.25,000,7.03
2013-09-26,7.25,7.25,7.25,7.25,000,7.03
2013-09-25,7.25,7.25,7.25,7.25,000,7.03
2013-09-24,7.25,7.25,7.25,7.25,000,7.03
2013-09-23,7.25,7.25,7.25,7.25,000,7.03
2013-09-20,7.25,7.25,7.25,7.25,000,7.03
2013-09-19,7.22,7.25,7.22,7.25,2500,7.03
2013-09-18,7.36,7.36,7.36,7.36,000,7.14
2013-09-17,7.36,7.36,7.36,7.36,000,7.14
2013-09-16,7.36,7.36,7.36,7.36,1100,7.14
2013-09-13,7.80,7.80,7.80,7.80,000,7.33
2013-09-12,7.80,7.80,7.80,7.80,000,7.33
2013-09-11,7.80,7.80,7.80,7.80,000,7.33
2013-09-10,7.80,7.80,7.80,7.80,000,7.33
2013-09-09,7.80,7.80,7.80,7.80,000,7.33
2013-09-06,7.80,7.80,7.80,7.80,000,7.33
2013-09-05,7.80,7.80,7.80,7.80,000,7.33
2013-09-04,7.80,7.80,7.80,7.80,000,7.33
2013-09-03,7.80,7.80,7.80,7.80,000,7.33
2013-08-30,7.80,7.80,7.80,7.80,000,7.33
2013-08-29,7.80,7.80,7.80,7.80,1000,7.33
2013-08-28,7.50,7.50,7.50,7.50,000,7.05
2013-08-27,7.50,7.50,7.50,7.50,000,7.05
