Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,29.72,29.98,29.32,29.54,156100,29.54
2014-02-21,29.71,30.21,29.46,29.59,136500,29.59
2014-02-20,29.56,29.97,29.09,29.77,453500,29.77
2014-02-19,31.22,31.28,30.50,30.57,93300,30.57
2014-02-18,31.45,31.45,31.03,31.20,96800,31.20
2014-02-14,31.31,31.59,31.29,31.46,151600,31.46
2014-02-13,30.92,31.70,30.92,31.46,159700,31.46
2014-02-12,31.00,31.21,30.54,31.07,199000,31.07
2014-02-11,30.40,31.03,30.40,30.82,418500,30.82
2014-02-10,30.24,30.44,30.10,30.40,219700,30.40
2014-02-07,29.95,30.40,29.63,30.10,196200,30.10
2014-02-06,29.68,30.23,29.58,29.99,135100,29.99
2014-02-05,29.60,29.75,29.11,29.55,142000,29.55
2014-02-04,29.51,30.07,29.33,29.67,178600,29.67
2014-02-03,30.59,30.76,29.81,30.08,174800,29.56
2014-01-31,30.53,30.85,30.37,30.45,474900,29.92
2014-01-30,30.79,31.35,30.26,30.91,277400,30.37
2014-01-29,30.96,30.96,30.44,30.80,353300,30.26
2014-01-28,30.61,31.32,30.39,31.05,230400,30.51
2014-01-27,30.50,30.72,30.01,30.49,222400,29.96
2014-01-24,31.10,31.20,29.95,30.59,275000,30.06
2014-01-23,31.47,31.48,31.00,31.10,230200,30.56
2014-01-22,31.11,31.68,30.93,31.38,211500,30.83
2014-01-21,31.00,31.26,30.87,31.07,219600,30.53
2014-01-17,30.70,30.99,30.49,30.97,293900,30.43
2014-01-16,30.11,30.73,30.11,30.49,222000,29.96
2014-01-15,30.22,30.44,29.79,30.30,259200,29.77
2014-01-14,30.40,30.40,29.65,30.00,268500,29.48
2014-01-13,30.10,30.45,29.86,30.41,237100,29.88
2014-01-10,29.93,30.14,29.51,30.09,273600,29.57
2014-01-09,30.00,30.14,29.68,30.12,235500,29.60
2014-01-08,30.10,30.30,29.62,30.07,200000,29.55
2014-01-07,30.77,30.77,29.61,29.95,298400,29.43
2014-01-06,30.30,30.54,29.72,30.04,177600,29.52
2014-01-03,30.36,30.58,30.05,30.25,155800,29.72
2014-01-02,30.42,30.47,29.60,30.04,153200,29.52
2013-12-31,30.45,30.50,30.13,30.25,171100,29.72
2013-12-30,30.22,30.80,30.10,30.50,336900,29.97
2013-12-27,30.20,30.57,29.91,30.56,293700,30.03
2013-12-26,29.80,30.27,29.77,30.11,416200,29.59
2013-12-24,29.85,29.87,29.55,29.84,159900,29.32
2013-12-23,29.61,29.84,29.18,29.78,414800,29.26
2013-12-20,28.70,29.61,28.70,29.61,670000,29.10
2013-12-19,28.98,29.15,28.57,28.84,205400,28.34
2013-12-18,28.81,29.07,28.35,29.05,214200,28.54
2013-12-17,28.79,28.85,28.36,28.62,180000,28.12
2013-12-16,28.50,28.70,28.31,28.67,448000,28.17
2013-12-13,28.53,28.86,28.06,28.32,715300,27.83
2013-12-12,28.07,28.75,27.55,28.65,546000,28.15
2013-12-11,28.83,28.86,27.55,28.21,756100,27.72
2013-12-10,28.59,28.90,28.50,28.76,578800,28.26
2013-12-09,29.25,29.25,28.82,28.93,654500,28.43
2013-12-06,29.04,29.27,28.80,29.02,3015500,28.52
2013-12-05,30.97,31.23,30.75,30.94,36900,30.40
2013-12-04,31.63,31.81,30.81,30.93,49200,30.39
2013-12-03,31.60,31.84,31.44,31.79,92500,31.24
2013-12-02,31.97,31.97,31.56,31.74,79300,31.19
2013-11-29,31.41,31.98,31.27,31.98,16800,31.42
2013-11-27,31.96,31.96,30.44,31.37,72800,30.82
2013-11-26,31.45,31.93,31.31,31.58,45300,31.03
2013-11-25,31.68,31.68,31.04,31.47,49000,30.92
2013-11-22,31.01,31.96,30.57,31.65,58900,31.10
2013-11-21,30.79,31.28,30.27,31.23,53300,30.69
2013-11-20,31.18,31.24,30.64,30.69,30800,30.16
2013-11-19,31.00,31.20,30.84,31.04,41400,30.50
2013-11-18,31.61,31.64,30.72,30.93,61100,30.39
2013-11-15,30.94,31.36,30.79,31.35,77700,30.80
2013-11-14,30.43,31.19,30.32,30.76,58000,30.23
2013-11-13,30.38,30.76,30.37,30.50,79800,29.97
2013-11-12,31.11,31.49,30.31,30.56,64900,30.03
2013-11-11,31.45,31.70,30.98,31.27,43400,30.73
2013-11-08,31.39,31.45,30.80,31.32,58900,30.78
2013-11-07,31.41,31.55,30.75,31.24,64400,30.70
2013-11-06,31.05,31.75,31.02,31.26,42200,30.72
2013-11-05,31.81,31.99,31.09,31.14,68000,30.60
2013-11-04,31.28,32.23,29.86,31.77,84800,31.22
2013-11-01,31.00,31.66,31.00,31.51,104700,30.96
2013-10-31,31.28,31.44,30.94,30.94,41000,30.40
2013-10-30,31.60,31.77,31.29,31.38,65700,30.32
2013-10-29,31.56,32.10,31.52,31.60,55800,30.53
2013-10-28,31.90,31.90,31.37,31.65,59200,30.58
2013-10-25,31.99,32.23,31.26,31.82,61500,30.75
2013-10-24,31.66,31.94,31.66,31.84,37100,30.77
2013-10-23,31.62,32.05,31.40,31.55,73600,30.49
2013-10-22,31.93,32.09,31.52,31.64,67300,30.57
2013-10-21,31.74,31.85,31.53,31.85,44800,30.78
2013-10-18,31.99,32.35,31.45,31.85,267300,30.78
2013-10-17,31.36,31.63,31.23,31.42,77900,30.36
2013-10-16,31.35,31.60,31.17,31.23,49600,30.18
2013-10-15,31.50,31.95,31.08,31.16,52800,30.11
2013-10-14,31.66,31.82,31.26,31.53,47700,30.47
2013-10-11,31.88,32.33,31.23,32.04,103300,30.96
2013-10-10,31.47,32.28,31.47,31.78,55500,30.71
2013-10-09,32.19,32.22,30.80,31.27,82900,30.22
2013-10-08,32.10,32.58,31.90,31.90,44500,30.82
2013-10-07,32.00,33.12,31.81,32.25,42600,31.16
2013-10-04,32.44,32.78,32.14,32.36,35700,31.27
2013-10-03,32.38,32.95,32.12,32.54,54600,31.44
2013-10-02,32.54,32.76,32.09,32.15,45300,31.07
2013-10-01,32.37,33.22,32.34,32.62,67600,31.52
2013-09-30,32.78,33.05,32.33,32.50,50500,31.40
2013-09-27,33.10,33.31,32.51,32.78,28000,31.67
2013-09-26,33.50,33.60,33.07,33.15,90600,32.03
2013-09-25,33.54,33.72,33.20,33.56,28700,32.43
2013-09-24,33.08,33.75,33.01,33.40,24400,32.27
2013-09-23,33.80,33.80,32.87,33.19,23100,32.07
2013-09-20,33.66,33.88,32.90,33.59,58900,32.46
2013-09-19,34.00,34.11,32.69,33.55,33400,32.42
2013-09-18,33.70,33.92,32.89,33.48,51900,32.35
2013-09-17,34.15,34.43,33.43,33.54,88700,32.41
2013-09-16,33.97,34.10,33.60,33.96,56200,32.81
2013-09-13,34.25,34.62,33.61,33.92,225900,32.78
2013-09-12,33.98,34.25,33.90,34.13,81300,32.98
2013-09-11,33.28,34.25,33.28,33.85,88800,32.71
2013-09-10,32.89,33.58,32.50,33.44,66400,32.31
2013-09-09,31.93,32.96,31.79,32.74,432400,31.64
2013-09-06,32.39,32.39,31.55,31.63,75300,30.56
2013-09-05,31.56,32.42,31.56,32.23,17300,31.14
2013-09-04,31.58,32.42,31.26,31.61,47000,30.54
2013-09-03,32.78,32.78,31.51,31.66,42800,30.59
2013-08-30,32.65,33.15,32.41,32.50,78900,31.40
2013-08-29,32.80,33.15,32.51,32.51,43200,31.41
2013-08-28,32.79,33.04,32.45,32.81,36800,31.70
2013-08-27,32.67,32.92,32.62,32.65,57100,31.55
2013-08-26,32.72,32.91,32.56,32.71,66700,31.61
2013-08-23,32.69,33.00,32.35,32.71,55600,31.61
2013-08-22,32.10,32.82,32.10,32.68,44100,31.58
2013-08-21,32.25,32.70,32.00,32.10,56600,31.02
2013-08-20,31.98,32.64,31.90,32.40,47400,31.31
2013-08-19,32.14,32.30,31.80,31.90,70300,30.82
2013-08-16,32.30,32.60,31.95,32.01,36700,30.93
2013-08-15,32.32,32.61,31.83,32.17,50400,31.08
2013-08-14,32.24,32.73,31.61,32.11,44500,31.03
2013-08-13,32.02,32.38,31.76,32.08,31700,31.00
2013-08-12,31.70,32.13,31.70,31.86,115900,30.79
2013-08-09,31.80,32.24,31.62,31.62,44900,30.55
2013-08-08,31.90,32.25,31.60,31.72,47700,30.65
2013-08-07,31.96,32.30,31.60,31.84,99000,30.77
2013-08-06,31.16,32.28,31.02,32.09,111600,31.01
2013-08-05,31.37,31.37,30.80,31.05,244700,30.00
2013-08-02,31.27,32.39,30.75,31.04,99200,29.99
2013-08-01,31.80,31.82,31.17,31.46,159900,30.40
2013-07-31,32.38,33.11,31.71,32.13,183700,30.55
2013-07-30,32.58,32.59,32.21,32.37,32600,30.78
2013-07-29,32.57,32.79,32.31,32.50,60800,30.90
2013-07-26,32.27,32.74,32.10,32.21,62100,30.62
2013-07-25,32.59,32.65,32.05,32.20,60300,30.62
2013-07-24,32.99,32.99,32.10,32.25,68700,30.66
2013-07-23,32.80,33.04,32.22,32.74,98000,31.13
2013-07-22,32.68,33.22,32.29,32.49,145200,30.89
2013-07-19,33.27,33.48,32.60,32.75,57200,31.14
2013-07-18,33.91,33.92,32.66,32.78,85800,31.17
2013-07-17,34.10,34.15,33.25,33.25,99200,31.61
2013-07-16,34.52,34.52,33.72,33.86,76000,32.19
2013-07-15,34.19,34.42,34.00,34.15,38800,32.47
