Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,12.26,12.84,12.00,12.54,79700,12.54
2014-02-21,12.19,12.20,11.91,12.05,47400,12.05
2014-02-20,11.89,12.25,11.89,12.10,30900,12.10
2014-02-19,12.49,12.49,11.82,12.10,31200,12.10
2014-02-18,11.52,12.33,11.52,11.99,46200,11.99
2014-02-14,11.48,11.60,11.30,11.49,13000,11.49
2014-02-13,11.68,11.79,11.25,11.59,53600,11.59
2014-02-12,11.90,12.39,11.34,11.77,119800,11.77
2014-02-11,11.16,11.39,11.15,11.39,37900,11.39
2014-02-10,11.00,11.44,11.00,11.39,54400,11.39
2014-02-07,11.00,11.26,10.90,11.04,86500,11.04
2014-02-06,11.01,11.40,11.00,11.00,180100,11.00
2014-02-05,11.70,11.75,11.00,11.00,2106500,11.00
