Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,74.63,74.63,73.05,73.48,159800,73.48
2014-02-21,74.31,74.31,73.53,73.90,14400,73.90
2014-02-20,73.81,75.37,73.81,74.06,311600,74.06
2014-02-19,73.18,74.53,72.98,74.03,276100,74.03
2014-02-18,74.04,74.33,73.41,74.07,775700,74.07
2014-02-14,74.60,75.16,74.02,74.25,396100,74.25
2014-02-13,68.39,75.61,68.39,74.68,449200,74.68
2014-02-12,66.45,68.50,66.45,67.36,722200,67.36
2014-02-11,65.99,67.18,65.82,66.93,156000,66.93
2014-02-10,65.33,65.79,64.97,65.36,251700,65.36
2014-02-07,64.91,65.61,64.46,65.60,306000,65.60
2014-02-06,64.13,65.65,64.10,64.87,26800,64.87
2014-02-05,63.17,63.84,62.48,63.84,260500,63.84
2014-02-04,63.10,63.83,63.10,63.83,58900,63.83
2014-02-03,64.95,64.95,62.93,62.95,146900,62.95
2014-01-31,64.70,66.24,64.29,65.65,174800,65.65
2014-01-30,65.03,65.61,65.03,65.43,3400,65.43
2014-01-29,64.41,64.58,64.02,64.23,153900,64.23
2014-01-28,64.40,65.65,64.40,64.82,203600,64.82
2014-01-27,63.71,64.83,62.72,64.29,69000,64.29
2014-01-24,64.86,64.86,63.95,63.95,205400,63.95
2014-01-23,67.63,67.63,65.97,66.20,4200,66.20
2014-01-22,66.90,67.81,66.77,67.81,3400,67.81
2014-01-21,68.08,68.69,67.08,67.08,266400,67.08
2014-01-17,68.88,68.88,67.81,67.81,141100,67.81
2014-01-16,69.30,69.30,69.03,69.18,46200,69.18
2014-01-15,70.06,70.12,69.74,69.80,7700,69.80
2014-01-14,70.27,70.96,69.94,70.38,7500,70.38
2014-01-13,72.64,72.64,69.98,70.12,182800,70.12
2014-01-10,70.77,72.68,70.34,71.99,272300,71.99
2014-01-09,68.50,71.51,68.50,69.97,214300,69.97
2014-01-08,66.47,68.64,66.47,68.62,347800,68.62
2014-01-07,66.40,67.87,66.24,66.73,172700,66.73
2014-01-06,65.51,66.35,65.02,66.35,43300,66.35
2014-01-03,65.56,65.56,65.22,65.22,1000,65.22
2014-01-02,66.64,66.64,65.47,65.72,54900,65.72
2013-12-31,66.25,66.85,66.09,66.85,13300,66.85
2013-12-30,64.95,65.92,64.48,65.68,20100,65.68
2013-12-27,64.41,65.64,64.41,65.64,6000,65.64
2013-12-26,66.46,66.46,65.33,65.35,3500,65.35
2013-12-24,64.96,66.15,64.96,65.60,3800,65.60
2013-12-23,64.36,65.09,63.80,65.08,51000,65.08
2013-12-20,63.35,64.12,62.83,64.12,7300,64.12
2013-12-19,62.67,63.65,62.66,63.65,85400,63.65
2013-12-18,63.77,63.77,62.20,63.12,7200,63.12
2013-12-17,63.71,63.95,63.34,63.62,34000,63.62
2013-12-16,63.72,64.16,63.40,63.49,25500,63.49
2013-12-13,63.44,63.48,62.33,63.48,6100,63.48
2013-12-12,62.15,62.90,62.04,62.80,84400,62.80
2013-12-11,62.79,62.98,61.68,61.96,102000,61.96
2013-12-10,63.86,64.22,63.40,63.40,347300,62.67
2013-12-09,62.99,64.49,62.94,63.54,317800,62.80
2013-12-06,62.80,63.51,62.74,63.35,124700,62.62
2013-12-05,61.30,62.37,61.08,62.37,145000,61.65
2013-12-04,61.26,61.36,60.21,60.76,33300,60.06
2013-12-03,62.77,62.83,60.80,61.01,45000,60.30
