Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,33.75,34.40,33.35,34.10,512800,34.10
2014-02-21,33.79,33.94,33.37,33.68,832800,33.68
2014-02-20,33.84,34.07,33.23,33.61,930900,33.61
2014-02-19,34.51,34.75,33.63,33.70,724000,33.70
2014-02-18,34.95,35.59,34.48,34.56,573500,34.56
2014-02-14,34.58,34.88,34.48,34.88,257400,34.88
2014-02-13,34.11,34.69,33.94,34.60,334200,34.60
2014-02-12,34.52,35.00,34.11,34.32,241000,34.32
2014-02-11,33.92,34.66,33.64,34.42,267600,34.42
2014-02-10,33.81,34.01,33.49,33.94,413200,33.94
2014-02-07,33.95,34.31,33.51,33.81,369600,33.81
2014-02-06,33.89,33.99,33.60,33.85,273800,33.85
2014-02-05,33.61,34.00,33.43,33.85,620500,33.85
2014-02-04,33.06,33.81,32.66,33.75,984100,33.75
2014-02-03,34.59,34.63,32.81,32.96,1456100,32.96
2014-01-31,34.79,35.14,34.55,34.60,516200,34.60
2014-01-30,35.31,35.71,34.98,35.39,417400,35.39
2014-01-29,35.19,35.74,35.10,35.10,681500,35.10
2014-01-28,35.46,35.57,34.97,35.46,579100,35.46
2014-01-27,35.98,36.09,35.16,35.32,441600,35.32
2014-01-24,34.60,36.06,33.50,35.78,888100,35.78
2014-01-23,36.88,36.88,36.23,36.42,731600,36.42
2014-01-22,37.28,37.42,36.77,37.09,367600,37.09
2014-01-21,36.79,37.37,36.44,37.15,349900,37.15
2014-01-17,36.44,36.73,36.42,36.51,366300,36.51
2014-01-16,36.67,36.81,36.29,36.44,411500,36.44
2014-01-15,36.49,36.87,36.17,36.65,339000,36.65
2014-01-14,36.35,36.46,36.05,36.29,315400,36.29
2014-01-13,36.53,36.72,35.83,36.09,379100,36.09
2014-01-10,36.96,36.96,36.39,36.53,452300,36.53
2014-01-09,36.65,37.20,36.65,36.94,405300,36.94
2014-01-08,36.12,36.88,35.94,36.64,855500,36.64
2014-01-07,35.96,36.50,35.63,36.07,518700,36.07
2014-01-06,36.16,36.59,35.72,35.73,459800,35.73
2014-01-03,36.20,36.48,36.00,36.15,327100,36.15
2014-01-02,36.65,36.66,35.98,36.21,563200,36.21
2013-12-31,36.63,36.93,36.55,36.68,355900,36.68
2013-12-30,36.59,36.71,36.46,36.56,291900,36.56
2013-12-27,36.87,37.05,36.66,36.68,293500,36.68
2013-12-26,36.87,37.12,36.69,36.72,506100,36.72
2013-12-24,36.63,36.94,36.46,36.75,176200,36.75
2013-12-23,36.18,36.76,36.02,36.69,474000,36.69
2013-12-20,35.67,36.27,35.46,36.08,1185700,36.08
2013-12-19,35.68,35.79,35.41,35.50,456600,35.50
2013-12-18,35.27,35.82,34.87,35.80,421800,35.80
2013-12-17,35.41,35.43,34.97,35.14,502100,35.14
2013-12-16,35.03,35.65,34.84,35.41,540100,35.41
2013-12-13,34.76,35.02,34.27,34.82,638200,34.82
2013-12-12,34.66,35.04,34.26,34.66,717300,34.66
2013-12-11,34.65,34.82,34.02,34.14,533300,34.14
2013-12-10,34.91,35.15,34.50,34.53,371900,34.53
2013-12-09,35.10,35.49,34.81,35.06,329600,35.06
2013-12-06,34.89,35.40,34.89,35.09,274000,35.09
2013-12-05,34.32,34.63,34.08,34.51,360900,34.51
2013-12-04,34.29,34.74,34.27,34.41,268400,34.41
2013-12-03,34.69,35.11,34.09,34.37,577300,34.37
2013-12-02,35.13,35.45,34.82,35.00,407400,34.76
2013-11-29,35.50,35.58,35.06,35.20,164300,34.96
2013-11-27,35.31,35.50,35.12,35.36,380100,35.12
2013-11-26,35.06,35.32,34.75,35.22,502900,34.98
2013-11-25,34.40,35.09,34.40,35.09,485400,34.85
2013-11-22,34.00,34.65,33.69,34.40,509200,34.16
2013-11-21,33.48,34.00,33.48,34.00,458200,33.77
2013-11-20,33.39,33.59,32.99,33.40,341900,33.17
2013-11-19,33.12,33.42,32.82,33.29,315500,33.06
2013-11-18,33.28,33.66,33.06,33.15,301200,32.92
2013-11-15,33.40,33.48,32.89,33.20,349900,32.97
2013-11-14,33.49,33.60,33.30,33.45,208800,33.22
2013-11-13,33.29,33.70,33.00,33.51,288500,33.28
2013-11-12,33.65,33.70,33.19,33.41,170500,33.18
2013-11-11,33.94,33.94,33.50,33.66,155200,33.43
2013-11-08,32.68,34.00,32.68,33.99,322100,33.76
2013-11-07,33.42,33.60,32.67,32.71,431900,32.49
2013-11-06,33.20,33.36,32.87,33.33,530300,33.10
2013-11-05,32.63,32.88,32.43,32.65,215400,32.43
2013-11-04,32.94,33.12,32.58,32.84,438300,32.61
2013-11-01,32.68,32.89,32.31,32.77,469100,32.55
2013-10-31,33.10,33.30,32.76,32.78,357600,32.56
2013-10-30,33.13,33.42,33.01,33.18,245300,32.95
2013-10-29,33.33,33.47,32.76,33.04,403600,32.81
2013-10-28,33.03,33.34,32.58,33.16,354400,32.93
2013-10-25,33.19,33.19,32.12,33.03,521300,32.80
2013-10-24,33.00,33.00,32.41,32.58,416900,32.36
2013-10-23,32.91,33.02,32.61,32.85,321100,32.62
2013-10-22,30.30,33.14,30.09,33.01,395700,32.78
2013-10-21,32.75,32.98,32.60,32.90,313200,32.67
2013-10-18,32.67,33.01,32.35,32.82,434900,32.59
2013-10-17,32.25,32.48,32.13,32.44,311600,32.22
2013-10-16,32.13,32.68,32.13,32.37,352100,32.15
2013-10-15,32.05,32.29,31.82,32.03,515100,31.81
2013-10-14,31.89,32.23,31.87,32.21,374800,31.99
2013-10-11,31.06,32.10,31.00,32.09,451100,31.87
