Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.05,10.05,10.05,10.05,100,10.05
2014-02-21,10.03,10.03,10.03,10.03,000,10.03
2014-02-20,10.03,10.03,10.03,10.03,1300,10.03
2014-02-19,10.01,10.06,10.01,10.06,50100,10.06
2014-02-18,10.05,10.06,10.05,10.06,11200,10.06
2014-02-14,10.06,10.06,10.06,10.06,000,10.06
2014-02-13,10.05,10.06,10.05,10.06,1300,10.06
2014-02-12,10.05,10.05,10.05,10.05,000,10.05
2014-02-11,10.05,10.05,10.05,10.05,000,10.05
2014-02-10,10.05,10.05,10.03,10.05,16300,10.05
2014-02-07,10.03,10.05,10.00,10.05,7600,10.05
2014-02-06,10.06,10.06,10.06,10.06,500,10.06
2014-02-05,10.00,10.00,10.00,10.00,100,10.00
2014-02-04,10.00,10.00,10.00,10.00,18200,10.00
2014-02-03,10.06,10.06,10.02,10.04,15500,10.04
2014-01-31,10.06,10.06,10.01,10.03,144000,10.03
2014-01-30,10.05,10.11,10.04,10.05,154900,10.05
2014-01-29,10.05,10.05,10.01,10.02,58600,10.02
2014-01-28,10.02,10.02,10.02,10.02,1100,10.02
2014-01-27,10.01,10.04,9.97,10.01,50700,10.01
2014-01-24,10.05,10.05,10.02,10.02,34100,10.02
2014-01-23,10.04,10.09,10.02,10.02,173000,10.02
2014-01-22,10.01,10.05,10.01,10.01,3100,10.01
2014-01-21,10.03,10.05,10.00,10.01,417700,10.01
2014-01-17,10.00,10.03,10.00,10.02,923200,10.02
