Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,48.34,48.34,48.34,48.34,100,48.34
2014-02-21,46.61,47.36,46.32,47.36,300,47.36
2014-02-20,42.24,46.99,41.91,46.99,5100,46.99
2014-02-19,43.91,43.91,42.78,42.86,2500,42.86
2014-02-18,43.95,43.95,43.95,43.95,000,43.95
2014-02-14,43.95,43.95,43.95,43.95,000,43.95
2014-02-13,42.27,43.95,42.27,43.95,600,43.95
2014-02-12,42.85,42.85,42.85,42.85,100,42.85
2014-02-11,41.02,42.09,41.00,42.09,1000,42.09
2014-02-10,41.29,41.29,41.29,41.29,000,41.29
2014-02-07,41.29,41.29,41.29,41.29,100,41.29
2014-02-06,39.74,39.74,39.74,39.74,000,39.74
2014-02-05,40.26,40.26,39.74,39.74,400,39.74
2014-02-04,40.41,40.41,40.41,40.41,000,40.41
2014-02-03,43.95,43.95,39.86,40.41,2900,40.41
2014-01-31,42.97,42.97,42.92,42.92,600,42.92
2014-01-30,44.92,44.92,44.92,44.92,000,44.92
2014-01-29,46.25,46.25,44.92,44.92,400,44.86
2014-01-28,45.74,45.74,45.50,45.50,300,45.44
2014-01-27,43.84,46.08,43.84,46.08,400,46.02
2014-01-24,45.35,46.20,45.35,46.05,1600,45.99
2014-01-23,52.14,52.14,52.14,52.14,000,52.07
2014-01-22,51.46,52.14,51.46,52.14,700,52.07
2014-01-21,51.32,51.32,50.45,50.54,300,50.47
2014-01-17,51.15,51.70,49.98,49.98,900,49.92
2014-01-16,50.59,50.59,50.59,50.59,100,50.52
2014-01-15,50.09,50.65,50.09,50.65,400,50.58
2014-01-14,49.09,50.76,48.59,50.61,500,50.54
2014-01-13,50.60,50.60,48.34,48.34,600,48.28
2014-01-10,51.66,51.66,51.66,51.66,000,51.59
2014-01-09,51.66,51.66,51.66,51.66,000,51.59
2014-01-08,50.57,51.66,50.57,51.66,300,51.59
2014-01-07,51.01,51.63,51.01,51.26,500,51.19
2014-01-06,49.94,50.14,49.92,50.12,1000,50.06
2014-01-03,52.50,52.50,52.40,52.40,200,52.33
2014-01-02,53.80,53.80,51.59,52.09,900,52.02
2013-12-31,52.46,53.60,51.77,53.55,1700,53.48
2013-12-30,52.49,52.55,52.49,52.55,300,52.48
2013-12-27,51.72,52.69,51.41,52.67,2400,52.60
2013-12-26,51.79,52.15,51.19,51.80,800,51.73
2013-12-24,51.70,52.21,51.56,51.95,1600,51.88
2013-12-23,46.20,46.20,46.20,46.20,000,46.14
2013-12-20,46.20,46.20,46.20,46.20,000,46.14
2013-12-19,46.20,46.20,46.20,46.20,000,46.14
2013-12-18,46.20,46.20,46.20,46.20,000,46.14
2013-12-17,46.20,46.20,46.20,46.20,000,46.14
2013-12-16,46.56,46.56,45.13,46.20,1200,46.14
2013-12-13,48.81,48.81,48.81,48.81,000,48.75
2013-12-12,48.81,48.81,48.81,48.81,000,48.75
2013-12-11,48.81,48.81,48.81,48.81,000,48.75
2013-12-10,48.81,48.81,48.81,48.81,000,48.75
2013-12-09,48.15,48.86,47.32,48.81,1400,48.75
2013-12-06,48.18,48.53,47.83,48.08,500,48.02
2013-12-05,48.14,48.14,48.14,48.14,100,48.08
2013-12-04,51.27,51.27,51.27,51.27,000,51.20
2013-12-03,51.27,51.27,51.27,51.27,000,51.20
2013-12-02,51.27,51.27,51.27,51.27,100,51.20
2013-11-29,51.10,51.70,50.15,50.15,800,50.09
2013-11-27,50.22,50.23,50.22,50.23,200,50.17
2013-11-26,48.36,50.12,48.07,50.12,2700,50.00
