Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,22.09,22.50,21.96,22.16,609200,22.16
2014-02-21,21.35,22.11,21.31,22.03,966600,22.03
2014-02-20,21.58,21.75,21.20,21.36,1170100,21.36
2014-02-19,21.68,22.60,21.56,21.63,1990200,21.63
2014-02-18,22.06,22.53,21.52,21.68,963000,21.68
2014-02-14,22.19,22.44,21.99,22.07,755100,22.07
2014-02-13,22.10,22.25,21.83,22.18,638800,22.18
2014-02-12,21.93,22.44,21.89,22.20,615200,22.20
2014-02-11,21.63,22.50,21.55,21.96,1070400,21.96
2014-02-10,21.69,21.75,21.44,21.61,338600,21.61
2014-02-07,22.09,22.29,21.65,21.72,959700,21.72
2014-02-06,21.53,22.27,21.05,22.09,857600,22.09
2014-02-05,21.67,21.67,21.05,21.41,792600,21.41
2014-02-04,21.06,21.74,20.92,21.60,1052000,21.60
2014-02-03,21.43,21.53,20.59,20.90,1264700,20.90
2014-01-31,21.41,22.35,21.41,21.47,840400,21.47
2014-01-30,21.89,22.37,21.52,21.65,1833200,21.65
2014-01-29,21.70,22.24,21.46,21.69,1384900,21.69
2014-01-28,22.07,22.64,21.38,21.76,3442100,21.76
2014-01-27,22.64,22.89,21.94,22.78,749100,22.78
2014-01-24,23.19,23.31,22.32,22.53,702100,22.53
2014-01-23,23.54,23.75,23.14,23.31,679700,23.31
2014-01-22,23.82,23.94,23.35,23.61,469800,23.61
2014-01-21,23.81,24.06,23.61,23.73,668900,23.73
2014-01-17,24.00,24.19,23.53,23.76,691600,23.76
2014-01-16,23.54,24.06,23.46,23.97,401100,23.97
2014-01-15,23.19,24.01,23.04,23.58,569000,23.58
2014-01-14,23.34,23.72,23.03,23.18,675600,23.18
2014-01-13,24.03,24.30,23.34,23.36,660300,23.36
2014-01-10,23.75,24.35,23.48,24.30,1040700,24.30
2014-01-09,24.72,24.75,22.73,23.74,1765700,23.74
2014-01-08,22.89,23.26,22.86,23.19,992800,23.19
2014-01-07,22.97,23.34,22.93,23.12,1175700,23.12
2014-01-06,23.46,23.60,22.62,22.71,1277600,22.71
2014-01-03,24.03,24.03,23.42,23.44,927700,23.44
2014-01-02,23.35,24.00,23.27,23.73,1154000,23.73
2013-12-31,24.27,24.29,23.79,24.01,789300,24.01
2013-12-30,24.03,24.55,23.85,24.13,767300,24.13
2013-12-27,24.11,24.60,24.01,24.45,657500,24.45
2013-12-26,24.34,24.54,24.04,24.16,639100,24.16
2013-12-24,24.88,24.88,24.26,24.33,589000,24.33
2013-12-23,24.47,24.79,24.23,24.53,721600,24.53
2013-12-20,24.00,24.50,23.76,24.33,1387800,24.33
2013-12-19,24.18,24.36,23.80,23.95,612300,23.95
2013-12-18,23.24,24.30,23.19,24.26,1170100,24.26
2013-12-17,23.24,23.49,22.94,23.11,648200,23.11
2013-12-16,23.68,23.89,22.88,23.18,2134300,23.18
2013-12-13,23.22,23.22,22.71,22.98,881700,22.98
2013-12-12,21.87,23.16,21.70,23.09,1592500,23.09
2013-12-11,23.07,23.37,22.81,23.00,1300000,23.00
2013-12-10,22.55,23.50,22.22,23.01,3192500,23.01
2013-12-09,21.03,21.76,20.99,21.65,2387800,21.65
2013-12-06,20.98,21.30,20.66,21.06,474600,21.06
2013-12-05,20.95,20.97,20.64,20.72,347800,20.72
2013-12-04,21.03,21.37,20.69,20.94,1053300,20.94
2013-12-03,21.37,21.45,21.18,21.22,385100,21.22
2013-12-02,21.28,21.66,21.05,21.52,883100,21.52
2013-11-29,21.13,21.38,20.96,21.07,382900,21.07
2013-11-27,20.98,21.14,20.82,21.06,547900,21.06
2013-11-26,20.88,21.26,20.86,20.97,1197200,20.97
2013-11-25,21.05,21.18,20.82,20.90,499000,20.90
2013-11-22,21.02,21.17,20.80,21.04,599600,21.04
2013-11-21,20.67,21.02,20.42,21.01,493100,21.01
2013-11-20,20.86,21.00,20.50,20.67,490500,20.67
2013-11-19,20.97,20.98,20.55,20.75,600500,20.75
2013-11-18,20.95,21.06,20.60,20.76,1136500,20.76
2013-11-15,20.74,21.02,20.67,20.86,1381500,20.86
2013-11-14,20.21,20.77,19.92,20.53,999600,20.53
2013-11-13,19.93,20.33,19.80,20.29,975900,20.29
2013-11-12,19.92,20.03,19.55,19.97,806100,19.97
2013-11-11,19.89,20.22,19.67,20.03,946600,20.03
2013-11-08,19.70,20.20,19.65,19.83,1219700,19.83
2013-11-07,20.35,20.61,19.69,19.70,1213100,19.70
2013-11-06,20.87,20.87,20.17,20.28,1507900,20.28
2013-11-05,20.33,21.75,20.33,20.80,4787100,20.80
2013-11-04,19.88,20.37,19.88,20.28,707900,20.28
2013-11-01,20.17,20.39,19.83,19.84,1819600,19.84
2013-10-31,20.94,20.99,19.88,20.19,2367700,20.19
