Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,13.15,13.35,13.15,13.35,4200,13.35
2014-02-21,13.33,13.44,13.15,13.25,6100,13.25
2014-02-20,13.29,13.45,13.15,13.35,14300,13.35
2014-02-19,13.30,13.54,13.25,13.25,10400,13.25
2014-02-18,13.42,13.62,13.14,13.62,3100,13.62
2014-02-14,13.61,13.61,13.45,13.45,900,13.45
2014-02-13,13.72,13.72,13.18,13.25,1900,13.25
2014-02-12,13.47,13.47,13.45,13.45,800,13.45
2014-02-11,13.74,13.74,13.66,13.66,900,13.66
2014-02-10,13.38,13.38,13.38,13.38,100,13.38
2014-02-07,13.18,13.37,13.15,13.37,800,13.37
2014-02-06,13.50,13.50,13.50,13.50,000,13.50
2014-02-05,13.50,13.50,13.50,13.50,000,13.50
2014-02-04,13.50,13.50,13.50,13.50,900,13.39
2014-02-03,13.12,13.48,13.12,13.44,2000,13.33
2014-01-31,13.15,13.23,13.15,13.19,1700,13.08
2014-01-30,13.24,13.24,13.24,13.24,000,13.13
2014-01-29,13.25,13.26,13.24,13.24,5300,13.13
2014-01-28,13.16,13.41,13.15,13.41,1800,13.30
2014-01-27,13.12,13.42,13.12,13.15,2300,13.04
2014-01-24,13.25,13.25,13.02,13.18,3100,13.07
2014-01-23,13.30,13.61,13.30,13.31,800,13.20
2014-01-22,13.50,13.50,13.47,13.47,1900,13.36
2014-01-21,13.39,13.43,13.26,13.32,1600,13.21
2014-01-17,13.33,13.33,13.26,13.31,1400,13.20
2014-01-16,13.25,13.32,13.25,13.25,1200,13.14
2014-01-15,13.20,13.20,13.20,13.20,300,13.09
2014-01-14,13.19,13.26,13.05,13.25,4000,13.14
2014-01-13,13.19,13.21,13.00,13.13,800,13.02
2014-01-10,13.00,13.20,13.00,13.11,1000,13.00
2014-01-09,13.23,13.23,13.02,13.14,800,13.03
2014-01-08,12.85,13.31,12.85,13.31,6500,13.20
2014-01-07,12.82,12.93,12.80,12.90,3400,12.79
2014-01-06,12.87,13.00,12.83,12.89,14900,12.78
2014-01-03,12.99,13.00,12.98,12.98,900,12.87
2014-01-02,12.90,13.05,12.90,12.98,1500,12.87
2013-12-31,13.00,13.05,12.94,12.95,3700,12.84
2013-12-30,12.90,12.99,12.90,12.94,2600,12.83
2013-12-27,13.04,13.04,13.04,13.04,300,12.93
2013-12-26,13.05,13.05,12.90,13.03,3900,12.92
2013-12-24,13.13,13.13,12.86,13.01,1200,12.90
2013-12-23,13.00,13.24,12.97,13.06,16400,12.95
2013-12-20,12.83,13.20,12.83,12.89,77700,12.78
2013-12-19,12.88,13.32,12.86,13.25,5400,13.14
2013-12-18,13.02,13.18,12.91,13.18,5500,13.07
2013-12-17,12.97,13.10,12.85,12.85,6100,12.74
2013-12-16,12.90,12.95,12.83,12.83,9000,12.72
2013-12-13,12.85,13.00,12.85,12.86,3500,12.75
2013-12-12,13.00,13.00,12.88,12.90,9000,12.79
2013-12-11,13.01,13.10,13.00,13.00,20700,12.89
2013-12-10,13.17,13.17,12.97,12.97,7100,12.86
2013-12-09,12.95,13.16,12.95,13.10,27500,12.99
2013-12-06,13.19,13.33,13.15,13.32,6200,13.21
2013-12-05,13.25,13.25,13.14,13.14,300,13.03
2013-12-04,13.00,13.12,13.00,13.12,1000,13.01
2013-12-03,13.08,13.34,12.92,13.33,8300,13.22
2013-12-02,12.95,13.17,12.95,13.17,600,13.06
2013-11-29,13.11,13.15,13.10,13.10,22300,12.99
2013-11-27,13.10,13.10,13.10,13.10,900,12.99
2013-11-26,13.04,13.25,12.97,13.06,14800,12.95
2013-11-25,12.86,13.03,12.86,12.97,4300,12.86
2013-11-22,13.00,13.00,12.90,12.95,3500,12.84
2013-11-21,13.03,13.04,13.00,13.03,2200,12.92
2013-11-20,12.96,13.00,12.96,13.00,4500,12.89
2013-11-19,12.91,13.00,12.85,13.00,2100,12.89
2013-11-18,13.17,13.17,12.93,13.04,2600,12.93
2013-11-15,13.11,13.11,12.92,12.92,12900,12.81
2013-11-14,12.90,13.23,12.79,13.00,9000,12.89
2013-11-13,13.00,13.01,12.78,12.90,3900,12.79
2013-11-12,13.08,13.22,12.75,13.00,8400,12.89
2013-11-11,13.00,13.23,12.98,13.06,8300,12.95
2013-11-08,12.99,13.00,12.90,12.99,8600,12.88
2013-11-07,13.07,13.22,12.75,12.90,6700,12.79
2013-11-06,13.20,13.24,13.20,13.20,7100,13.09
2013-11-05,13.25,13.25,13.20,13.20,1300,12.98
2013-11-04,13.19,13.26,13.19,13.25,5700,13.03
2013-11-01,13.16,13.16,13.15,13.15,300,12.93
2013-10-31,13.20,13.33,13.20,13.25,5300,13.03
2013-10-30,13.21,13.21,13.21,13.21,400,12.99
2013-10-29,13.19,13.34,13.18,13.34,2400,13.12
2013-10-28,13.11,13.25,13.10,13.20,2700,12.98
2013-10-25,13.06,13.10,13.06,13.10,1800,12.88
2013-10-24,12.80,13.10,12.80,13.04,13000,12.82
2013-10-23,12.94,12.94,12.94,12.94,1000,12.72
2013-10-22,12.49,12.98,12.49,12.93,8400,12.71
2013-10-21,12.52,12.52,12.52,12.52,100,12.31
2013-10-18,12.35,12.51,12.26,12.48,5400,12.27
2013-10-17,12.85,12.85,12.44,12.45,2400,12.24
2013-10-16,12.81,12.85,12.52,12.55,1400,12.34
2013-10-15,12.47,12.65,12.34,12.51,2800,12.30
2013-10-14,12.49,12.49,12.48,12.48,500,12.27
2013-10-11,12.50,12.50,12.50,12.50,200,12.29
2013-10-10,12.26,12.40,12.26,12.40,1200,12.19
2013-10-09,12.29,12.43,12.29,12.43,500,12.22
2013-10-08,12.20,12.20,12.20,12.20,300,11.99
2013-10-07,12.47,12.50,12.24,12.42,600,12.21
2013-10-04,12.41,12.50,12.31,12.50,2600,12.29
2013-10-03,12.48,12.48,12.14,12.44,1200,12.23
2013-10-02,12.58,12.58,12.40,12.40,3000,12.19
2013-10-01,12.43,12.78,12.43,12.68,900,12.47
2013-09-30,12.57,12.84,12.57,12.84,1000,12.62
2013-09-27,12.42,12.81,12.32,12.51,2300,12.30
2013-09-26,12.57,12.90,12.41,12.89,2900,12.67
2013-09-25,12.40,12.61,12.36,12.57,1900,12.36
2013-09-24,12.65,12.78,12.32,12.78,1100,12.56
2013-09-23,12.79,12.86,12.39,12.86,2500,12.64
2013-09-20,12.74,12.80,12.72,12.80,7800,12.58
2013-09-19,12.41,12.41,12.41,12.41,000,12.20
2013-09-18,12.29,12.46,12.29,12.41,1000,12.20
2013-09-17,12.15,12.72,12.15,12.37,700,12.16
2013-09-16,12.64,12.75,12.40,12.53,3100,12.32
2013-09-13,12.22,12.56,12.15,12.56,3300,12.35
2013-09-12,12.27,12.30,12.16,12.25,3200,12.04
2013-09-11,12.13,12.34,12.13,12.14,3200,11.94
2013-09-10,12.68,12.68,12.30,12.31,3000,12.10
2013-09-09,12.49,12.91,12.49,12.91,1100,12.69
2013-09-06,12.64,12.64,12.55,12.55,200,12.34
2013-09-05,12.56,12.57,12.56,12.56,700,12.35
2013-09-04,12.53,12.66,12.45,12.56,5700,12.35
2013-09-03,13.00,13.00,13.00,13.00,400,12.78
2013-08-30,13.00,13.00,13.00,13.00,200,12.78
2013-08-29,13.07,13.49,12.90,12.99,900,12.77
2013-08-28,12.83,13.10,12.83,13.04,400,12.82
2013-08-27,12.87,13.11,12.81,12.87,1500,12.65
2013-08-26,13.05,13.11,12.83,12.91,1400,12.69
