Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,17.50,17.77,17.48,17.57,36700,17.57
2014-02-21,17.39,17.60,17.22,17.43,56200,17.43
2014-02-20,16.87,17.42,16.77,17.30,62900,17.30
2014-02-19,17.09,17.42,16.63,16.92,76600,16.92
2014-02-18,17.10,17.37,16.95,17.20,45700,17.20
2014-02-14,17.08,17.17,16.85,17.10,50300,17.10
2014-02-13,16.60,17.20,16.41,17.05,57600,17.05
2014-02-12,17.03,17.03,16.56,16.74,34500,16.74
2014-02-11,16.39,16.95,16.39,16.80,50900,16.80
2014-02-10,16.43,17.27,16.05,16.38,34700,16.38
2014-02-07,16.23,17.17,16.05,16.40,61100,16.40
2014-02-06,16.32,17.78,16.10,16.24,40800,16.24
2014-02-05,16.69,16.69,16.08,16.32,77900,16.24
2014-02-04,16.37,16.52,16.07,16.18,76600,16.10
2014-02-03,16.95,17.12,16.12,16.36,112200,16.28
2014-01-31,16.80,17.46,16.80,17.03,105300,16.95
2014-01-30,17.19,17.38,16.97,17.08,110400,17.00
2014-01-29,17.46,17.46,17.18,17.21,74600,17.13
2014-01-28,17.38,17.56,17.17,17.51,83000,17.42
2014-01-27,17.14,17.56,16.62,17.43,65500,17.34
2014-01-24,17.62,17.77,16.77,17.15,51100,17.07
2014-01-23,17.99,18.07,17.62,17.70,36000,17.61
2014-01-22,18.21,18.21,17.97,18.13,19800,18.04
2014-01-21,17.99,18.19,17.94,18.14,35700,18.05
2014-01-17,18.27,18.43,17.93,17.98,60900,17.89
2014-01-16,18.46,18.48,18.17,18.26,116700,18.17
2014-01-15,18.32,18.57,18.22,18.45,35500,18.36
2014-01-14,18.58,18.58,18.27,18.29,46400,18.20
2014-01-13,18.47,18.64,18.25,18.47,44800,18.38
2014-01-10,18.53,18.53,18.25,18.39,74100,18.30
2014-01-09,18.10,18.54,18.09,18.48,45500,18.39
2014-01-08,17.88,18.06,17.71,18.05,35500,17.96
2014-01-07,17.44,17.91,17.42,17.85,175500,17.76
2014-01-06,17.38,17.53,17.18,17.42,77400,17.33
2014-01-03,17.12,17.38,17.03,17.33,54900,17.25
2014-01-02,16.98,17.16,16.91,17.05,59100,16.97
2013-12-31,17.18,17.44,16.94,17.10,40900,17.02
2013-12-30,17.05,17.22,16.67,17.09,373100,17.01
2013-12-27,17.17,17.39,17.12,17.19,26000,17.11
2013-12-26,17.27,17.39,16.97,17.09,48500,17.01
2013-12-24,17.07,17.30,16.85,17.18,21100,17.10
2013-12-23,16.77,17.10,16.77,17.07,40500,16.99
2013-12-20,16.61,16.80,16.49,16.72,168700,16.64
2013-12-19,16.63,16.74,16.48,16.53,15300,16.45
2013-12-18,16.69,16.80,16.51,16.77,54100,16.69
2013-12-17,17.02,17.02,16.55,16.68,17000,16.60
2013-12-16,17.00,17.05,16.88,16.97,16000,16.89
2013-12-13,16.99,17.05,16.66,16.97,23100,16.89
2013-12-12,16.69,17.08,16.69,16.91,77900,16.83
2013-12-11,17.26,17.26,16.46,16.69,51300,16.61
2013-12-10,17.22,17.40,16.99,17.16,118800,17.08
2013-12-09,17.50,17.69,17.07,17.20,99600,17.12
2013-12-06,17.35,17.71,17.35,17.48,41100,17.39
2013-12-05,17.22,17.32,17.05,17.20,64300,17.12
2013-12-04,17.00,17.34,16.88,17.22,72400,17.14
2013-12-03,17.00,17.09,16.92,17.00,121900,16.92
2013-12-02,17.25,17.35,16.95,16.97,41400,16.89
2013-11-29,17.24,17.35,17.15,17.20,13200,17.12
2013-11-27,17.21,17.27,17.03,17.12,44100,17.04
2013-11-26,16.91,17.17,16.89,17.15,19700,17.07
2013-11-25,16.76,17.06,16.76,16.93,67800,16.85
2013-11-22,16.35,16.79,16.35,16.67,62300,16.59
2013-11-21,16.43,16.50,16.19,16.41,83700,16.33
2013-11-20,16.26,16.35,16.17,16.33,36900,16.25
2013-11-19,16.39,16.48,16.25,16.31,12400,16.23
2013-11-18,16.34,16.40,16.12,16.36,32800,16.28
2013-11-15,16.42,16.44,16.15,16.29,48600,16.21
2013-11-14,16.30,16.39,16.18,16.34,28600,16.26
2013-11-13,16.00,16.39,15.98,16.39,60800,16.31
2013-11-12,16.28,16.41,16.04,16.06,11400,15.98
2013-11-11,16.50,16.50,16.27,16.35,30200,16.27
2013-11-08,16.29,16.58,16.25,16.47,96800,16.39
2013-11-07,16.32,16.39,16.16,16.26,45500,16.18
2013-11-06,16.27,16.30,16.17,16.25,13100,16.17
2013-11-05,16.12,16.22,16.08,16.12,10700,16.04
2013-11-04,16.28,16.40,16.03,16.16,65200,16.08
2013-11-01,16.02,16.32,15.90,16.23,136200,16.15
2013-10-31,16.40,16.41,16.13,16.13,55900,15.97
2013-10-30,16.44,16.69,16.30,16.39,75100,16.23
