Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,4.40,4.40,4.16,4.23,24000,4.23
2014-02-21,4.27,4.50,4.20,4.34,24400,4.34
2014-02-20,4.23,4.34,4.20,4.23,14500,4.23
2014-02-19,4.19,4.26,4.19,4.25,8700,4.25
2014-02-18,4.43,4.45,4.35,4.35,4500,4.35
2014-02-14,4.49,4.70,4.24,4.47,10800,4.47
2014-02-13,4.33,4.43,4.30,4.42,14300,4.42
2014-02-12,4.41,4.49,4.20,4.25,17900,4.25
2014-02-11,4.40,4.50,4.40,4.42,17500,4.42
2014-02-10,4.40,4.60,4.40,4.41,17400,4.41
2014-02-07,4.81,4.81,4.42,4.42,38100,4.42
2014-02-06,4.75,4.84,4.71,4.79,2300,4.79
2014-02-05,4.99,4.99,4.69,4.71,5400,4.71
2014-02-04,4.80,5.03,4.76,4.76,11100,4.76
2014-02-03,4.91,4.95,4.91,4.92,3000,4.92
2014-01-31,4.72,4.93,4.70,4.91,10800,4.91
2014-01-30,4.79,4.90,4.71,4.73,7900,4.73
2014-01-29,4.83,4.83,4.68,4.75,4200,4.75
2014-01-28,4.68,4.87,4.68,4.85,10000,4.85
2014-01-27,4.84,4.86,4.68,4.68,15800,4.68
2014-01-24,5.11,5.13,4.95,4.95,31200,4.95
2014-01-23,5.26,5.31,5.20,5.20,16500,5.20
2014-01-22,5.47,5.47,5.21,5.32,12800,5.32
2014-01-21,5.69,5.69,5.25,5.36,16000,5.36
2014-01-17,5.60,5.73,5.56,5.61,10200,5.61
2014-01-16,5.64,5.76,5.60,5.60,21000,5.60
2014-01-15,5.52,6.00,5.52,5.74,20100,5.74
2014-01-14,5.65,5.85,5.59,5.59,9700,5.59
2014-01-13,5.47,5.65,5.37,5.60,29600,5.60
2014-01-10,5.56,5.69,5.31,5.36,22400,5.36
2014-01-09,5.96,6.40,5.10,5.56,108900,5.56
2014-01-08,6.39,6.46,5.95,6.03,28200,6.03
2014-01-07,6.68,6.68,6.20,6.45,26600,6.45
2014-01-06,6.78,6.79,6.03,6.34,59000,6.34
2014-01-03,6.66,7.20,6.66,6.68,84300,6.68
2014-01-02,6.23,7.20,6.22,6.48,287400,6.48
2013-12-31,4.71,6.27,4.71,5.95,214200,5.95
2013-12-30,5.00,5.00,4.71,4.78,21900,4.78
2013-12-27,5.41,5.41,4.90,5.00,32100,5.00
2013-12-26,4.80,5.20,4.80,5.20,32800,5.20
2013-12-24,4.40,4.75,4.40,4.75,9100,4.75
2013-12-23,4.20,4.78,4.17,4.44,58800,4.44
2013-12-20,5.13,5.14,4.00,4.00,215500,4.00
2013-12-19,5.50,5.50,4.87,4.99,51500,4.99
2013-12-18,5.55,5.75,5.50,5.75,5000,5.75
2013-12-17,5.96,5.96,5.50,5.59,19000,5.59
2013-12-16,5.50,6.24,5.42,5.90,153500,5.90
2013-12-13,5.50,5.50,5.30,5.31,3700,5.31
2013-12-12,4.65,5.47,4.65,5.22,35700,5.22
2013-12-11,4.82,4.96,4.46,4.64,13300,4.64
2013-12-10,5.05,5.17,4.85,4.92,5300,4.92
2013-12-09,5.12,5.18,5.10,5.10,2000,5.10
2013-12-06,5.05,5.27,5.05,5.15,15800,5.15
2013-12-05,5.27,5.28,5.05,5.25,4300,5.25
2013-12-04,4.99,5.28,4.95,5.18,21200,5.18
2013-12-03,5.30,5.56,4.76,4.90,39900,4.90
2013-12-02,5.74,5.74,5.30,5.34,8700,5.34
2013-11-29,5.62,5.71,5.31,5.64,2500,5.64
2013-11-27,5.74,5.74,5.48,5.61,6500,5.61
2013-11-26,6.00,6.00,5.65,5.65,13500,5.65
2013-11-25,5.61,5.66,5.60,5.63,6900,5.63
2013-11-22,5.61,5.92,5.61,5.62,22100,5.62
2013-11-21,5.78,5.95,5.55,5.67,36100,5.67
2013-11-20,6.00,6.00,5.51,5.80,48400,5.80
2013-11-19,5.56,6.00,5.35,5.81,132400,5.81
2013-11-18,5.27,5.90,5.10,5.56,30900,5.56
2013-11-15,5.96,6.00,5.30,5.30,77700,5.30
2013-11-14,5.70,6.10,5.70,5.90,39100,5.90
2013-11-13,5.74,6.60,4.83,5.68,170900,5.68
2013-11-12,3.75,5.66,3.65,5.56,196200,5.56
2013-11-11,4.00,4.30,3.51,3.83,216400,3.83
2013-11-08,5.20,5.20,3.70,4.30,138300,4.30
2013-11-07,5.37,5.54,5.14,5.18,27000,5.18
2013-11-06,5.70,5.70,5.35,5.58,4600,5.58
2013-11-05,5.69,6.00,5.50,5.50,9600,5.50
2013-11-04,5.51,6.27,5.51,5.80,68900,5.80
2013-11-01,5.94,5.94,5.34,5.60,16300,5.60
2013-10-31,6.42,6.50,5.75,5.94,37600,5.94
2013-10-30,6.47,6.79,6.33,6.49,15200,6.49
2013-10-29,6.31,6.85,6.25,6.34,9400,6.34
2013-10-28,6.86,6.94,6.17,6.25,21100,6.25
2013-10-25,7.18,7.34,6.71,6.80,29900,6.80
2013-10-24,7.17,7.39,6.71,7.25,15500,7.25
2013-10-23,6.94,7.40,6.80,6.89,13800,6.89
2013-10-22,7.49,7.49,6.77,6.98,32900,6.98
2013-10-21,8.07,8.14,7.30,7.50,240600,7.50
2013-10-18,7.96,8.08,7.80,8.07,4900,8.07
2013-10-17,8.13,8.19,7.76,7.95,20200,7.95
2013-10-16,7.96,8.13,7.96,8.10,6500,8.10
2013-10-15,7.96,8.07,7.83,7.96,800,7.96
2013-10-14,8.07,8.15,7.76,8.12,3200,8.12
2013-10-11,7.76,8.21,7.74,8.19,9500,8.19
2013-10-10,7.99,8.25,7.77,7.89,5100,7.89
2013-10-09,7.74,8.22,7.71,7.79,10100,7.79
2013-10-08,8.40,8.40,7.75,7.75,3400,7.75
2013-10-07,8.31,8.41,8.05,8.34,15800,8.34
2013-10-04,8.40,8.40,8.00,8.37,7200,8.37
2013-10-03,8.25,8.44,8.25,8.40,13200,8.40
2013-10-02,8.00,8.42,7.90,8.27,24400,8.27
2013-10-01,7.67,8.00,7.67,8.00,11200,8.00
2013-09-30,7.56,7.89,7.55,7.69,6800,7.69
