Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,78.45,78.57,78.30,78.56,2200,78.56
2014-02-21,77.95,78.56,77.86,78.44,4500,78.44
2014-02-20,77.32,78.59,77.32,78.26,11300,78.26
2014-02-19,77.96,77.96,77.42,77.51,3100,77.51
2014-02-18,77.60,77.70,77.60,77.65,1800,77.65
2014-02-14,77.00,77.96,77.00,77.01,1000,77.01
2014-02-13,76.70,77.57,76.70,77.57,5800,77.57
2014-02-12,76.80,76.80,76.80,76.80,400,76.80
2014-02-11,76.00,77.60,76.00,76.92,2800,76.92
2014-02-10,77.65,77.89,76.39,77.11,2400,77.11
2014-02-07,77.49,78.00,77.49,77.56,3000,77.56
2014-02-06,78.25,78.25,77.49,77.49,3500,77.49
2014-02-05,78.00,78.26,78.00,78.25,3000,78.25
2014-02-04,78.31,78.59,78.20,78.59,4500,78.59
2014-02-03,78.79,78.89,77.85,78.65,4500,78.65
2014-01-31,78.70,78.70,78.25,78.58,3300,78.58
2014-01-30,77.92,79.10,77.92,78.70,5800,78.70
2014-01-29,78.38,78.50,77.27,78.25,4600,78.25
2014-01-28,78.99,78.99,78.36,78.36,1500,78.36
2014-01-27,78.30,78.70,78.22,78.64,5200,78.64
2014-01-24,78.26,78.50,78.26,78.34,1700,78.34
2014-01-23,78.13,78.59,78.10,78.33,2000,78.33
2014-01-22,78.88,78.88,78.15,78.71,2400,78.71
2014-01-21,77.59,78.75,77.59,78.73,4200,78.73
2014-01-17,78.75,78.75,78.37,78.60,1700,78.60
2014-01-16,78.33,78.99,78.20,78.40,1400,78.40
2014-01-15,78.22,78.83,78.22,78.83,1200,78.83
2014-01-14,78.25,78.72,78.08,78.30,1400,78.30
2014-01-13,78.02,78.85,77.88,78.06,3200,78.06
2014-01-10,77.95,79.06,77.50,78.50,4100,78.50
2014-01-09,77.73,78.20,77.51,78.04,3400,78.04
2014-01-08,78.00,78.01,77.67,78.00,4000,78.00
2014-01-07,77.75,78.20,77.32,78.20,6700,77.65
2014-01-06,77.50,78.20,77.18,78.20,3900,77.65
2014-01-03,78.60,78.60,77.74,78.20,1500,77.65
2014-01-02,78.48,78.55,77.64,78.13,4000,77.58
2013-12-31,78.86,79.10,78.41,78.49,1800,77.94
2013-12-30,78.97,78.97,78.28,78.43,2600,77.88
2013-12-27,78.82,78.90,78.20,78.60,3900,78.05
2013-12-26,78.50,79.00,78.30,78.99,10400,78.43
2013-12-24,79.06,79.08,78.74,78.99,2700,78.43
2013-12-23,79.07,79.09,78.75,79.09,3900,78.53
2013-12-20,77.88,79.11,77.65,79.11,27200,78.55
2013-12-19,78.73,78.98,78.04,78.31,8700,77.76
2013-12-18,78.42,79.00,77.98,78.72,7900,78.17
2013-12-17,77.86,78.98,77.70,78.10,10800,77.55
2013-12-16,77.83,78.52,77.83,78.50,2600,77.95
2013-12-13,77.47,78.00,77.00,77.98,10000,77.43
2013-12-12,77.25,77.88,76.75,77.88,2900,77.33
2013-12-11,76.82,77.25,76.52,77.12,2100,76.58
2013-12-10,77.23,77.49,76.71,77.16,7400,76.62
2013-12-09,77.30,77.53,76.64,77.53,4500,76.98
2013-12-06,78.52,78.52,77.30,77.80,4800,77.25
2013-12-05,78.66,78.66,77.84,77.99,2700,77.44
2013-12-04,78.60,78.88,77.34,78.88,11700,78.33
2013-12-03,78.71,78.74,77.46,78.08,13300,77.53
2013-12-02,78.75,78.75,77.50,78.17,2800,77.62
2013-11-29,78.03,79.09,78.03,79.09,600,78.53
2013-11-27,79.10,79.10,78.20,78.56,2800,78.01
2013-11-26,79.10,79.10,78.45,78.45,2000,77.90
2013-11-25,77.80,79.56,77.50,78.56,3000,78.01
2013-11-22,73.34,78.00,73.20,77.30,7800,76.76
2013-11-21,73.02,74.40,73.01,73.70,4000,73.18
2013-11-20,73.35,74.06,72.99,73.00,3700,72.49
2013-11-19,73.19,73.88,73.08,73.65,3800,73.13
2013-11-18,73.55,73.89,73.03,73.27,1400,72.75
