Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,20.14,20.22,19.83,19.90,144400,19.90
2014-02-21,20.36,20.36,20.06,20.12,129700,20.12
2014-02-20,20.09,20.73,20.05,20.25,138200,20.25
2014-02-19,19.39,20.62,19.02,20.06,175200,20.06
2014-02-18,19.53,19.53,18.95,19.47,331000,19.47
2014-02-14,19.43,19.43,18.84,19.25,193400,19.25
2014-02-13,18.91,19.47,18.88,19.39,91600,19.39
2014-02-12,19.07,19.22,18.88,18.97,107500,18.97
2014-02-11,19.06,19.15,18.63,19.11,77600,19.11
2014-02-10,18.70,19.15,18.28,19.08,228300,19.08
2014-02-07,18.93,19.54,18.25,18.66,211400,18.66
2014-02-06,19.25,19.25,18.66,18.86,242200,18.86
2014-02-05,19.36,19.45,18.83,19.26,63400,19.26
2014-02-04,19.00,19.71,18.85,19.51,167700,19.51
2014-02-03,19.25,19.50,18.57,18.95,93900,18.95
2014-01-31,18.98,19.27,18.61,19.24,111100,19.24
2014-01-30,19.24,19.40,19.10,19.26,76000,19.26
2014-01-29,19.11,19.32,18.68,19.12,129300,19.12
2014-01-28,19.03,19.50,18.96,19.24,246700,19.24
2014-01-27,18.97,19.39,18.89,19.01,161900,19.01
2014-01-24,18.70,19.06,18.65,19.00,127900,19.00
2014-01-23,18.85,19.44,18.46,18.79,305500,18.79
2014-01-22,18.65,18.84,18.37,18.81,193600,18.81
2014-01-21,18.63,19.50,18.20,18.58,888600,18.58
2014-01-17,18.16,18.57,18.02,18.45,79400,18.45
2014-01-16,18.07,18.34,17.95,18.24,354500,18.24
2014-01-15,17.89,18.50,17.80,18.08,430300,18.08
2014-01-14,17.87,18.25,17.80,17.88,88200,17.88
2014-01-13,17.92,17.95,17.56,17.84,129600,17.84
2014-01-10,18.21,18.21,17.71,17.93,122200,17.93
2014-01-09,17.85,18.10,17.55,17.85,398700,17.85
2014-01-08,17.59,17.90,17.12,17.83,63300,17.83
2014-01-07,17.75,17.98,17.49,17.66,64200,17.66
2014-01-06,17.48,17.79,16.94,17.63,78300,17.63
2014-01-03,17.32,17.35,16.92,17.07,59600,17.07
2014-01-02,16.97,17.47,16.92,17.34,68900,17.34
2013-12-31,17.17,17.51,16.72,16.96,66500,16.96
2013-12-30,17.30,17.43,16.69,17.07,112100,17.07
2013-12-27,16.96,17.68,16.91,17.36,143600,17.36
2013-12-26,17.21,17.50,16.75,16.86,99800,16.86
2013-12-24,17.85,18.06,16.30,17.09,171000,17.09
2013-12-23,17.92,17.98,17.58,17.77,225500,17.77
2013-12-20,17.56,17.90,16.83,17.90,3689200,17.90
2013-12-19,17.31,17.63,17.31,17.50,127600,17.50
2013-12-18,17.38,17.64,17.10,17.55,207300,17.55
2013-12-17,16.49,17.68,15.97,17.40,202600,17.40
2013-12-16,15.75,16.56,15.75,16.44,151900,16.44
2013-12-13,16.34,16.61,15.77,15.89,46300,15.89
2013-12-12,16.01,16.96,15.75,16.39,141900,16.39
2013-12-11,16.84,17.00,15.75,15.97,142500,15.97
2013-12-10,16.87,17.42,16.36,16.47,102600,16.47
2013-12-09,16.71,17.17,16.33,16.61,119700,16.61
2013-12-06,17.18,17.64,16.41,17.11,53700,17.11
2013-12-05,17.69,17.79,16.62,16.92,63100,16.92
2013-12-04,17.56,17.75,17.24,17.40,90700,17.40
2013-12-03,16.82,17.54,16.80,17.52,91000,17.52
2013-12-02,17.40,17.91,16.75,17.52,174300,17.52
2013-11-29,16.75,17.60,16.37,17.38,19000,17.38
2013-11-27,16.60,17.50,16.60,17.35,53000,17.35
2013-11-26,16.27,16.65,15.82,16.49,51000,16.49
2013-11-25,16.25,17.04,16.00,16.40,86000,16.40
2013-11-22,17.49,17.76,16.22,16.31,157500,16.31
2013-11-21,17.99,18.65,16.80,17.45,417600,17.45
2013-11-20,16.20,18.73,16.01,17.66,460000,17.66
2013-11-19,15.52,16.35,15.45,16.24,231400,16.24
2013-11-18,16.05,16.38,15.38,15.78,190200,15.78
2013-11-15,15.80,17.50,14.80,16.11,878800,16.11
2013-11-14,14.00,15.96,13.74,15.86,8285300,15.86
