Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.43,10.47,10.40,10.46,8500,10.46
2014-02-21,10.38,10.44,10.38,10.44,14200,10.44
2014-02-20,10.48,10.48,10.48,10.48,1800,10.48
2014-02-19,10.34,10.34,10.34,10.34,000,10.34
2014-02-18,10.43,10.43,10.34,10.34,500,10.34
2014-02-14,10.48,10.49,10.48,10.49,400,10.49
2014-02-13,10.44,10.44,10.44,10.44,000,10.44
2014-02-12,10.40,10.45,10.40,10.44,8000,10.44
2014-02-11,10.48,10.48,10.42,10.42,400,10.42
2014-02-10,10.48,10.48,10.40,10.43,36000,10.43
2014-02-07,10.48,10.50,10.41,10.50,700,10.50
2014-02-06,10.34,10.34,10.34,10.34,000,10.34
2014-02-05,10.34,10.34,10.34,10.34,000,10.34
2014-02-04,10.41,10.47,10.34,10.34,1200,10.34
2014-02-03,10.39,10.46,10.35,10.35,29900,10.35
2014-01-31,10.45,10.47,10.34,10.42,113000,10.42
2014-01-30,10.47,10.50,10.38,10.40,34800,10.40
2014-01-29,10.40,10.46,10.34,10.34,14000,10.34
2014-01-28,10.42,10.48,10.38,10.48,23200,10.48
2014-01-27,10.67,10.67,10.42,10.49,177100,10.49
2014-01-24,10.41,10.50,10.40,10.50,56000,10.50
2014-01-23,10.41,10.46,10.39,10.39,41800,10.39
2014-01-22,10.41,10.47,10.38,10.38,111700,10.38
2014-01-21,10.42,10.46,10.39,10.42,200300,10.42
2014-01-17,9.90,10.58,9.82,10.40,233800,10.40
2014-01-16,10.36,10.44,10.35,10.39,705300,10.39
2014-01-15,10.40,10.52,10.33,10.33,163800,10.33
2014-01-14,10.42,10.53,10.36,10.40,154300,10.40
2014-01-13,10.43,10.60,10.33,10.33,50700,10.33
2014-01-10,10.70,10.70,10.70,10.70,000,10.70
2014-01-09,10.70,10.70,10.70,10.70,000,10.70
2014-01-08,10.70,10.70,10.70,10.70,000,10.70
2014-01-07,10.70,10.70,10.70,10.70,000,10.70
2014-01-06,10.70,10.70,10.70,10.70,000,10.70
2014-01-03,10.70,10.70,10.70,10.70,100,10.70
2014-01-02,10.60,10.60,10.60,10.60,000,10.60
2013-12-31,10.60,10.60,10.60,10.60,000,10.60
2013-12-30,10.60,10.60,10.60,10.60,000,10.60
2013-12-27,10.60,10.60,10.60,10.60,100,10.60
2013-12-26,10.30,10.30,10.30,10.30,000,10.30
2013-12-24,10.30,10.30,10.30,10.30,000,10.30
2013-12-23,10.30,10.30,10.30,10.30,000,10.30
2013-12-20,10.30,10.30,10.30,10.30,000,10.30
2013-12-19,10.30,10.30,10.30,10.30,000,10.30
2013-12-18,10.33,10.33,10.30,10.30,2500,10.30
2013-12-17,10.35,10.35,10.35,10.35,000,10.35
2013-12-16,10.35,10.35,10.35,10.35,000,10.35
2013-12-13,10.35,10.35,10.35,10.35,000,10.35
2013-12-12,10.35,10.35,10.35,10.35,000,10.35
2013-12-11,10.35,10.35,10.35,10.35,000,10.35
2013-12-10,10.35,10.35,10.35,10.35,000,10.35
2013-12-09,10.35,10.35,10.35,10.35,000,10.35
2013-12-06,10.35,10.35,10.35,10.35,000,10.35
2013-12-05,10.35,10.35,10.35,10.35,000,10.35
2013-12-04,10.35,10.35,10.35,10.35,800,10.35
2013-12-03,10.40,10.40,10.40,10.40,000,10.40
2013-12-02,10.40,10.40,10.40,10.40,000,10.40
2013-11-29,10.40,10.40,10.40,10.40,000,10.40
2013-11-27,10.40,10.40,10.40,10.40,000,10.40
2013-11-26,10.40,10.40,10.40,10.40,000,10.40
2013-11-25,10.40,10.40,10.40,10.40,000,10.40
2013-11-22,10.40,10.40,10.40,10.40,000,10.40
2013-11-21,10.40,10.40,10.40,10.40,000,10.40
2013-11-20,10.40,10.40,10.40,10.40,000,10.40
2013-11-19,10.40,10.40,10.40,10.40,000,10.40
2013-11-18,10.40,10.40,10.40,10.40,000,10.40
2013-11-15,10.40,10.40,10.40,10.40,000,10.40
2013-11-14,10.40,10.40,10.40,10.40,000,10.40
2013-11-13,10.40,10.40,10.40,10.40,000,10.40
2013-11-12,10.40,10.40,10.40,10.40,000,10.40
2013-11-11,10.40,10.40,10.40,10.40,000,10.40
2013-11-08,10.40,10.40,10.40,10.40,000,10.40
2013-11-07,10.40,10.40,10.40,10.40,000,10.40
2013-11-06,10.40,10.40,10.40,10.40,000,10.40
2013-11-05,10.40,10.40,10.40,10.40,000,10.40
2013-11-04,10.40,10.40,10.40,10.40,000,10.40
2013-11-01,10.40,10.40,10.40,10.40,000,10.40
2013-10-31,10.40,10.40,10.40,10.40,000,10.40
2013-10-30,10.40,10.40,10.40,10.40,000,10.40
2013-10-29,10.40,10.40,10.40,10.40,000,10.40
2013-10-28,10.40,10.40,10.40,10.40,000,10.40
2013-10-25,10.40,10.40,10.40,10.40,000,10.40
2013-10-24,10.40,10.40,10.40,10.40,000,10.40
2013-10-23,10.40,10.40,10.40,10.40,000,10.40
2013-10-22,10.40,10.40,10.40,10.40,000,10.40
2013-10-21,10.40,10.40,10.40,10.40,000,10.40
2013-10-18,10.40,10.40,10.40,10.40,000,10.40
2013-10-17,10.40,10.40,10.40,10.40,000,10.40
2013-10-16,10.40,10.40,10.40,10.40,000,10.40
2013-10-15,10.40,10.40,10.40,10.40,000,10.40
2013-10-14,10.40,10.40,10.40,10.40,000,10.40
2013-10-11,10.40,10.40,10.40,10.40,000,10.40
2013-10-10,10.40,10.40,10.40,10.40,000,10.40
2013-10-09,10.40,10.40,10.40,10.40,000,10.40
2013-10-08,10.40,10.40,10.40,10.40,000,10.40
2013-10-07,10.40,10.40,10.40,10.40,000,10.40
2013-10-04,10.40,10.40,10.40,10.40,000,10.40
2013-10-03,10.40,10.40,10.40,10.40,000,10.40
2013-10-02,10.40,10.40,10.40,10.40,000,10.40
2013-10-01,10.40,10.40,10.40,10.40,1000,10.40
2013-09-30,10.40,10.40,10.40,10.40,000,10.40
2013-09-27,10.40,10.40,10.40,10.40,000,10.40
2013-09-26,10.40,10.40,10.40,10.40,000,10.40
2013-09-25,10.40,10.40,10.40,10.40,000,10.40
2013-09-24,10.40,10.40,10.40,10.40,000,10.40
2013-09-23,10.40,10.40,10.40,10.40,000,10.40
2013-09-20,10.40,10.40,10.40,10.40,000,10.40
2013-09-19,10.40,10.40,10.40,10.40,000,10.40
2013-09-18,10.40,10.40,10.40,10.40,100,10.40
2013-09-17,10.45,10.45,10.45,10.45,000,10.45
2013-09-16,10.45,10.45,10.45,10.45,000,10.45
2013-09-13,10.45,10.45,10.45,10.45,000,10.45
2013-09-12,10.45,10.45,10.45,10.45,000,10.45
2013-09-11,10.45,10.45,10.45,10.45,000,10.45
2013-09-10,10.45,10.45,10.45,10.45,000,10.45
2013-09-09,10.45,10.45,10.45,10.45,000,10.45
2013-09-06,10.45,10.45,10.45,10.45,000,10.45
2013-09-05,10.45,10.45,10.45,10.45,000,10.45
2013-09-04,10.45,10.45,10.45,10.45,000,10.45
2013-09-03,10.45,10.45,10.45,10.45,000,10.45
2013-08-30,10.45,10.45,10.45,10.45,000,10.45
2013-08-29,10.45,10.45,10.45,10.45,000,10.45
2013-08-28,10.45,10.45,10.45,10.45,000,10.45
2013-08-27,10.45,10.45,10.45,10.45,000,10.45
2013-08-26,10.45,10.45,10.45,10.45,000,10.45
2013-08-23,10.45,10.45,10.45,10.45,000,10.45
2013-08-22,10.45,10.45,10.45,10.45,000,10.45
2013-08-21,10.45,10.45,10.45,10.45,000,10.45
2013-08-20,10.45,10.45,10.45,10.45,000,10.45
2013-08-19,10.45,10.45,10.45,10.45,000,10.45
2013-08-16,10.45,10.45,10.45,10.45,000,10.45
2013-08-15,10.45,10.45,10.45,10.45,000,10.45
2013-08-14,10.45,10.45,10.45,10.45,000,10.45
2013-08-13,10.45,10.45,10.45,10.45,000,10.45
2013-08-12,10.45,10.45,10.45,10.45,000,10.45
2013-08-09,10.45,10.45,10.45,10.45,000,10.45
2013-08-08,10.45,10.45,10.45,10.45,000,10.45
2013-08-07,10.45,10.45,10.45,10.45,000,10.45
2013-08-06,10.45,10.45,10.45,10.45,000,10.45
2013-08-05,10.45,10.45,10.45,10.45,000,10.45
2013-08-02,10.45,10.45,10.45,10.45,000,10.45
2013-08-01,10.44,10.45,10.44,10.45,1300,10.45
2013-07-31,10.26,10.26,10.26,10.26,000,10.26
2013-07-30,10.26,10.26,10.26,10.26,000,10.26
2013-07-29,10.26,10.26,10.26,10.26,000,10.26
2013-07-26,10.45,10.45,10.26,10.26,500,10.26
2013-07-25,10.28,10.28,10.28,10.28,000,10.28
2013-07-24,10.28,10.28,10.28,10.28,13800,10.28
2013-07-23,10.25,10.25,10.25,10.25,000,10.25
2013-07-22,10.25,10.25,10.25,10.25,50000,10.25
2013-07-19,10.25,10.29,10.23,10.29,130800,10.29
2013-07-18,10.25,10.25,10.25,10.25,000,10.25
2013-07-17,10.25,10.30,10.22,10.25,50300,10.25
2013-07-16,10.22,10.22,10.22,10.22,000,10.22
2013-07-15,10.30,10.30,10.21,10.22,40800,10.22
2013-07-12,10.36,10.36,10.36,10.36,000,10.36
2013-07-11,10.36,10.36,10.36,10.36,1700,10.36
2013-07-10,10.36,10.36,10.36,10.36,000,10.36
2013-07-09,10.36,10.36,10.36,10.36,000,10.36
2013-07-08,10.36,10.36,10.36,10.36,000,10.36
2013-07-05,10.36,10.36,10.36,10.36,000,10.36
2013-07-03,10.36,10.36,10.36,10.36,000,10.36
2013-07-02,10.36,10.36,10.36,10.36,000,10.36
2013-07-01,10.36,10.36,10.36,10.36,900,10.36
2013-06-28,10.37,10.37,10.37,10.37,000,10.37
2013-06-27,10.37,10.37,10.37,10.37,000,10.37
