Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,13.74,14.10,13.40,13.85,75200,13.85
2014-02-21,13.69,13.74,13.30,13.58,30900,13.58
2014-02-20,13.29,13.73,12.40,13.65,67100,13.65
2014-02-19,12.50,13.25,12.50,13.25,77400,13.25
2014-02-18,12.06,13.00,11.50,12.91,127600,12.91
2014-02-14,11.35,12.20,10.70,11.85,82300,11.85
2014-02-13,11.10,11.35,10.90,11.22,46000,11.22
2014-02-12,11.80,11.80,11.01,11.10,31600,11.10
2014-02-11,11.43,11.49,11.10,11.33,18300,11.33
2014-02-10,11.33,12.00,11.33,11.59,24500,11.59
2014-02-07,11.75,11.82,11.30,11.38,20200,11.38
2014-02-06,11.49,11.68,11.30,11.55,23600,11.55
2014-02-05,12.20,12.20,11.39,11.51,14100,11.51
2014-02-04,12.02,12.20,11.90,12.10,33300,12.10
2014-02-03,12.37,12.49,11.89,12.05,115700,12.05
2014-01-31,11.88,12.35,11.88,12.19,29600,12.19
2014-01-30,12.46,12.46,11.53,11.83,32300,11.83
2014-01-29,12.34,12.37,11.47,12.00,66000,12.00
2014-01-28,11.96,12.38,11.74,12.05,173000,12.05
2014-01-27,10.28,12.38,10.10,11.50,149900,11.50
2014-01-24,12.70,12.75,12.40,12.50,123100,12.50
2014-01-23,12.20,12.70,12.00,12.70,32100,12.70
2014-01-22,12.00,12.50,11.90,12.30,175900,12.30
2014-01-21,10.50,12.00,10.15,12.00,122000,12.00
2014-01-17,12.55,12.60,10.80,11.58,53300,11.58
2014-01-16,10.75,13.00,10.75,12.40,70000,12.40
2014-01-15,10.00,10.90,10.00,10.55,40500,10.55
2014-01-14,10.00,10.00,9.00,9.90,8500,9.90
2014-01-13,8.80,8.80,8.80,8.80,000,8.80
2014-01-09,0.43,0.45,0.43,0.44,27000,8.80
2014-01-08,0.43,0.44,0.43,0.43,30500,8.60
2014-01-07,0.46,0.46,0.43,0.44,42100,8.80
2014-01-06,0.46,0.47,0.45,0.45,11700,9.00
2014-01-03,0.46,0.46,0.45,0.45,22800,9.00
2014-01-02,0.47,0.47,0.45,0.46,44500,9.20
2013-12-31,0.46,0.46,0.44,0.45,51700,9.00
2013-12-30,0.45,0.46,0.43,0.44,3900,8.80
2013-12-27,0.45,0.47,0.45,0.46,7000,9.20
2013-12-26,0.42,0.46,0.42,0.45,7600,9.00
2013-12-24,0.43,0.43,0.41,0.43,16200,8.60
2013-12-23,0.44,0.46,0.42,0.43,8800,8.60
2013-12-20,0.41,0.45,0.41,0.44,12100,8.80
2013-12-19,0.42,0.42,0.42,0.42,13800,8.40
2013-12-18,0.43,0.43,0.41,0.42,32600,8.40
2013-12-17,0.45,0.45,0.43,0.43,5900,8.60
2013-12-16,0.43,0.45,0.43,0.45,8200,9.00
2013-12-13,0.43,0.45,0.42,0.43,14900,8.60
2013-12-12,0.45,0.46,0.43,0.44,24000,8.80
2013-12-11,0.46,0.46,0.45,0.45,3600,9.00
2013-12-10,0.45,0.46,0.45,0.46,4400,9.20
2013-12-09,0.46,0.46,0.45,0.46,23200,9.20
2013-12-06,0.46,0.46,0.45,0.46,44300,9.20
2013-12-05,0.45,0.46,0.45,0.45,12100,9.00
2013-12-04,0.46,0.46,0.44,0.46,41100,9.20
2013-12-03,0.47,0.47,0.46,0.47,41900,9.40
2013-12-02,0.46,0.47,0.45,0.46,32100,9.20
2013-11-29,0.47,0.47,0.45,0.46,2300,9.20
2013-11-27,0.47,0.48,0.45,0.47,15000,9.40
2013-11-26,0.46,0.48,0.45,0.47,36400,9.40
2013-11-25,0.48,0.48,0.46,0.47,14700,9.40
2013-11-22,0.45,0.48,0.44,0.48,22900,9.60
2013-11-21,0.43,0.46,0.43,0.45,78600,9.00
2013-11-20,0.43,0.47,0.42,0.43,202900,8.60
2013-11-19,0.48,0.49,0.48,0.48,10800,9.60
2013-11-18,0.50,0.50,0.48,0.48,3300,9.60
2013-11-15,0.50,0.50,0.48,0.50,22700,10.00
2013-11-14,0.47,0.50,0.47,0.50,10600,10.00
2013-11-13,0.47,0.50,0.46,0.47,46900,9.40
2013-11-12,0.46,0.47,0.46,0.47,36900,9.40
2013-11-11,0.46,0.47,0.46,0.46,23700,9.20
2013-11-08,0.47,0.47,0.46,0.46,12400,9.20
2013-11-07,0.46,0.47,0.46,0.47,54000,9.40
2013-11-06,0.46,0.47,0.45,0.47,29600,9.40
2013-11-05,0.46,0.47,0.46,0.46,47400,9.20
2013-11-04,0.46,0.47,0.45,0.46,12300,9.20
2013-11-01,0.46,0.47,0.46,0.47,14600,9.40
2013-10-31,0.46,0.47,0.46,0.46,20900,9.20
2013-10-30,0.46,0.47,0.43,0.46,111900,9.20
2013-10-29,0.47,0.48,0.45,0.46,61100,9.20
2013-10-28,0.46,0.46,0.44,0.45,7200,9.00
2013-10-25,0.46,0.47,0.45,0.46,84100,9.20
2013-10-24,0.42,0.46,0.42,0.46,169100,9.20
2013-10-23,0.43,0.44,0.42,0.42,17400,8.40
2013-10-22,0.42,0.44,0.42,0.43,20900,8.60
2013-10-21,0.43,0.43,0.42,0.43,19400,8.60
2013-10-18,0.41,0.43,0.41,0.42,19300,8.40
2013-10-17,0.41,0.43,0.41,0.42,52000,8.40
2013-10-16,0.41,0.41,0.40,0.41,18100,8.20
2013-10-15,0.38,0.41,0.37,0.41,103700,8.20
2013-10-14,0.36,0.38,0.35,0.35,11900,7.00
2013-10-11,0.37,0.38,0.36,0.36,310600,7.20
2013-10-10,0.35,0.38,0.35,0.37,273100,7.40
2013-10-09,0.34,0.36,0.34,0.35,46300,7.00
2013-10-08,0.36,0.36,0.34,0.35,15700,7.00
2013-10-07,0.35,0.36,0.33,0.34,17200,6.80
2013-10-04,0.35,0.36,0.34,0.35,25800,7.00
2013-10-03,0.34,0.36,0.34,0.35,14000,7.00
2013-10-02,0.35,0.36,0.35,0.35,8000,7.00
2013-10-01,0.34,0.36,0.34,0.35,34600,7.00
2013-09-30,0.34,0.35,0.33,0.34,16700,6.80
2013-09-27,0.36,0.36,0.34,0.34,27700,6.80
2013-09-26,0.35,0.36,0.35,0.36,9300,7.20
2013-09-25,0.35,0.35,0.34,0.35,7600,7.00
2013-09-24,0.35,0.35,0.33,0.35,14800,7.00
2013-09-23,0.36,0.36,0.32,0.34,14700,6.80
2013-09-20,0.35,0.37,0.34,0.36,23400,7.20
2013-09-19,0.33,0.35,0.32,0.35,46000,7.00
2013-09-18,0.33,0.34,0.32,0.33,15600,6.60
2013-09-17,0.34,0.34,0.32,0.33,70500,6.60
2013-09-16,0.36,0.36,0.32,0.33,50400,6.60
2013-09-13,0.35,0.38,0.35,0.36,73700,7.20
2013-09-12,0.35,0.37,0.35,0.36,55600,7.20
2013-09-11,0.36,0.38,0.35,0.35,22500,7.00
2013-09-10,0.36,0.39,0.36,0.36,97500,7.20
2013-09-09,0.39,0.41,0.39,0.39,11700,7.80
2013-09-06,0.41,0.41,0.40,0.40,12600,8.00
2013-09-05,0.40,0.41,0.40,0.41,88000,8.20
2013-09-04,0.41,0.41,0.38,0.41,12000,8.20
2013-09-03,0.41,0.41,0.41,0.41,26800,8.20
2013-08-30,0.41,0.42,0.40,0.41,7400,8.20
2013-08-29,0.43,0.43,0.41,0.41,4800,8.20
2013-08-28,0.41,0.41,0.40,0.41,96700,8.20
2013-08-27,0.40,0.41,0.40,0.41,60100,8.20
2013-08-26,0.41,0.42,0.40,0.41,22800,8.20
2013-08-23,0.41,0.43,0.40,0.41,29800,8.20
2013-08-22,0.41,0.42,0.40,0.41,5700,8.20
2013-08-21,0.41,0.41,0.40,0.41,3800,8.20
2013-08-20,0.42,0.42,0.40,0.42,13500,8.40
2013-08-19,0.40,0.43,0.40,0.42,12400,8.40
2013-08-16,0.39,0.40,0.38,0.39,10500,7.80
2013-08-15,0.39,0.40,0.37,0.39,30400,7.80
2013-08-14,0.40,0.40,0.34,0.38,44500,7.60
2013-08-13,0.43,0.43,0.40,0.40,23500,8.00
2013-08-12,0.44,0.45,0.42,0.43,61400,8.60
2013-08-09,0.43,0.45,0.43,0.45,40300,9.00
2013-08-08,0.47,0.47,0.42,0.43,94500,8.60
2013-08-07,0.46,0.47,0.44,0.46,7100,9.20
2013-08-06,0.47,0.47,0.43,0.45,19900,9.00
2013-08-05,0.47,0.48,0.47,0.47,15000,9.40
2013-08-02,0.47,0.47,0.46,0.47,16400,9.40
2013-08-01,0.47,0.47,0.45,0.47,28700,9.40
2013-07-31,0.45,0.47,0.45,0.47,29800,9.40
2013-07-30,0.46,0.47,0.46,0.46,4600,9.20
2013-07-29,0.50,0.50,0.47,0.47,7700,9.40
2013-07-26,0.47,0.48,0.47,0.47,10000,9.40
2013-07-25,0.47,0.48,0.46,0.47,82200,9.40
2013-07-24,0.47,0.48,0.46,0.47,26900,9.40
2013-07-23,0.47,0.47,0.46,0.47,50500,9.40
2013-07-22,0.43,0.45,0.43,0.45,14400,9.00
2013-07-19,0.46,0.46,0.43,0.44,8300,8.80
2013-07-18,0.44,0.46,0.43,0.45,16900,9.00
2013-07-17,0.47,0.47,0.45,0.45,7800,9.00
2013-07-16,0.45,0.48,0.45,0.46,13000,9.20
2013-07-15,0.45,0.45,0.42,0.45,20900,9.00
2013-07-12,0.43,0.45,0.41,0.45,35800,9.00
2013-07-11,0.39,0.43,0.39,0.42,21100,8.40
2013-07-10,0.38,0.40,0.37,0.39,35000,7.80
2013-07-09,0.36,0.37,0.36,0.36,62100,7.20
2013-07-08,0.39,0.39,0.35,0.36,40400,7.20
2013-07-05,0.37,0.39,0.37,0.39,15000,7.80
2013-07-03,0.36,0.44,0.36,0.37,6800,7.40
2013-07-02,0.36,0.38,0.34,0.36,94200,7.20
2013-07-01,0.35,0.36,0.35,0.36,42000,7.20
2013-06-28,0.36,0.36,0.35,0.36,20700,7.20
2013-06-27,0.36,0.38,0.35,0.36,12600,7.20
2013-06-26,0.35,0.37,0.35,0.36,25000,7.20
2013-06-25,0.37,0.38,0.35,0.36,9800,7.20
2013-06-24,0.37,0.38,0.36,0.36,5500,7.20
2013-06-21,0.39,0.40,0.36,0.37,7700,7.40
2013-06-20,0.38,0.39,0.36,0.38,5500,7.60
2013-06-19,0.43,0.43,0.35,0.39,17400,7.80
2013-06-18,0.38,0.42,0.38,0.42,19100,8.40
2013-06-17,0.37,0.39,0.37,0.39,11200,7.80
2013-06-14,0.40,0.40,0.37,0.38,18600,7.60
2013-06-13,0.41,0.41,0.39,0.40,6100,8.00
2013-06-12,0.41,0.43,0.40,0.41,7700,8.20
2013-06-11,0.40,0.43,0.40,0.42,18500,8.40
2013-06-10,0.41,0.43,0.40,0.43,9800,8.60
2013-06-07,0.42,0.42,0.40,0.41,17500,8.20
2013-06-06,0.42,0.43,0.42,0.42,20500,8.40
2013-06-05,0.42,0.42,0.42,0.42,23800,8.40
2013-06-04,0.42,0.43,0.42,0.42,17400,8.40
2013-06-03,0.41,0.43,0.41,0.42,18200,8.40
2013-05-31,0.42,0.43,0.41,0.41,23900,8.20
2013-05-30,0.43,0.43,0.42,0.42,23500,8.40
2013-05-29,0.42,0.43,0.42,0.43,12900,8.60
2013-05-28,0.42,0.43,0.41,0.43,8800,8.60
2013-05-24,0.43,0.45,0.41,0.42,5900,8.40
2013-05-23,0.41,0.48,0.41,0.43,15000,8.60
2013-05-22,0.42,0.44,0.40,0.44,60800,8.80
2013-05-21,0.43,0.44,0.41,0.43,23800,8.60
2013-05-20,0.47,0.47,0.43,0.44,21300,8.80
2013-05-17,0.49,0.49,0.46,0.46,6700,9.20
2013-05-16,0.48,0.48,0.46,0.48,5100,9.60
2013-05-15,0.48,0.49,0.48,0.48,17100,9.60
2013-05-14,0.47,0.49,0.45,0.48,67400,9.60
2013-05-13,0.45,0.47,0.43,0.47,44500,9.40
2013-05-10,0.43,0.45,0.42,0.45,55300,9.00
2013-05-09,0.43,0.44,0.41,0.44,55100,8.80
2013-05-08,0.40,0.43,0.40,0.43,127500,8.60
2013-05-07,0.40,0.42,0.39,0.40,26700,8.00
2013-05-06,0.40,0.41,0.39,0.41,12200,8.20
2013-05-03,0.42,0.43,0.39,0.40,47000,8.00
2013-05-02,0.37,0.45,0.37,0.41,55100,8.20
2013-05-01,0.36,0.37,0.36,0.36,35600,7.20
2013-04-30,0.38,0.38,0.36,0.36,10900,7.20
2013-04-29,0.35,0.37,0.35,0.37,63500,7.40
2013-04-26,0.32,0.36,0.32,0.36,19800,7.20
2013-04-25,0.34,0.34,0.32,0.33,37000,6.60
2013-04-24,0.32,0.36,0.32,0.34,47000,6.80
2013-04-23,0.32,0.32,0.31,0.32,14600,6.40
2013-04-22,0.32,0.33,0.31,0.31,13800,6.20
2013-04-19,0.30,0.32,0.30,0.32,23600,6.40
2013-04-18,0.33,0.33,0.31,0.33,12500,6.60
2013-04-17,0.34,0.34,0.31,0.32,33800,6.40
2013-04-16,0.35,0.36,0.33,0.33,40100,6.60
2013-04-15,0.36,0.37,0.35,0.35,37000,7.00
2013-04-12,0.36,0.36,0.35,0.36,297200,7.20
2013-04-11,0.36,0.37,0.36,0.36,297600,7.20
2013-04-10,0.36,0.36,0.36,0.36,83700,7.20
2013-04-09,0.36,0.36,0.36,0.36,58100,7.20
2013-04-08,0.36,0.36,0.35,0.36,104600,7.20
2013-04-05,0.36,0.36,0.36,0.36,74500,7.20
2013-04-04,0.36,0.37,0.36,0.36,38700,7.20
2013-04-03,0.36,0.38,0.35,0.36,100100,7.20
2013-04-02,0.36,0.37,0.33,0.37,230400,7.40
2013-04-01,0.39,0.39,0.33,0.36,343000,7.20
2013-03-28,0.28,0.41,0.28,0.37,2107400,7.40
2013-03-27,0.63,0.63,0.56,0.58,166500,11.60
2013-03-26,0.65,0.65,0.60,0.61,238000,12.20
2013-03-25,0.64,0.67,0.62,0.63,235400,12.60
2013-03-22,0.63,0.66,0.61,0.62,144200,12.40
2013-03-21,0.63,0.65,0.60,0.64,93100,12.80
2013-03-20,0.59,0.64,0.58,0.63,75800,12.60
2013-03-19,0.62,0.62,0.58,0.59,92000,11.80
2013-03-18,0.64,0.64,0.59,0.62,100700,12.40
2013-03-15,0.66,0.66,0.62,0.64,107600,12.80
2013-03-14,0.66,0.66,0.63,0.65,121400,13.00
2013-03-13,0.62,0.67,0.61,0.64,230900,12.80
2013-03-12,0.56,0.62,0.55,0.62,140000,12.40
2013-03-11,0.56,0.57,0.55,0.55,96300,11.00
2013-03-08,0.55,0.57,0.54,0.55,199500,11.00
2013-03-07,0.59,0.59,0.53,0.55,209900,11.00
2013-03-06,0.59,0.64,0.55,0.58,120900,11.60
2013-03-05,0.69,0.69,0.56,0.59,317500,11.80
2013-03-04,0.69,0.69,0.68,0.68,19700,13.60
2013-03-01,0.70,0.70,0.68,0.68,48700,13.60
2013-02-28,0.70,0.70,0.69,0.70,68700,14.00
2013-02-27,0.70,0.73,0.69,0.70,40800,14.00
2013-02-26,0.72,0.72,0.70,0.70,38400,14.00
2013-02-25,0.72,0.73,0.71,0.72,40800,14.40
2013-02-22,0.71,0.73,0.70,0.71,72400,14.20
2013-02-21,0.72,0.73,0.67,0.70,50300,14.00
2013-02-20,0.76,0.77,0.71,0.72,85600,14.40
2013-02-19,0.74,0.77,0.73,0.75,103100,15.00
2013-02-15,0.71,0.73,0.69,0.72,47700,14.40
2013-02-14,0.70,0.72,0.69,0.70,32600,14.00
2013-02-13,0.71,0.73,0.65,0.69,86800,13.80
2013-02-12,0.74,0.74,0.71,0.73,35100,14.60
2013-02-11,0.75,0.76,0.73,0.73,32000,14.60
2013-02-08,0.75,0.77,0.75,0.75,62300,15.00
2013-02-07,0.76,0.76,0.75,0.75,26100,15.00
2013-02-06,0.75,0.77,0.75,0.75,72800,15.00
2013-02-05,0.77,0.78,0.75,0.75,74300,15.00
2013-02-04,0.78,0.82,0.73,0.77,111300,15.40
2013-02-01,0.81,0.81,0.74,0.78,123700,15.60
2013-01-31,0.78,0.84,0.78,0.81,37600,16.20
2013-01-30,0.85,0.89,0.77,0.79,135000,15.80
2013-01-29,0.80,0.85,0.79,0.85,69200,17.00
2013-01-28,0.73,0.83,0.73,0.79,116100,15.80
2013-01-25,0.73,0.74,0.71,0.73,40400,14.60
2013-01-24,0.72,0.73,0.70,0.71,31700,14.20
2013-01-23,0.72,0.75,0.70,0.70,85300,14.00
2013-01-22,0.65,0.74,0.65,0.72,104700,14.40
2013-01-18,0.65,0.66,0.63,0.64,39200,12.80
2013-01-17,0.65,0.67,0.65,0.65,12900,13.00
2013-01-16,0.68,0.68,0.65,0.66,39800,13.20
2013-01-15,0.70,0.70,0.66,0.66,29900,13.20
2013-01-14,0.67,0.70,0.66,0.69,34600,13.80
2013-01-11,0.70,0.70,0.65,0.68,31700,13.60
2013-01-10,0.66,0.70,0.66,0.67,30100,13.40
2013-01-09,0.71,0.72,0.66,0.67,84600,13.40
2013-01-08,0.61,0.71,0.61,0.70,94000,14.00
2013-01-07,0.60,0.64,0.60,0.61,76800,12.20
2013-01-04,0.56,0.64,0.55,0.60,240600,12.00
2013-01-03,0.58,0.58,0.55,0.56,38200,11.20
2013-01-02,0.55,0.59,0.55,0.56,79600,11.20
2012-12-31,0.53,0.56,0.53,0.55,94300,11.00
2012-12-28,0.52,0.53,0.51,0.52,41500,10.40
2012-12-27,0.61,0.61,0.52,0.52,14300,10.40
2012-12-26,0.54,0.54,0.51,0.53,21700,10.60
2012-12-24,0.53,0.54,0.52,0.53,11100,10.60
2012-12-21,0.53,0.54,0.52,0.52,14900,10.40
2012-12-20,0.53,0.54,0.50,0.53,268600,10.60
2012-12-19,0.53,0.54,0.52,0.53,23100,10.60
2012-12-18,0.53,0.55,0.53,0.54,16400,10.80
2012-12-17,0.53,0.54,0.53,0.53,10400,10.60
2012-12-14,0.53,0.54,0.52,0.52,23600,10.40
2012-12-13,0.52,0.53,0.50,0.50,11100,10.00
2012-12-12,0.52,0.52,0.51,0.52,1200,10.40
2012-12-11,0.51,0.53,0.49,0.50,5400,10.00
2012-12-10,0.51,0.51,0.48,0.50,15900,10.00
2012-12-07,0.52,0.52,0.50,0.51,11600,10.20
2012-12-06,0.53,0.53,0.50,0.51,32900,10.20
2012-12-05,0.52,0.53,0.51,0.52,8100,10.40
2012-12-04,0.53,0.54,0.52,0.53,4600,10.60
2012-12-03,0.55,0.55,0.53,0.53,5400,10.60
2012-11-30,0.55,0.55,0.53,0.53,9600,10.60
2012-11-29,0.52,0.54,0.52,0.53,6900,10.60
2012-11-28,0.52,0.53,0.52,0.52,3100,10.40
2012-11-27,0.52,0.53,0.51,0.51,9700,10.20
2012-11-26,0.53,0.55,0.51,0.52,6700,10.40
2012-11-23,0.53,0.53,0.52,0.53,4000,10.60
2012-11-21,0.54,0.54,0.53,0.53,3100,10.60
2012-11-20,0.53,0.54,0.53,0.53,1600,10.60
2012-11-19,0.53,0.53,0.52,0.53,3100,10.60
2012-11-16,0.50,0.55,0.50,0.53,4400,10.60
2012-11-15,0.57,0.57,0.50,0.53,9400,10.60
2012-11-14,0.54,0.54,0.52,0.52,9000,10.40
2012-11-13,0.57,0.57,0.53,0.54,5100,10.80
2012-11-12,0.55,0.56,0.54,0.54,10600,10.80
2012-11-09,0.54,0.55,0.54,0.55,35700,11.00
2012-11-08,0.55,0.55,0.54,0.54,82200,10.80
2012-11-07,0.60,0.60,0.54,0.55,15300,11.00
2012-11-06,0.61,0.61,0.59,0.59,4800,11.80
2012-11-05,0.58,0.62,0.58,0.61,10800,12.20
2012-11-02,0.62,0.63,0.61,0.61,4400,12.20
2012-11-01,0.64,0.64,0.59,0.62,6900,12.40
2012-10-31,0.55,0.63,0.55,0.62,8300,12.40
2012-10-26,0.53,0.55,0.52,0.54,24300,10.80
2012-10-25,0.53,0.55,0.51,0.53,8800,10.60
2012-10-24,0.51,0.55,0.51,0.53,10000,10.60
2012-10-23,0.57,0.57,0.52,0.53,13100,10.60
2012-10-22,0.58,0.58,0.53,0.56,6900,11.20
2012-10-19,0.61,0.61,0.57,0.57,8900,11.40
2012-10-18,0.58,0.62,0.58,0.59,15800,11.80
2012-10-17,0.61,0.61,0.58,0.60,5000,12.00
2012-10-16,0.62,0.64,0.59,0.61,17000,12.20
2012-10-15,0.63,0.63,0.58,0.62,10600,12.40
2012-10-12,0.63,0.63,0.60,0.63,8400,12.60
2012-10-11,0.62,0.64,0.60,0.63,13600,12.60
2012-10-10,0.63,0.63,0.59,0.60,18200,12.00
2012-10-09,0.60,0.63,0.60,0.63,17600,12.60
2012-10-08,0.58,0.63,0.58,0.61,11600,12.20
2012-10-05,0.63,0.63,0.58,0.59,11400,11.80
2012-10-04,0.61,0.63,0.54,0.60,270100,12.00
2012-10-03,0.58,0.61,0.58,0.60,193700,12.00
