Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,52.32,52.32,52.11,52.19,30900,52.19
2014-02-21,52.10,52.10,51.88,52.06,30800,52.06
2014-02-20,52.21,52.25,52.19,52.19,14300,52.19
2014-02-19,52.17,52.21,52.06,52.18,16600,52.18
2014-02-18,52.28,52.31,52.02,52.30,26100,52.30
2014-02-14,51.98,52.26,51.90,52.26,18100,52.26
2014-02-13,52.20,52.30,51.96,52.04,40300,52.04
2014-02-12,52.17,52.17,51.92,52.17,58000,52.17
2014-02-11,52.01,52.26,51.84,51.92,64300,51.92
2014-02-10,51.93,51.93,51.81,51.93,13100,51.93
2014-02-07,51.83,51.90,51.75,51.78,15700,51.78
2014-02-06,52.00,52.00,51.65,51.79,27700,51.79
2014-02-05,51.76,51.76,51.56,51.71,33500,51.71
2014-02-04,51.69,51.71,51.56,51.61,68400,51.61
2014-02-03,51.74,51.74,51.57,51.65,23400,51.65
2014-01-31,51.78,51.79,51.56,51.77,5500,51.77
2014-01-30,51.78,51.81,51.58,51.81,19000,51.81
2014-01-29,51.70,51.74,51.56,51.73,16500,51.73
2014-01-28,51.77,51.84,51.59,51.84,16600,51.84
2014-01-27,51.63,51.85,51.59,51.78,13600,51.78
2014-01-24,52.09,52.09,51.60,51.60,9900,51.60
2014-01-23,52.10,52.10,51.80,51.99,19000,51.99
2014-01-22,52.04,52.05,51.77,52.01,19100,52.01
2014-01-21,52.23,52.25,52.09,52.22,6800,51.98
2014-01-17,52.17,52.19,52.01,52.17,14500,51.93
2014-01-16,52.13,52.14,51.97,52.09,17800,51.85
2014-01-15,52.02,52.10,52.00,52.09,69400,51.85
2014-01-14,51.96,52.10,51.80,51.95,70300,51.71
2014-01-13,51.96,51.96,51.67,51.92,17800,51.68
2014-01-10,51.96,51.97,51.77,51.94,34700,51.70
2014-01-09,51.90,51.95,51.86,51.93,29500,51.69
2014-01-08,51.86,51.87,51.77,51.82,16800,51.58
2014-01-07,52.35,52.35,51.61,51.80,23900,51.56
2014-01-06,51.54,51.77,51.54,51.60,99400,51.36
2014-01-03,51.68,51.71,51.47,51.70,19700,51.46
2014-01-02,52.07,52.07,51.50,51.50,17000,51.26
2013-12-31,52.15,52.15,51.54,51.57,6100,51.33
2013-12-30,52.11,52.11,51.50,51.51,8300,51.27
2013-12-27,51.60,51.60,51.40,51.54,14300,51.30
2013-12-26,51.52,51.59,51.39,51.53,15300,51.29
2013-12-24,51.34,51.49,51.34,51.48,3500,51.24
2013-12-23,51.78,51.78,51.31,51.48,8900,51.24
2013-12-20,51.25,51.46,51.23,51.39,16700,51.15
2013-12-19,51.92,51.92,51.26,51.26,23200,51.02
2013-12-18,51.57,51.68,51.22,51.68,9300,51.44
2013-12-17,51.76,51.91,51.55,51.83,9400,51.35
2013-12-16,51.90,51.90,51.70,51.70,15200,51.22
2013-12-13,51.83,51.87,51.44,51.79,9600,51.31
2013-12-12,51.52,51.89,51.40,51.78,17500,51.30
2013-12-11,51.73,51.86,51.53,51.63,4400,51.15
2013-12-10,51.79,51.79,51.41,51.75,12600,51.27
2013-12-09,51.78,51.78,51.43,51.68,17000,51.20
2013-12-06,51.75,51.75,51.53,51.75,48500,51.27
2013-12-05,51.69,51.72,51.50,51.52,14300,51.05
2013-12-04,51.70,51.74,51.57,51.57,9300,51.10
2013-12-03,51.75,51.75,51.55,51.57,10000,51.10
2013-12-02,51.80,51.80,51.61,51.61,12000,51.13
2013-11-29,51.71,51.71,51.63,51.66,6300,51.18
2013-11-27,51.33,51.66,51.33,51.64,7100,51.16
2013-11-26,51.50,51.63,51.45,51.61,13100,51.13
2013-11-25,51.56,51.56,51.33,51.52,11100,51.05
2013-11-22,51.46,51.50,51.41,51.47,31800,51.00
2013-11-21,51.55,51.55,51.33,51.45,18800,50.98
2013-11-20,51.73,51.75,51.62,51.65,32000,50.94
2013-11-19,51.68,51.68,51.54,51.54,9300,50.83
2013-11-18,51.68,51.68,51.44,51.55,34000,50.84
2013-11-15,51.45,51.53,51.42,51.46,10100,50.75
2013-11-14,51.46,51.53,51.34,51.48,26600,50.77
2013-11-13,51.30,51.58,51.30,51.46,10500,50.75
2013-11-12,51.53,51.54,51.39,51.39,7900,50.68
2013-11-11,51.39,51.57,51.39,51.53,8000,50.82
2013-11-08,56.00,56.00,51.44,51.45,8000,50.74
2013-11-07,51.75,51.75,51.55,51.55,9500,50.84
2013-11-06,51.99,51.99,51.62,51.76,21200,51.05
2013-11-05,51.75,51.75,51.64,51.69,14500,50.98
2013-11-04,51.98,51.99,51.50,51.84,9900,51.12
2013-11-01,51.94,51.99,51.50,51.77,19400,51.06
2013-10-31,51.71,51.73,51.55,51.71,11500,51.00
2013-10-30,51.59,52.30,51.47,51.78,6600,51.06
2013-10-29,51.63,51.65,51.42,51.60,5000,50.89
2013-10-28,51.58,51.58,51.41,51.41,4900,50.70
2013-10-25,51.53,51.55,51.46,51.48,135500,50.77
2013-10-24,51.45,51.47,51.41,51.46,11300,50.75
2013-10-23,51.39,51.42,51.25,51.40,13200,50.69
2013-10-22,51.46,51.52,51.39,51.49,36800,50.78
2013-10-21,51.98,51.98,51.30,51.58,18700,50.63
2013-10-18,51.25,51.42,51.01,51.41,16400,50.46
2013-10-17,51.06,51.13,51.02,51.13,6000,50.19
2013-10-16,50.98,51.03,50.86,50.86,20000,49.92
2013-10-15,50.90,50.93,50.86,50.93,14600,49.99
2013-10-14,50.88,50.88,50.65,50.87,4500,49.93
2013-10-11,51.50,51.50,50.85,51.03,8100,50.09
2013-10-10,50.73,51.13,50.49,50.78,10900,49.85
2013-10-09,50.67,50.72,50.45,50.45,2000,49.52
2013-10-08,50.47,50.64,50.38,50.64,2200,49.71
2013-10-07,50.61,50.67,50.57,50.67,13300,49.74
2013-10-04,50.50,50.55,50.32,50.48,2300,49.55
2013-10-03,50.49,50.49,50.35,50.37,5900,49.44
2013-10-02,50.38,50.39,50.34,50.37,2100,49.44
2013-10-01,50.37,50.37,50.10,50.35,13700,49.42
2013-09-30,50.50,50.53,50.25,50.25,7900,49.33
