Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,25.01,25.01,25.01,25.01,000,25.01
2014-02-21,25.01,25.01,25.01,25.01,2200,25.01
2014-02-20,25.00,25.06,25.00,25.03,4500,25.03
2014-02-19,25.00,25.00,25.00,25.00,8400,25.00
2014-02-18,25.00,25.00,25.00,25.00,3800,25.00
2014-02-14,24.99,24.99,24.99,24.99,000,24.99
2014-02-13,24.99,24.99,24.99,24.99,000,24.99
2014-02-12,24.99,24.99,24.99,24.99,100,24.99
2014-02-11,24.91,24.91,24.91,24.91,000,24.91
2014-02-10,24.91,24.91,24.91,24.91,1000,24.91
2014-02-07,24.79,24.79,24.79,24.79,000,24.79
2014-02-06,24.79,24.79,24.79,24.79,000,24.79
2014-02-05,24.79,24.80,24.79,24.79,1000,24.79
2014-02-04,24.78,24.78,24.78,24.78,1100,24.78
2014-02-03,24.90,24.90,24.90,24.90,000,24.90
2014-01-31,24.87,24.96,24.87,24.90,17100,24.90
2014-01-30,24.91,24.91,24.91,24.91,100,24.91
2014-01-29,24.95,24.95,24.95,24.95,000,24.95
2014-01-28,24.99,24.99,24.95,24.95,2600,24.95
2014-01-27,25.14,25.14,25.12,25.12,2100,25.12
2014-01-24,25.16,25.16,25.16,25.16,000,25.08
2014-01-23,25.15,25.16,25.15,25.16,1900,25.08
2014-01-22,25.15,25.15,25.14,25.14,5600,25.07
2014-01-21,24.99,25.08,24.99,25.08,500,25.01
2014-01-17,25.08,25.08,25.08,25.08,000,25.01
2014-01-16,24.99,25.30,24.99,25.08,8300,25.01
2014-01-15,24.84,24.84,24.84,24.84,000,24.77
2014-01-14,24.84,24.84,24.84,24.84,400,24.77
2014-01-13,25.03,25.03,25.03,25.03,100,24.96
2014-01-10,24.95,25.03,24.95,25.03,5000,24.96
2014-01-09,25.07,25.07,25.07,25.07,1500,25.00
2014-01-08,25.07,25.07,25.07,25.07,1500,25.00
2014-01-07,25.13,25.13,25.13,25.13,600,25.06
2014-01-06,25.07,25.14,25.07,25.14,61600,25.07
2014-01-03,25.11,25.11,25.10,25.10,500,25.03
2014-01-02,24.94,24.94,24.94,24.94,000,24.87
2013-12-31,25.11,25.11,24.94,24.94,300,24.87
2013-12-30,25.09,25.09,25.09,25.09,100,25.02
2013-12-27,25.00,25.00,25.00,25.00,000,24.93
2013-12-26,25.00,25.02,25.00,25.00,1200,24.93
2013-12-24,25.03,25.03,25.03,25.03,000,24.96
2013-12-23,24.98,25.03,24.98,25.03,1200,24.93
2013-12-20,24.99,25.06,24.99,25.04,2000,24.94
2013-12-19,25.00,25.00,25.00,25.00,000,24.90
2013-12-18,25.08,25.08,24.99,25.00,2400,24.90
