Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,21.78,22.64,21.78,22.51,267800,22.51
2014-02-21,21.70,22.06,21.48,21.80,292500,21.80
2014-02-20,21.55,22.10,21.16,21.55,186900,21.55
2014-02-19,22.41,22.68,21.34,21.42,236000,21.42
2014-02-18,22.46,22.71,22.37,22.54,96900,22.54
2014-02-14,22.29,22.59,22.07,22.38,101000,22.38
2014-02-13,22.01,22.37,21.86,22.35,85000,22.35
2014-02-12,22.34,22.86,22.06,22.25,104900,22.25
2014-02-11,21.99,22.55,21.88,22.36,151500,22.36
2014-02-10,21.77,22.03,21.44,21.92,179200,21.92
2014-02-07,22.09,22.18,21.63,21.84,175100,21.84
2014-02-06,22.05,22.27,21.81,22.02,152300,22.02
2014-02-05,22.00,22.38,21.84,22.03,184900,22.03
2014-02-04,21.96,22.53,21.52,22.15,401700,22.15
2014-02-03,23.41,23.53,21.68,21.81,559000,21.81
2014-01-31,23.51,23.98,23.26,23.41,203700,23.41
2014-01-30,23.95,24.21,23.49,24.02,185300,24.02
2014-01-29,24.18,24.42,23.62,23.67,155900,23.67
2014-01-28,24.63,24.70,24.16,24.44,242600,24.44
2014-01-27,25.17,25.17,24.27,24.53,110500,24.53
2014-01-24,25.41,25.41,24.86,25.02,174200,25.02
2014-01-23,25.87,25.87,25.37,25.63,140300,25.63
2014-01-22,25.90,26.18,25.76,26.05,143700,26.05
2014-01-21,25.58,26.18,25.38,25.90,199400,25.90
2014-01-17,25.21,25.52,25.10,25.33,147200,25.33
2014-01-16,25.46,25.46,25.00,25.18,170500,25.18
2014-01-15,25.48,25.87,25.47,25.53,261700,25.53
2014-01-14,25.25,25.58,24.94,25.34,126000,25.34
2014-01-13,25.42,25.70,24.82,25.03,160000,25.03
2014-01-10,25.83,25.83,25.27,25.54,143600,25.54
2014-01-09,25.65,25.94,25.42,25.81,144900,25.81
2014-01-08,25.60,25.60,25.29,25.49,266400,25.49
2014-01-07,25.55,25.85,25.18,25.56,169900,25.56
2014-01-06,25.90,26.12,25.35,25.39,182300,25.39
2014-01-03,26.06,26.19,25.54,25.81,226200,25.81
2014-01-02,26.29,26.29,25.82,25.94,231400,25.94
2013-12-31,26.45,26.52,26.24,26.36,101800,26.36
2013-12-30,26.66,26.70,26.33,26.43,76800,26.43
2013-12-27,26.82,26.98,26.51,26.66,88400,26.66
2013-12-26,27.06,27.13,26.57,26.73,195400,26.73
2013-12-24,26.68,27.20,26.51,26.99,130100,26.99
2013-12-23,26.70,26.86,26.53,26.73,274500,26.73
2013-12-20,26.01,26.72,25.90,26.56,516200,26.56
2013-12-19,26.40,26.40,25.85,25.88,142400,25.88
2013-12-18,25.77,26.53,25.64,26.51,150900,26.51
2013-12-17,25.90,25.90,25.45,25.65,164800,25.65
2013-12-16,25.38,26.06,25.20,25.96,123500,25.96
2013-12-13,25.43,25.46,24.97,25.26,174600,25.26
2013-12-12,25.13,25.58,25.10,25.31,147400,25.31
2013-12-11,25.69,25.69,25.04,25.09,222900,25.09
2013-12-10,25.96,26.12,25.49,25.61,196200,25.61
2013-12-09,26.20,26.20,25.67,26.04,209200,26.04
2013-12-06,25.88,26.31,25.88,26.19,208400,26.19
2013-12-05,25.39,25.68,25.34,25.56,201700,25.56
2013-12-04,25.43,25.89,25.21,25.49,96600,25.49
2013-12-03,25.57,26.11,25.21,25.51,480400,25.51
2013-12-02,26.05,26.43,25.64,25.68,135400,25.68
2013-11-29,26.38,26.44,26.00,26.09,75100,26.09
2013-11-27,25.99,26.49,25.74,26.20,173400,26.20
2013-11-26,25.59,25.96,25.37,25.93,230800,25.93
2013-11-25,25.35,25.99,25.35,25.63,205400,25.63
2013-11-22,25.25,25.60,24.90,25.35,522700,25.35
2013-11-21,24.63,25.29,24.61,25.24,195700,25.24
2013-11-20,24.42,24.90,24.20,24.58,137500,24.58
2013-11-19,24.27,24.60,24.17,24.31,107000,24.31
2013-11-18,24.22,24.74,24.06,24.29,80500,24.29
2013-11-15,24.18,24.24,23.83,24.18,159900,24.18
2013-11-14,24.29,24.30,24.14,24.22,74100,24.22
2013-11-13,23.85,24.49,23.69,24.37,138000,24.37
2013-11-12,24.17,24.26,23.80,23.99,115400,23.99
2013-11-11,24.70,24.70,24.24,24.26,101900,24.26
2013-11-08,23.26,24.77,23.26,24.71,222600,24.71
2013-11-07,22.86,23.64,22.69,23.24,242100,23.24
2013-11-06,22.83,22.86,22.60,22.71,69800,22.71
2013-11-05,22.67,22.91,22.46,22.61,105500,22.61
2013-11-04,24.99,24.99,22.59,22.87,128000,22.87
2013-11-01,22.83,23.02,22.37,22.70,240700,22.70
2013-10-31,23.29,23.37,22.83,22.85,211000,22.85
2013-10-30,23.55,23.56,23.28,23.31,98300,23.31
2013-10-29,23.65,23.76,23.20,23.55,107200,23.55
2013-10-28,23.42,23.68,23.20,23.55,102800,23.55
2013-10-25,23.43,23.47,23.21,23.44,84500,23.44
2013-10-24,23.26,23.46,23.12,23.33,94700,23.33
