Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,54.95,54.95,54.50,54.66,24200,54.66
2014-02-21,54.42,54.94,54.22,54.60,39600,54.60
2014-02-20,53.65,54.49,53.07,54.09,25200,54.09
2014-02-19,53.65,54.40,53.00,53.33,20300,53.27
2014-02-18,54.00,54.05,52.90,54.00,23600,53.94
2014-02-14,53.50,54.08,52.77,53.83,61800,53.77
2014-02-13,51.73,54.52,51.73,53.80,49200,53.74
2014-02-12,50.39,53.10,50.19,51.90,15400,51.84
2014-02-11,49.92,50.70,49.34,50.52,40000,50.46
2014-02-10,49.19,49.86,48.71,49.76,31500,49.70
2014-02-07,49.47,49.52,48.85,49.22,14600,49.16
2014-02-06,49.00,49.58,48.94,49.20,7800,49.14
2014-02-05,49.03,49.30,48.66,48.82,30500,48.77
2014-02-04,48.75,49.95,48.75,49.30,23500,49.24
2014-02-03,50.46,50.83,48.75,48.95,34900,48.89
2014-01-31,50.28,51.15,49.75,50.80,39700,50.74
2014-01-30,50.77,51.26,50.29,50.84,36000,50.78
2014-01-29,51.55,52.89,49.14,50.25,63100,50.19
2014-01-28,52.08,53.55,51.42,51.77,44300,51.71
2014-01-27,53.62,54.38,52.00,52.20,34000,52.14
2014-01-24,53.76,54.06,51.78,53.62,37000,53.56
2014-01-23,53.35,54.52,53.35,53.85,52700,53.79
2014-01-22,53.00,54.00,52.53,53.36,61500,53.30
2014-01-21,50.05,53.25,48.72,53.00,70600,52.94
2014-01-17,49.75,50.75,49.40,49.95,22300,49.89
2014-01-16,49.18,49.90,48.91,49.70,23400,49.64
2014-01-15,49.30,49.79,49.03,49.49,44700,49.43
2014-01-14,49.50,49.50,49.14,49.49,73800,49.43
2014-01-13,49.27,49.50,49.26,49.50,20700,49.44
2014-01-10,49.80,49.80,49.00,49.46,17800,49.40
2014-01-09,49.55,49.75,49.25,49.59,13400,49.53
2014-01-08,49.56,49.58,48.56,49.57,10100,49.51
2014-01-07,49.70,49.76,48.99,49.47,17400,49.41
2014-01-06,49.00,49.95,49.00,49.64,57600,49.58
2014-01-03,49.40,49.80,48.54,49.28,31000,49.22
2014-01-02,50.20,53.33,48.78,49.55,54500,49.49
2013-12-31,49.68,49.90,49.44,49.66,17100,49.60
2013-12-30,49.97,49.97,49.63,49.63,19600,49.57
2013-12-27,49.00,50.58,48.11,49.73,55000,49.67
2013-12-26,45.65,48.99,45.62,48.84,31800,48.79
2013-12-24,46.88,47.99,45.14,47.77,11700,47.72
2013-12-23,45.48,47.29,45.25,47.22,22600,47.17
2013-12-20,45.49,45.50,45.25,45.43,46000,45.38
