Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,23.65,23.77,23.25,23.32,42400,23.32
2014-02-21,23.68,23.68,23.43,23.53,26000,23.53
2014-02-20,23.34,23.67,23.34,23.55,27300,23.55
2014-02-19,23.14,23.39,23.14,23.24,53200,23.24
2014-02-18,23.17,23.51,23.13,23.34,103600,23.34
2014-02-14,22.91,23.12,22.60,23.03,40200,23.03
2014-02-13,22.31,22.87,22.28,22.83,67200,22.83
2014-02-12,22.22,22.59,22.20,22.40,77000,22.40
2014-02-11,22.33,22.70,22.19,22.26,58400,22.26
2014-02-10,22.16,22.33,22.08,22.23,134500,22.23
2014-02-07,22.33,22.44,22.10,22.26,63800,22.26
2014-02-06,22.58,22.80,21.94,22.22,128800,22.22
2014-02-05,23.00,23.02,22.30,22.41,124700,22.41
2014-02-04,24.06,24.11,23.15,23.15,129000,23.15
2014-02-03,27.28,27.49,23.75,24.02,167900,24.02
2014-01-31,27.18,27.66,27.09,27.18,95200,27.18
2014-01-30,27.49,27.78,27.06,27.64,58400,27.64
2014-01-29,26.84,27.39,26.65,27.15,56300,27.15
2014-01-28,26.76,27.11,26.52,27.10,78200,27.10
2014-01-27,26.54,27.08,26.22,26.84,61200,26.84
2014-01-24,26.21,26.70,26.15,26.40,85600,26.40
2014-01-23,26.36,26.63,26.31,26.44,98500,26.44
2014-01-22,26.61,26.75,26.15,26.42,103100,26.42
2014-01-21,26.83,26.93,26.28,26.57,95000,26.57
2014-01-17,26.68,26.92,26.49,26.59,62000,26.59
2014-01-16,26.85,27.01,26.48,26.64,66300,26.64
2014-01-15,27.00,27.38,26.85,26.91,64100,26.91
2014-01-14,26.60,27.24,26.46,26.98,73000,26.98
2014-01-13,26.83,26.94,26.21,26.33,72600,26.33
2014-01-10,26.86,27.39,26.70,26.88,66700,26.88
2014-01-09,26.84,27.08,26.60,26.89,79600,26.89
2014-01-08,27.50,27.51,26.70,26.78,72300,26.78
2014-01-07,26.80,27.57,26.65,27.48,75100,27.48
2014-01-06,26.95,27.20,26.70,26.81,63700,26.64
2014-01-03,26.86,27.24,26.65,26.73,82400,26.57
2014-01-02,26.97,27.22,26.65,26.84,49600,26.67
2013-12-31,26.82,27.48,26.66,27.10,43800,26.93
2013-12-30,26.90,27.12,26.69,26.92,26700,26.75
2013-12-27,27.48,27.48,26.84,27.00,21400,26.83
2013-12-26,27.51,27.55,27.26,27.38,21000,27.21
2013-12-24,27.19,27.64,27.08,27.46,20000,27.29
2013-12-23,26.95,27.22,26.64,27.08,36600,26.91
2013-12-20,26.09,26.95,25.93,26.72,147300,26.56
2013-12-19,26.20,26.41,25.75,25.96,30000,25.80
2013-12-18,25.79,26.55,25.51,26.17,76400,26.01
2013-12-17,25.11,25.74,24.87,25.72,71500,25.56
2013-12-16,24.67,25.28,24.67,25.19,43300,25.03
2013-12-13,24.73,25.03,24.37,24.63,67000,24.48
2013-12-12,24.37,24.82,24.25,24.74,50100,24.59
2013-12-11,24.76,24.76,24.25,24.41,45500,24.26
2013-12-10,25.18,25.47,24.26,24.64,78600,24.49
2013-12-09,24.05,25.49,24.05,25.38,97700,25.22
2013-12-06,24.46,24.71,23.67,23.68,67100,23.53
2013-12-05,25.15,25.22,24.30,24.30,59000,24.15
2013-12-04,24.63,25.32,24.63,25.23,54600,25.07
2013-12-03,24.22,25.02,24.22,24.71,598600,24.56
2013-12-02,25.22,26.22,24.03,24.89,232500,24.74
2013-11-29,26.80,26.80,25.94,26.27,19200,26.11
2013-11-27,26.57,26.79,26.42,26.67,24600,26.51
2013-11-26,26.36,26.77,26.14,26.50,35300,26.34
2013-11-25,26.60,26.80,26.07,26.25,14300,26.09
2013-11-22,26.08,26.48,25.96,26.48,22900,26.32
2013-11-21,25.62,26.18,25.61,26.05,37000,25.89
2013-11-20,25.66,25.86,25.44,25.50,17900,25.34
2013-11-19,25.83,26.18,25.64,25.65,25000,25.49
2013-11-18,26.71,26.72,25.43,25.72,53400,25.56
2013-11-15,26.36,26.79,26.35,26.52,49500,26.36
2013-11-14,26.91,26.95,26.11,26.40,20700,26.24
2013-11-13,26.31,27.10,25.93,26.99,41600,26.82
2013-11-12,26.12,26.59,25.96,26.41,43700,26.25
2013-11-11,26.46,26.74,26.16,26.20,23000,26.04
2013-11-08,25.48,26.48,25.48,26.44,70400,26.28
2013-11-07,26.41,26.64,25.45,25.49,80300,25.33
2013-11-06,26.56,26.69,26.05,26.35,72500,26.19
2013-11-05,26.11,26.84,25.93,26.47,74600,26.31
2013-11-04,26.06,26.40,25.94,26.18,42600,26.02
2013-11-01,25.93,26.31,25.30,26.05,68500,25.89
2013-10-31,26.53,26.67,25.75,25.81,72000,25.65
2013-10-30,27.26,27.31,26.53,26.60,31700,26.44
2013-10-29,27.06,27.18,26.53,27.17,52000,27.00
2013-10-28,26.55,27.10,26.28,26.90,28000,26.73
2013-10-25,25.81,26.56,25.81,26.50,31800,26.34
2013-10-24,26.16,26.28,25.70,25.71,32500,25.55
2013-10-23,26.04,26.44,25.96,26.06,32700,25.90
2013-10-22,26.17,26.36,25.37,26.12,50900,25.96
2013-10-21,26.55,26.75,25.99,26.01,50100,25.85
2013-10-18,26.60,26.96,26.25,26.40,118200,26.24
2013-10-17,26.22,26.85,26.22,26.37,46800,26.21
2013-10-16,26.78,27.03,26.41,26.44,44000,26.28
2013-10-15,26.62,27.60,26.41,26.66,63600,26.50
